highpriority_open_monthly_hpd,highpriority_closed_monthly_fdny,borough,shelter_name_all,commissionerorder_new_monthly_hpd,highpriority_open_monthly_fdny,highpriority_closed_monthly_dob,lowestpriority_closed_monthly_fdny,commissionerorder_new_monthly_dohmh
0,0,Queens,"Bld ID: 547883 -- BPHN Queens Hotels, BRONX PARENT HOUSING NETWORK, Adult Family Commercial Hotel -- Queens",0,0,0,0,0
0,0,Manhattan,"Bld ID: 1604 -- Ft. xxx Armory, Project Renewal, Adult Shelter -- Manhattan",0,0,0,0,0
0,0,Queens,"Bld ID: 489473 -- The Baxter Safe Haven, Goddard Riverside Community Center, Safe Haven -- Queens",0,0,0,0,0
0,0,Brooklyn,"Bld ID: 1025 -- Van Siclen Shelter, Samaritan Daytop Village, Adult Shelter -- Brooklyn",0,0,0,1,0
0,0,Bronx,"Bld ID: 1066 -- TOWN AND COUNTRY, Westhab, Inc, Family Shelter -- Bronx",0,0,0,0,0
0,0,Bronx,"Bld ID: 34833 -- Ana's Place, Project Renewal, Adult Shelter -- Bronx",0,0,0,0,0
0,0,Brooklyn,"Bld ID: 1250 -- BRIDGE FAMILY RESIDENCE II, Samaritan Daytop Village, Family Shelter -- Brooklyn",0,0,0,0,0
0,0,Queens,"Bld ID: 549165 -- Bronx Family Housing Queens Hotels, BRONX FAMILY NETWORK INC, Family Commercial Hotel -- Queens",0,0,0,0,0
0,0,Bronx,"Bld ID: 185346 -- LAFAYETTE FAMILY RESIDENCE, Home/Life Services, Inc., Family Shelter -- Bronx",0,0,0,0,0
0,0,Brooklyn,"Bld ID: 9467 -- SUS-ROSE MCCARTHY, SERVICES FOR THE UNDERSERVED, Family Shelter -- Brooklyn",0,0,0,0,0
0,0,Bronx,"Bld ID: 1164 -- CARMEN'S RESIDENCE, Acacia Network Housing, Family Shelter -- Bronx",0,0,0,2,0
0,0,Manhattan,"Bld ID: 1604 -- Ft. xxx Armory, Project Renewal, Adult Shelter -- Manhattan",0,0,0,0,0
0,0,Bronx,"Bld ID: 1672 -- NAICA I, NAICA, Adult Shelter -- Bronx",0,0,0,0,0
0,0,Bronx,"Bld ID: 1664 -- Franklin Women's Shelter, HELP, USA, Adult Shelter -- Bronx",0,0,0,0,0
0,0,Bronx,"Bld ID: 530177 -- El Cacique Court, NAICA, Adult Shelter -- Bronx",0,0,0,0,0
0,0,Bronx,"Bld ID: 1383 -- GRAND CONCOURSE RESIDENCE, Home/Life Services, Inc., Adult Family Shelter -- Bronx",0,0,0,0,0
0,0,Brooklyn,"Bld ID: 521985 -- Second Avenue Mens Shelter, Samaritan Daytop Village, Adult Shelter -- Brooklyn",0,0,0,0,0
0,0,Bronx,"Bld ID: 440832 -- NAICA I, NAICA, Adult Commercial Hotel -- Bronx",0,0,0,0,0
0,0,Brooklyn,"Bld ID: 555264 -- Linden Men's Shelter, NYC Department Of Homeless Services, Adult Shelter -- Brooklyn",0,0,0,0,0
1,0,Bronx,"Bld ID: 231425 -- UNIVERSITY HEIGHTS, BRONX PARENT HOUSING NETWORK, Family Shelter -- Bronx",0,0,2,0,0
0,0,Brooklyn,"Bld ID: 71172 -- 49th Street Residence, Samaritan Daytop Village, Adult Shelter -- Brooklyn",0,0,0,0,0
0,0,Bronx,"Bld ID: 1652 -- Casa Esperanza, VIP Community Services, Adult Shelter -- Bronx",0,0,0,0,0
