mediumpriority_open_monthly_dob,lowestpriority_new_monthly_fdny,highpriority_closed_monthly_hpd,capacity,commissionerorder_new_monthly_fdny,dhs_bld_id,mediumpriority_open_monthly_dohmh,lowestpriority_new_monthly_hpd,commissionerorder_closed_monthly_fdny,mediumpriority_closed_monthly_hpd
0,0,0,74,0,547883,0,1,0,0
0,0,0,197,0,1604,0,0,1,0
0,0,0,74,0,489473,0,0,0,0
0,0,0,40,0,1025,0,0,0,0
0,0,0,97,0,1066,0,0,0,0
0,2,0,110,0,34833,0,0,0,0
0,0,0,23,0,1250,0,0,0,0
0,0,0,96,0,549165,0,0,0,0
0,0,0,43,1,185346,0,0,0,0
0,0,0,21,0,9467,0,0,0,0
0,2,0,81,0,1164,0,1,0,0
0,0,0,185,0,1604,0,0,0,0
0,0,0,241,0,1672,0,0,0,0
0,0,0,181,0,1664,0,0,0,0
0,1,0,200,0,530177,0,0,0,0
0,0,0,104,0,1383,0,1,0,0
0,0,0,92,0,521985,0,0,0,0
0,0,0,152,0,440832,0,0,0,0
0,0,0,62,0,555264,0,0,0,0
0,0,8,86,0,231425,0,0,0,0
0,0,0,151,0,71172,0,0,0,0
0,0,0,55,0,1652,0,0,0,0
0,0,0,39,0,1019,0,1,0,0
0,0,0,75,0,1044,0,0,0,0
0,0,0,43,0,185346,0,0,0,0
0,0,0,198,0,499713,0,0,0,0
0,0,0,92,0,521985,0,0,0,0
0,0,0,0,0,1146,0,0,0,8
0,0,0,24,0,18795,0,0,0,0
0,0,0,80,0,508690,0,0,0,0
0,0,0,51,0,83969,0,0,0,0
0,0,0,64,0,490650,0,0,0,0
0,0,0,86,0,520449,0,0,0,0
0,1,0,24,0,94476,0,0,0,0
0,0,0,60,0,486656,0,0,0,0
0,1,10,83,0,1599,0,0,0,0
0,0,0,198,0,1601,0,0,0,0
0,0,0,20,0,1145,0,0,0,0
0,0,0,195,0,1303,0,0,0,0
0,0,0,31,0,1359,0,0,0,0
0,0,0,233,0,1648,0,0,0,0
0,0,0,100,0,514481,0,0,0,0
0,0,0,94,0,545280,0,0,0,0
0,0,5,15,0,175976,0,0,0,1
0,0,0,233,0,1648,0,0,2,0
0,0,0,25,0,1248,0,0,0,0
0,1,0,200,0,230657,1,0,0,0
0,0,0,63,0,148736,0,0,0,0
0,0,0,61,0,128771,0,0,0,0
0,0,0,101,0,540672,0,0,0,0
0,0,0,33,0,136962,0,0,0,0
0,0,0,21,0,1382,1,0,0,0
0,0,0,50,0,1662,0,0,0,0
0,0,0,259,0,546304,0,0,0,0
0,2,0,81,0,1164,0,0,0,0
0,0,0,20,0,1134,0,0,0,0
0,0,0,15,0,558247,0,0,0,0
0,0,0,197,0,1012,0,0,0,0
0,0,0,200,0,537857,0,0,0,0
0,0,2,139,0,1364,0,0,0,0
0,0,0,33,0,1210,0,0,0,0
0,0,0,72,0,419076,0,0,0,0
