source_relation,amazon_order_id,marketplace_id,replaced_order_id,seller_order_id,buyer_info_purchase_order_number,purchase_date,sales_channel,order_channel,order_type,order_status,payment_method,order_total_amount,order_total_currency_code,promise_response_due_date,last_update_date,latest_delivery_date,latest_ship_date,number_of_items_shipped,number_of_items_unshipped,earliest_delivery_date,earliest_ship_date,easy_ship_shipment_status,electronic_invoice_status,fulfillment_channel,fulfillment_supply_source_id,has_regulated_items,is_access_point_order,is_business_order,is_estimated_ship_date_set,is_global_express_enabled,is_iba,is_ispu,is_premium_order,is_prime,is_replacement_order,is_sold_by_ab,ship_service_level,shipment_service_level_category,automated_shipping_setting_automated_carrier,automated_shipping_setting_automated_ship_method,automated_shipping_setting_has_automated_shipping_settings,default_ship_from_location_address_line_1,default_ship_from_location_address_line_2,default_ship_from_location_address_line_3,default_ship_from_location_address_type,default_ship_from_location_city,default_ship_from_location_country_code,default_ship_from_location_county,default_ship_from_location_district,default_ship_from_location_municipality,default_ship_from_location_name,default_ship_from_location_phone,default_ship_from_location_postal_code,default_ship_from_location_state_or_region,shipping_address_address_type,shipping_address_city,shipping_address_country_code,shipping_address_county,shipping_address_district,shipping_address_municipality,shipping_address_postal_code,shipping_address_state_or_region
amazon_selling_partner.public,ORDER00000,MPIDRANDOM,REPLACED_ORDER_7992,SELLER_ORDER_4351,PO-8868,2024-12-31 18:11:28,Amazon.de,Amazon.de,StandardOrder,Canceled,COD,2329.860000,USD,2025-01-30 18:11:28,2025-01-21 18:11:28,2025-02-07 00:00:00,2025-02-03 00:00:00,3,0,2025-01-29 00:00:28.112,2025-01-24 00:00:28.112,PendingSchedule,Accepted,MFN,Source-72,t,f,t,t,f,t,t,f,t,t,f,Two-Day,Expedited,DHL,Two-Day,f,Default Location,Shipping Address Placeholder,,,New York,USA,New York,,,Waystar Royco,,,,,Buttersburg,,,,,90210,CA
amazon_selling_partner.public,ORDER00001,MPIDRANDOM,REPLACED_ORDER_6603,SELLER_ORDER_7476,PO-1348,2025-01-07 18:11:28,Amazon.de,Amazon.de,StandardOrder,Unshipped,COD,-242.450000,USD,2025-02-02 18:11:28,2025-01-09 18:11:28,2025-02-05 00:00:00,2025-02-09 00:00:00,5,2,2025-01-31 00:00:28.112,2025-01-24 00:00:28.112,PickedUp,Accepted,MFN,Source-77,f,f,f,t,f,f,f,f,f,t,t,Expedited,Expedited,FedEx,Two-Day,t,Default Location,Shipping Address Placeholder,,,New York,USA,New York,,,Waystar Royco,,,,,Buttersburg,,,,,90210,CA
amazon_selling_partner.public,ORDER00002,MPIDRANDOM,REPLACED_ORDER_9685,SELLER_ORDER_5052,PO-1312,2025-01-20 18:11:28,Amazon.de,Amazon.com,StandardOrder,Pending,COD,284.360000,USD,2025-01-31 18:11:28,2025-01-09 18:11:28,2025-01-30 00:00:00,2025-02-11 00:00:00,6,0,2025-02-01 00:00:28.112,2025-01-27 00:00:28.112,Delivered,Accepted,AFN,Source-24,f,f,t,t,f,t,t,f,t,f,t,Same-Day,Expedited,DHL,Two-Day,f,Default Location,Shipping Address Placeholder,,,New York,USA,New York,,,Waystar Royco,,,,,Buttersburg,,,,,90210,CA
amazon_selling_partner.public,ORDER00003,MPIDRANDOM,REPLACED_ORDER_9213,SELLER_ORDER_5225,PO-5383,2025-01-16 18:11:28,Amazon.com,Amazon.com,StandardOrder,Unshipped,COD,-2036.140000,USD,2025-01-30 18:11:28,2025-01-17 18:11:28,2025-02-05 00:00:00,2025-02-09 00:00:00,3,6,2025-02-01 00:00:28.112,2025-01-22 00:00:28.112,LabelCanceled,Accepted,MFN,Source-97,t,f,t,t,f,f,t,f,t,f,f,Standard,Expedited,UPS,Expedited,t,Default Location,Shipping Address Placeholder,,,New York,USA,New York,,,Waystar Royco,,,,,Buttersburg,,,,,90210,CA
amazon_selling_partner.public,ORDER00004,MPIDRANDOM,REPLACED_ORDER_6148,SELLER_ORDER_5960,PO-4492,2025-01-16 18:11:28,Amazon.ca,Amazon.com,StandardOrder,Pending,COD,294.030000,USD,2025-01-31 18:11:28,2025-01-15 18:11:28,2025-01-29 00:00:00,2025-02-06 00:00:00,3,2,2025-02-06 00:00:28.112,2025-01-25 00:00:28.112,PendingPickUp,Accepted,AFN,Source-57,f,t,t,t,t,t,f,t,t,f,f,Two-Day,Expedited,UPS,Two-Day,f,Default Location,Shipping Address Placeholder,,,New York,USA,New York,,,Waystar Royco,,,,,Buttersburg,,,,,90210,CA
amazon_selling_partner.public,ORDER00005,MPIDRANDOM,REPLACED_ORDER_4767,SELLER_ORDER_7810,PO-6570,2025-01-07 18:11:28,Amazon.com,Amazon.com,StandardOrder,Shipped,COD,124.380000,USD,2025-01-29 18:11:28,2025-01-23 18:11:28,2025-02-07 00:00:00,2025-02-07 00:00:00,1,2,2025-01-30 00:00:28.112,2025-01-26 00:00:28.112,DroppedOff,Accepted,MFN,Source-88,t,t,t,t,f,f,t,f,f,f,f,Expedited,Expedited,USPS,Standard,f,Default Location,Shipping Address Placeholder,,,New York,USA,New York,,,Waystar Royco,,,,,Buttersburg,,,,,90210,CA
amazon_selling_partner.public,ORDER00006,MPIDRANDOM,REPLACED_ORDER_5410,SELLER_ORDER_8355,PO-6879,2025-01-05 18:11:28,Amazon.de,Amazon.ca,StandardOrder,Shipped,COD,65.240000,USD,2025-02-02 18:11:28,2025-01-14 18:11:28,2025-02-03 00:00:00,2025-02-08 00:00:00,4,2,2025-02-03 00:00:28.112,2025-01-19 00:00:28.112,AtOriginFC,Accepted,MFN,Source-9,t,f,t,t,f,t,f,f,t,f,f,Two-Day,Expedited,DHL,Expedited,f,Default Location,Shipping Address Placeholder,,,New York,USA,New York,,,Waystar Royco,,,,,Buttersburg,,,,,90210,CA
amazon_selling_partner.public,ORDER00007,MPIDRANDOM,REPLACED_ORDER_5308,SELLER_ORDER_4214,PO-7431,2024-12-30 18:11:28,Amazon.de,Amazon.ca,StandardOrder,Shipped,COD,359.600000,USD,2025-01-30 18:11:28,2025-01-02 18:11:28,2025-02-07 00:00:00,2025-02-03 00:00:00,2,10,2025-02-05 00:00:28.112,2025-01-20 00:00:28.112,AtDestinationFC,Accepted,AFN,Source-98,t,t,f,f,t,t,t,f,f,t,t,Two-Day,Expedited,FedEx,Same-Day,t,Default Location,Shipping Address Placeholder,,,New York,USA,New York,,,Waystar Royco,,,,,Buttersburg,,,,,90210,CA
amazon_selling_partner.public,ORDER00008,MPIDRANDOM,REPLACED_ORDER_5780,SELLER_ORDER_9527,PO-9391,2025-01-19 18:11:28,Amazon.ca,Amazon.de,StandardOrder,Unshipped,COD,34.990000,USD,2025-01-29 18:11:28,2025-01-25 18:11:28,2025-02-05 00:00:00,2025-02-06 00:00:00,0,5,2025-02-06 00:00:28.112,2025-01-25 00:00:28.112,RejectedByBuyer,Accepted,MFN,Source-86,f,f,f,t,f,f,t,f,f,t,f,Two-Day,Expedited,FedEx,Same-Day,f,Default Location,Shipping Address Placeholder,,,New York,USA,New York,,,Waystar Royco,,,,,Buttersburg,,,,,90210,CA
amazon_selling_partner.public,ORDER00009,MPIDRANDOM,REPLACED_ORDER_5765,SELLER_ORDER_5704,PO-6010,2025-01-24 18:11:28,Amazon.ca,Amazon.ca,StandardOrder,Unshipped,COD,60.210000,USD,2025-01-30 18:11:28,2025-01-06 18:11:28,2025-02-07 00:00:00,2025-02-12 00:00:00,3,2,2025-02-01 00:00:28.112,2025-01-27 00:00:28.112,Delivered,Accepted,MFN,Source-30,f,t,t,t,f,t,f,t,t,f,f,Standard,Expedited,UPS,Standard,f,Default Location,Shipping Address Placeholder,,,New York,USA,New York,,,Waystar Royco,,,,,Buttersburg,,,,,90210,CA
