source_relation,amazon_order_id,method
amazon_selling_partner.public,ORDER00000,COD
amazon_selling_partner.public,ORDER00001,COD
amazon_selling_partner.public,ORDER00002,COD
amazon_selling_partner.public,ORDER00003,COD
amazon_selling_partner.public,ORDER00004,COD
amazon_selling_partner.public,ORDER00005,COD
amazon_selling_partner.public,ORDER00006,COD
amazon_selling_partner.public,ORDER00007,COD
amazon_selling_partner.public,ORDER00008,COD
amazon_selling_partner.public,ORDER00009,COD
amazon_selling_partner.public,ORDER00010,COD
amazon_selling_partner.public,ORDER00011,COD
amazon_selling_partner.public,ORDER00012,COD
amazon_selling_partner.public,ORDER00013,COD
amazon_selling_partner.public,ORDER00014,COD
amazon_selling_partner.public,ORDER00015,COD
amazon_selling_partner.public,ORDER00016,COD
amazon_selling_partner.public,ORDER00017,COD
amazon_selling_partner.public,ORDER00018,COD
amazon_selling_partner.public,ORDER00019,COD
amazon_selling_partner.public,ORDER00020,COD
amazon_selling_partner.public,ORDER00021,COD
amazon_selling_partner.public,ORDER00022,COD
amazon_selling_partner.public,ORDER00023,COD
amazon_selling_partner.public,ORDER00024,COD
amazon_selling_partner.public,ORDER00025,COD
amazon_selling_partner.public,ORDER00026,COD
amazon_selling_partner.public,ORDER00027,COD
amazon_selling_partner.public,ORDER00028,COD
amazon_selling_partner.public,ORDER00029,COD
amazon_selling_partner.public,ORDER00030,COD
amazon_selling_partner.public,ORDER00031,COD
amazon_selling_partner.public,ORDER00032,PointsAccount
amazon_selling_partner.public,ORDER00033,PointsAccount
amazon_selling_partner.public,ORDER00034,PointsAccount
amazon_selling_partner.public,ORDER00035,PointsAccount
amazon_selling_partner.public,ORDER00036,PointsAccount
amazon_selling_partner.public,ORDER00037,PointsAccount
amazon_selling_partner.public,ORDER00038,PointsAccount
amazon_selling_partner.public,ORDER00039,PointsAccount
amazon_selling_partner.public,ORDER00040,PointsAccount
amazon_selling_partner.public,ORDER00041,PointsAccount
amazon_selling_partner.public,ORDER00042,PointsAccount
amazon_selling_partner.public,ORDER00043,PointsAccount
amazon_selling_partner.public,ORDER00044,PointsAccount
amazon_selling_partner.public,ORDER00045,PointsAccount
amazon_selling_partner.public,ORDER00046,PointsAccount
amazon_selling_partner.public,ORDER00047,Invoice
amazon_selling_partner.public,ORDER00048,Invoice
amazon_selling_partner.public,ORDER00049,Invoice
amazon_selling_partner.public,ORDER00050,Invoice
amazon_selling_partner.public,ORDER00051,Invoice
amazon_selling_partner.public,ORDER00052,Invoice
amazon_selling_partner.public,ORDER00053,Invoice
amazon_selling_partner.public,ORDER00054,Invoice
amazon_selling_partner.public,ORDER00055,Invoice
amazon_selling_partner.public,ORDER00056,Invoice
amazon_selling_partner.public,ORDER00057,Invoice
amazon_selling_partner.public,ORDER00058,Invoice
amazon_selling_partner.public,ORDER00059,Invoice
amazon_selling_partner.public,ORDER00060,Invoice
amazon_selling_partner.public,ORDER00061,Invoice
amazon_selling_partner.public,ORDER00062,PointsAccount
amazon_selling_partner.public,ORDER00063,PointsAccount
amazon_selling_partner.public,ORDER00064,PointsAccount
amazon_selling_partner.public,ORDER00065,PointsAccount
amazon_selling_partner.public,ORDER00066,Invoice
amazon_selling_partner.public,ORDER00067,Invoice
amazon_selling_partner.public,ORDER00068,Invoice
amazon_selling_partner.public,ORDER00069,Invoice
amazon_selling_partner.public,ORDER00070,Invoice
amazon_selling_partner.public,ORDER00071,Invoice
amazon_selling_partner.public,ORDER00072,Invoice
amazon_selling_partner.public,ORDER00073,Invoice
amazon_selling_partner.public,ORDER00074,Invoice
amazon_selling_partner.public,ORDER00075,Invoice
amazon_selling_partner.public,ORDER00076,Invoice
amazon_selling_partner.public,ORDER00077,Invoice
amazon_selling_partner.public,ORDER00078,Invoice
amazon_selling_partner.public,ORDER00079,Invoice
amazon_selling_partner.public,ORDER00080,Invoice
amazon_selling_partner.public,ORDER00081,GC
amazon_selling_partner.public,ORDER00082,GC
amazon_selling_partner.public,ORDER00083,GC
amazon_selling_partner.public,ORDER00084,GC
amazon_selling_partner.public,ORDER00085,GC
amazon_selling_partner.public,ORDER00086,GC
amazon_selling_partner.public,ORDER00087,GC
amazon_selling_partner.public,ORDER00088,GC
amazon_selling_partner.public,ORDER00089,GC
amazon_selling_partner.public,ORDER00090,GC
amazon_selling_partner.public,ORDER00091,GC
amazon_selling_partner.public,ORDER00092,GC
amazon_selling_partner.public,ORDER00093,GC
amazon_selling_partner.public,ORDER00094,GC
amazon_selling_partner.public,ORDER00095,GC
amazon_selling_partner.public,ORDER00096,GC
amazon_selling_partner.public,ORDER00097,GC
amazon_selling_partner.public,ORDER00098,GC
amazon_selling_partner.public,ORDER00099,GC
