maprojid,typecategory,plannedcommit_ccnonexempt,plannedcommit_ccexempt,adopt_total,spent_ccnonexempt,magencyname,spent_citycost,commit_ccnonexempt,the_geom,adopt_noncitycost,allocate_nccstate,ccpversion,adopt_ccnonexempt,commit_nccstate,commit_noncitycost,allocate_noncitycost
068ACSPCR,Fixed Asset,4982000.0,0.0,23924000.0,9910277.03,Administration for Children's Services,9910277.03,0.0,"{'type': 'MultiPoint', 'coordinates': [[-74.00579458280555, 40.70951270180888]]}",9699000.0,5254537.6,fisa_2026,14225000.0,0.0,0.0,6597841.05
806HAM23B2CC,Fixed Asset,460000.0,0.0,460000.0,0.0,Housing Preservation and Development,0.0,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.94160349688342, 40.70580083385629]]}",0.0,0.0,fisa_2026,460000.0,0.0,0.0,0.0
039LQD122MV1,Fixed Asset,100000.0,0.0,100000.0,0.0,Queens Borough Public Library,0.0,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.88086289352614, 40.71293559622178]]}",0.0,0.0,fisa_2026,100000.0,0.0,0.0,0.0
056PO79BMAIZ,Fixed Asset,5175000.0,0.0,5322000.0,21000.0,Police Department,21000.0,126000.0,"{'type': 'MultiPoint', 'coordinates': [[-73.96721076993731, 40.796495944598874]]}",0.0,0.0,fisa_2026,5322000.0,0.0,0.0,0.0
037LNRA17WNB,Fixed Asset,1000000.0,0.0,397000.0,0.0,New York Public Library,0.0,0.0,"{'type': 'MultiPoint', 'coordinates': [[-74.11482042240324, 40.63450100023284]]}",0.0,0.0,fisa_2026,397000.0,0.0,0.0,0.0
850HLXNUNIVR,"ITT, Vehicles, and Equipment",160000.0,0.0,160000.0,0.0,Department of Design and Construction,0.0,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.89597144399991, 40.86062876525241]]}",0.0,0.0,fisa_2026,160000.0,0.0,0.0,0.0
039LQMAROOF,Fixed Asset,0.0,0.0,0.0,0.0,Queens Borough Public Library,0.0,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.89295914862385, 40.72708545436714]]}",0.0,0.0,fisa_2026,0.0,0.0,0.0,0.0
856PWD05SFHZ,,13000.0,0.0,2215000.0,1585786.31,Department of Citywide Administrative Services,1585786.31,6448.31,"{'type': 'MultiPoint', 'coordinates': [[-74.07725458623946, 40.64276096060721]]}",111000.0,0.0,fisa_2026,2104000.0,0.0,0.0,111000.0
125AGDAMICO,"ITT, Vehicles, and Equipment",50000.0,0.0,50000.0,0.0,Department for the Aging,0.0,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.99786944079062, 40.6290958932452]]}",0.0,0.0,fisa_2026,50000.0,0.0,0.0,0.0
850CO296ELEC,Fixed Asset,756000.0,0.0,8558000.0,3110173.41,Department of Design and Construction,3110173.41,4765991.49,"{'type': 'MultiPoint', 'coordinates': [[-73.82577864030944, 40.713489694621366]]}",0.0,0.0,fisa_2026,8558000.0,0.0,0.0,0.0
846P-312LBPG,Fixed Asset,1418000.0,0.0,5156000.0,1966732.13,Department of Parks and Recreation,1966732.13,2306330.49,"{'type': 'MultiPoint', 'coordinates': [[-73.94664389382707, 40.83872157398736]]}",0.0,0.0,fisa_2026,5156000.0,0.0,0.0,0.0
056PO79BMAHI,Fixed Asset,920000.0,0.0,3336000.0,2241436.83,Police Department,2241436.83,173275.88,"{'type': 'MultiPoint', 'coordinates': [[-74.00032358593964, 40.68386270613703]]}",0.0,0.0,fisa_2026,3336000.0,0.0,0.0,0.0
826PS-313,Fixed Asset,0.0,5234000.0,29850000.0,0.0,Department of Environmental Protection,21712799.82,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.91906223836658, 40.8874327992391]]}",0.0,0.0,fisa_2026,0.0,0.0,0.0,0.0
801HBGRWESPN,Fixed Asset,141165000.0,0.0,153000000.0,2775708.61,Department of Small Business Services,2775708.61,9058962.9,"{'type': 'MultiPoint', 'coordinates': [[-73.96853652567151, 40.747804779506275], [-73.96857976165003, 40.747744926549615], [-73.96879363262184, 40.747506377530804], [-73.96853994807181, 40.74820751296534], [-73.96849488772921, 40.748145851990344], [-73.96846587523845, 40.7480765690042], [-73.96845573866933, 40.748003499149156], [-73.9684650797086, 40.74793113702168], [-73.96849222677432, 40.74786367851922], [-73.96830978496006, 40.74771346994073], [-73.96836562349567, 40.74764523591597], [-73.96939669605254, 40.746735588804874], [-73.96394033317345, 40.752847426637004], [-73.96435969296893, 40.75235280040786], [-73.96474095741011, 40.75194345867378], [-73.96495568044504, 40.75173513905343], [-73.96656660600081, 40.7498170089575], [-73.96804497074835, 40.748030689271474], [-73.96809862884945, 40.747967227457444], [-73.96826162370448, 40.74777442906203], [-73.96171999366155, 40.75523851498723], [-73.96182879101643, 40.7551469967085], [-73.96209124997726, 40.754910526914855], [-73.96226317503238, 40.75471947990479], [-73.96230728182644, 40.75467047082938], [-73.96241019855458, 40.75455481742443], [-73.96282351367364, 40.75409034565603], [-73.96323460100096, 40.75361824348153], [-73.96334682298951, 40.753485813072054], [-73.96354750251253, 40.75321326849007]]}",0.0,0.0,fisa_2026,153000000.0,0.0,0.0,0.0
826PS-292,Fixed Asset,0.0,11700000.0,74356000.0,0.0,Department of Environmental Protection,7048668.21,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.83100429506077, 40.775199300021164]]}",0.0,0.0,fisa_2026,0.0,0.0,0.0,0.0
801SOLAR2,Lump Sum,3286000.0,0.0,19000000.0,14499131.55,Department of Small Business Services,14499131.55,196445.45,"{'type': 'MultiPoint', 'coordinates': [[-73.97441553736988, 40.73467620127395]]}",1000000.0,0.0,fisa_2026,18000000.0,0.51,0.51,0.0
806HAM13BXVA,"ITT, Vehicles, and Equipment",0.0,0.0,3319000.0,3318648.0,Housing Preservation and Development,3318648.0,0.0,"{'type': 'MultiPoint', 'coordinates': [[-73.86112899740229, 40.86154999649266]]}",0.0,0.0,fisa_2026,3319000.0,0.0,0.0,0.0
846P-300EAST,Fixed Asset,0.0,0.0,6475000.0,3579991.49,Department of Parks and Recreation,3579991.49,3367547.57,"{'type': 'MultiPoint', 'coordinates': [[-73.97049955170594, 40.74496808133821], [-73.93644610594016, 40.79036056951548]]}",0.0,0.0,fisa_2026,6475000.0,0.0,0.0,0.0
