preleave,learnteendv,prehotline,learnhr,rhy,preage,date
0,1,1,1,2,2,2008-08-04T00:00:00.000
1,1,0,1,2,2,2008-01-07T00:00:00.000
0,1,1,1,2,1,2012-05-10T00:00:00.000
0,1,1,1,2,2,2008-07-10T00:00:00.000
0,2,1,9,9,2,2008-07-01T00:00:00.000
0,1,0,1,2,2,2008-08-06T00:00:00.000
0,1,1,1,9,2,2008-03-31T00:00:00.000
0,1,0,1,2,2,2008-10-14T00:00:00.000
0,1,0,1,9,1,2013-10-19T00:00:00.000
0,1,1,1,2,2,2008-02-28T00:00:00.000
0,9,1,9,9,2,2008-01-28T00:00:00.000
0,2,0,2,2,2,2008-11-15T00:00:00.000
0,1,1,1,2,2,2009-02-02T00:00:00.000
0,1,0,1,2,2,2008-02-09T00:00:00.000
0,1,1,1,2,1,2009-01-31T00:00:00.000
0,1,1,1,2,1,2014-06-13T00:00:00.000
0,1,1,1,2,1,2009-07-23T00:00:00.000
1,1,1,1,2,1,2008-10-24T00:00:00.000
0,1,1,1,2,2,2008-07-01T00:00:00.000
0,1,1,1,2,2,2008-12-13T00:00:00.000
0,1,1,1,2,2,2009-02-02T00:00:00.000
0,1,0,1,2,2,2008-07-09T00:00:00.000
0,1,1,1,2,2,2008-02-23T00:00:00.000
0,1,1,1,2,2,2008-07-01T00:00:00.000
0,1,1,1,2,2,2007-11-16T00:00:00.000
0,1,1,1,2,2,2008-02-09T00:00:00.000
0,1,0,1,2,2,2009-01-16T00:00:00.000
0,1,1,1,2,2,2009-01-31T00:00:00.000
0,1,1,1,2,2,2008-08-06T00:00:00.000
0,1,0,1,2,2,2008-07-10T00:00:00.000
0,1,1,1,2,2,2009-02-04T00:00:00.000
0,1,0,1,2,2,2008-07-09T00:00:00.000
0,9,0,9,2,1,2016-02-27T00:00:00.000
0,1,1,1,2,2,2007-11-03T00:00:00.000
0,1,0,1,2,1,2009-03-14T00:00:00.000
1,1,0,1,2,2,2008-09-16T00:00:00.000
1,1,1,1,2,2,2007-11-16T00:00:00.000
0,1,1,1,2,2,2008-08-06T00:00:00.000
0,1,0,1,2,2,2008-09-20T00:00:00.000
0,1,1,1,9,2,2008-08-04T00:00:00.000
0,1,1,9,2,2,2008-01-28T00:00:00.000
1,9,0,9,9,1,2008-08-09T00:00:00.000
0,2,0,1,2,2,2008-04-28T00:00:00.000
0,1,1,1,2,2,2009-02-02T00:00:00.000
0,1,1,1,2,2,2008-02-09T00:00:00.000
0,9,1,9,9,2,2008-01-16T00:00:00.000
0,1,1,2,2,2,2008-09-16T00:00:00.000
0,1,1,1,2,2,2008-07-02T00:00:00.000
0,1,0,1,2,1,2014-06-13T00:00:00.000
0,1,1,1,2,2,2008-08-05T00:00:00.000
0,1,1,2,2,2,2008-10-27T00:00:00.000
0,1,1,1,2,2,2008-10-16T00:00:00.000
0,1,0,1,2,1,2009-03-18T00:00:00.000
1,1,0,1,2,2,2008-08-14T00:00:00.000
0,1,1,2,2,2,2008-07-24T00:00:00.000
0,1,1,1,2,2,2008-11-25T00:00:00.000
0,1,1,1,2,2,2008-10-24T00:00:00.000
0,1,1,1,2,2,2008-08-06T00:00:00.000
0,1,1,1,2,1,2016-02-27T00:00:00.000
0,1,1,1,2,2,2008-09-20T00:00:00.000
0,1,1,1,9,2,2008-08-14T00:00:00.000
0,1,1,1,2,2,2008-12-11T00:00:00.000
0,1,1,1,2,2,2009-02-05T00:00:00.000
0,1,1,1,2,2,2008-03-12T00:00:00.000
0,1,1,1,2,2,2008-07-09T00:00:00.000
0,1,1,1,9,2,2008-07-01T00:00:00.000
0,1,1,1,2,2,2008-08-04T00:00:00.000
1,1,0,1,2,2,2008-12-13T00:00:00.000
1,1,0,1,2,2,2008-08-11T00:00:00.000
0,1,0,1,2,2,2008-10-20T00:00:00.000
0,9,1,9,9,1,2014-12-06T00:00:00.000
0,2,1,2,2,2,2008-07-10T00:00:00.000
0,9,1,1,2,2,2008-09-30T00:00:00.000
0,1,1,1,1,2,2008-03-12T00:00:00.000
0,1,1,1,2,2,2008-11-19T00:00:00.000
0,1,1,1,2,2,2008-08-08T00:00:00.000
0,1,1,1,9,2,2009-01-02T00:00:00.000
1,1,1,1,9,2,2008-12-16T00:00:00.000
0,1,1,1,2,2,2008-01-18T00:00:00.000
0,1,1,1,2,2,2008-07-24T00:00:00.000
0,1,1,1,2,2,2008-09-27T00:00:00.000
1,1,1,1,2,2,2008-10-24T00:00:00.000
0,9,1,9,9,2,2008-12-04T00:00:00.000
0,1,1,1,2,2,2008-08-04T00:00:00.000
0,1,1,1,2,2,2008-10-24T00:00:00.000
0,1,1,1,2,2,2008-08-05T00:00:00.000
0,1,0,1,2,2,2009-01-16T00:00:00.000
0,1,1,1,2,1,2010-03-20T00:00:00.000
0,1,0,1,2,2,2008-04-21T00:00:00.000
0,1,1,1,2,2,2008-08-04T00:00:00.000
0,9,0,9,9,2,2008-10-20T00:00:00.000
0,1,0,1,2,1,2014-06-13T00:00:00.000
0,1,1,1,2,2,2008-02-07T00:00:00.000
0,9,1,9,9,2,2008-02-05T00:00:00.000
0,1,0,1,2,2,2008-10-14T00:00:00.000
0,1,0,1,2,2,2008-04-21T00:00:00.000
