site_id,:@computed_region_sbqj_enih,bbl,city
qu-01-108373,72,4005880008.0,New York
qu-01-146037,72,4006590008.0,New York
mn-12-120755,21,1021310001.0,New York
qu-01-145980,72,4004010001.0,New York
mn-06-138165,9,1008920047.0,New York
qu-12-141537,61,4097607501.0,New York
qu-12-123720,61,4104770002.0,New York
si-01-150744,74,5007220001.0,New York
qu-01-125118,72,4006970113.0,New York
mn-08-120942,11,1013817504.0,New York
mn-07-134640,15,1012180036.0,New York
si-02-125476,76,5033050089.0,New York
mn-07-120277,15,1018770001.0,New York
mn-08-134750,11,1014160001.0,New York
mn-07-133415,12,1012300043.0,New York
qu-12-153718,61,4097650032.0,New York
mn-12-120451,21,1021140005.0,New York
qu-03-125399,73,4014330003.0,New York
qu-06-145846,70,4031700031.0,New York
qu-04-136360,68,4014850023.0,New York
mn-08-119832,11,1015210033.0,New York
qu-03-111054,73,4014750027.0,New York
qu-01-145452,72,4006780003.0,New York
mn-11-120242,16,1017730017.0,New York
mn-12-120347,21,1021340180.0,New York
qu-09-128371,60,4033580001.0,New York
qu-02-145849,66,4024320009.0,New York
mn-12-135041,22,1021530036.0,New York
mn-07-121256,12,1011990061.0,New York
qu-06-107629,70,4030810130.0,New York
qu-06-124204,70,4031710028.0,New York
mn-08-120995,11,1014250001.0,New York
qu-04-134075,68,4013057501.0,New York
qu-12-118519,61,4101070063.0,New York
mn-08-120843,11,1014670001.0,New York
mn-08-121708,11,1014350023.0,New York
mn-08-121036,11,1013907501.0,New York
mn-07-121224,12,1011677501.0,New York
qu-02-125016,66,4000340047.0,New York
mn-09-120365,19,1020020034.0,New York
qu-01-125088,72,4006220041.0,New York
qu-12-124000,61,4109390001.0,New York
mn-08-134742,11,1014110033.0,New York
mn-07-121191,12,1011407501.0,New York
mn-08-120842,11,1014677501.0,New York
qu-09-124792,60,4091810037.0,New York
mn-10-119941,20,1020270025.0,New York
mn-11-146076,16,1017680033.0,New York
si-02-145732,76,5032200006.0,New York
mn-12-120768,22,1021530029.0,New York
qu-12-124531,71,4121040022.0,New York
mn-07-121238,12,1012290054.0,New York
si-02-145738,76,5039830130.0,New York
qu-12-157212,61,4098340010.0,New York
mn-09-111651,19,1020760061.0,New York
mn-06-139745,9,1013000033.0,New York
mn-12-111556,21,1021170007.0,New York
mn-07-121120,15,1012040001.0,New York
