unique_id,site_id,ppt_id,wifi_status,cross_street_1,council_district,phone_status,geocoded_column
2023-04-17.06:00:00.629.mn-11-146076,mn-11-146076,146076,up,EAST 119 STREET,8,up,"{'latitude': '40.80009573', 'longitude': '-73.93860514', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2023-04-17.06:00:00.629.qu-01-100721,qu-01-100721,100721,up,32 STREET,22,down,"{'latitude': '40.76150726', 'longitude': '-73.92421781', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2023-04-17.06:00:00.629.qu-04-145745,qu-04-145745,145745,up,GRAND AVENUE,25,down,"{'latitude': '40.736273', 'longitude': '-73.877364', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2023-04-17.06:00:00.629.mn-06-138570,mn-06-138570,138570,up,2 AVENUE,4,up,"{'latitude': '40.74867273', 'longitude': '-73.97332638', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2023-04-17.06:00:00.629.mn-12-131047,mn-12-131047,131047,up,ST NICHOLAS AVENUE,10,up,"{'latitude': '40.85487571', 'longitude': '-73.9293896', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2023-04-17.06:00:00.629.qu-01-145452,qu-01-145452,145452,up,STEINWAY STREET,22,down,"{'latitude': '40.75881765', 'longitude': '-73.91849412', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2023-04-17.06:00:00.629.qu-06-124227,qu-06-124227,124227,up,AUSTIN STREET,29,up,"{'latitude': '40.72024516', 'longitude': '-73.8446443', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2023-04-17.06:00:00.629.mn-07-119836,mn-07-119836,119836,up,COLUMBUS AVENUE,6,up,"{'latitude': '40.77737709', 'longitude': '-73.97844368', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2023-04-17.06:00:00.629.qu-12-141536,qu-12-141536,141536,up,168 STREET,27,up,"{'latitude': '40.706507', 'longitude': '-73.792368', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2023-04-17.06:00:00.629.qu-01-142694,qu-01-142694,142694,up,23 STREET,22,up,"{'latitude': '40.76453793', 'longitude': '-73.93059918', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2023-04-17.06:00:00.629.qu-03-125399,qu-03-125399,125399,up,86 STREET,25,down,"{'latitude': '40.755835', 'longitude': '-73.881778', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
2023-04-17.06:00:00.629.qu-12-118519,qu-12-118519,118519,up,150 STREET,27,up,"{'latitude': '40.6980506', 'longitude': '-73.802253', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
