sp0310b,pr0914,ct2000_09,congressdistrict_14,communitydistrict_14,electiondistrict_14,civilcourtdistrict_08,communitydistrict_15,electiondistrict_15,sp0216,communitydistrict_10,senatedistrict_09,congressdistrict_13,sp0416,communitydistrict_13,sp0909,councildistrict_12,pr0612,senatedistrict_15,pp12,pr10,politicalparty_16,civilcourtdistrict_09,politicalparty_10,borocode_11,sp0517,borocode_12,sp0310a,borocode_17,electiondistrict_13,assemblydistrict_08,pr0918,sp2018,ct2010_10,ct2010_15,communitydistrict_11,senatedistrict_16
,,17010.0,11.0,501.0,65.0,2.0,501.0,65.0,,503.0,24.0,11.0,,501.0,,49.0,0.0,24.0,0.0,0.0,REP,2.0,REP,5.0,,5.0,,5.0,65.0,63.0,,,17010.0,18901.0,503.0,23.0
,0.0,254.0,14.0,211.0,57.0,1.0,211.0,57.0,,211.0,34.0,14.0,,211.0,,13.0,,34.0,,0.0,DEM,1.0,DEM,2.0,,2.0,,2.0,57.0,80.0,0.0,,25400.0,25400.0,211.0,34.0
,1.0,345.0,16.0,208.0,56.0,2.0,208.0,56.0,,208.0,34.0,16.0,,208.0,,11.0,1.0,34.0,,1.0,DEM,2.0,DEM,2.0,,2.0,,2.0,56.0,81.0,1.0,,34500.0,34500.0,208.0,34.0
,,,,,,,,,,,,,,,,,,,,,BLK,,,,,,,1.0,,,,,,,,28.0
,0.0,363.0,16.0,210.0,66.0,1.0,210.0,66.0,,206.0,36.0,15.0,,206.0,,15.0,,36.0,,0.0,DEM,1.0,DEM,2.0,,2.0,,2.0,7.0,76.0,0.0,,36300.0,30200.0,206.0,36.0
,0.0,40302.0,13.0,207.0,25.0,2.0,207.0,25.0,,207.0,33.0,13.0,,207.0,,15.0,0.0,33.0,,0.0,DEM,2.0,DEM,2.0,,2.0,,2.0,25.0,78.0,0.0,,40302.0,40302.0,207.0,33.0
,,23501.0,13.0,109.0,26.0,7.0,109.0,26.0,,109.0,30.0,13.0,,109.0,,7.0,,30.0,,,BLK,7.0,BLK,1.0,0.0,1.0,,1.0,26.0,71.0,,,23501.0,23501.0,109.0,30.0
,,,8.0,303.0,44.0,,303.0,44.0,,,,,,,,,,25.0,,,DEM,,,,,,,4.0,,,1.0,,,38300.0,,21.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,0.0,,,,,
,0.0,892.0,9.0,316.0,94.0,4.0,316.0,94.0,,316.0,19.0,9.0,,316.0,,41.0,0.0,20.0,,0.0,DEM,4.0,DEM,3.0,,3.0,,3.0,94.0,55.0,0.0,,89200.0,89200.0,316.0,20.0
,,,7.0,304.0,37.0,,304.0,37.0,,,,7.0,,304.0,,37.0,,18.0,,,BLK,,,,,3.0,,3.0,37.0,,,,,43700.0,,18.0
