pr0614,nta_18,ge08,nta_09,assemblydistrict_18,civilcourtdistrict_14,pr11,electiondistrict_17,pp08,civilcourtdistrict_17,senatedistrict_13,ct2010_12,ct2010_13,senatedistrict_08,congressdistrict_16,electiondistrict_08,ge14,civilcourtdistrict_15,nta_14,civilcourtdistrict_12,ge16,nta_10,congressdistrict_08,ct2010_18,ge09,assemblydistrict_16,councildistrict_14,nta_15,ge15,sp0209,assemblydistrict_12,borocode_10
,SI12,0.0,SI48,63,1.0,,80.0,0.0,1.0,24.0,2001.0,18901.0,24.0,11.0,85.0,0.0,1.0,SI07,2.0,1.0,SI48,13.0,30301,0.0,61.0,50.0,SI07,,,64.0,5.0
,BX37,0.0,BX37,82,1.0,,57.0,0.0,1.0,34.0,25400.0,25400.0,34.0,14.0,9.0,0.0,1.0,BX37,1.0,0.0,BX37,7.0,25400,0.0,82.0,13.0,BX37,,,82.0,2.0
,BX22,1.0,BX22,81,2.0,,56.0,1.0,2.0,34.0,34500.0,34500.0,34.0,16.0,56.0,1.0,2.0,BX22,2.0,1.0,BX22,17.0,34500,1.0,81.0,11.0,BX22,,,81.0,2.0
,MN19,,,73,,,39.0,,4.0,,,,,12.0,,,,,,1.0,,,10800,,73.0,,,,,,
,BX13,1.0,BX17,82,1.0,,66.0,0.0,1.0,32.0,36300.0,36300.0,36.0,16.0,3.0,0.0,1.0,BX13,1.0,1.0,BX17,16.0,30200,0.0,82.0,12.0,BX13,,,87.0,2.0
0.0,BX05,0.0,BX05,78,2.0,,25.0,0.0,2.0,33.0,40302.0,40302.0,33.0,13.0,24.0,0.0,2.0,BX05,2.0,0.0,BX05,16.0,40302,0.0,78.0,15.0,BX05,,,78.0,2.0
,MN04,1.0,MN04,71,7.0,,26.0,,7.0,30.0,23501.0,23501.0,30.0,13.0,22.0,1.0,7.0,MN04,7.0,1.0,MN04,15.0,23501,0.0,71.0,7.0,MN04,,,71.0,1.0
,QN70,,,36,2.0,,19.0,,1.0,,,,,9.0,,1.0,2.0,BK35,,1.0,,,6501,,42.0,41.0,BK35,,,,
,SI28,,,61,,,,,,,,,,,,,,,,,,,21300,,,,,,,,
,MN35,,,72,,,34.0,,7.0,,,,,,,,,,,,,,27900,,,,,,,,
