job_filing_number,job_number,bin,gis_longitude,amount_paid,disability_policy,joint_venture_work,disability_expiration_date,general_wiring,amount_due,remove_meters,applicant_last_name,payment_method,house_number,building_use_type,lot,firm_name,filing_fee,state,zip_code
M00552551-I1-EL,M00552551,1002399,-73.998297,40,DBL553850,No,2022-04-07T00:00:00.000,Yes,0,0,YU,Check,61,K Commercial,29,J Y ELECTRIC INC,40,NY,10013
X00522925-P1,X00522925,2069063,-73.845806,40,D98,No,2022-05-05T00:00:00.000,No,0,0,ESBRI,,1952,B Two Family,2,RAIDEN ELECTRIC LLC,0,NY,10466
M00679665-I1-EL,M00679665,1015394,-73.992397,40,652,No,2023-01-31T00:00:00.000,Yes,0,0,STEIN,Credit Card,114,O Office Bldg,51,KNIGHT ELEC'L SERV. CORP.,40,NY,10011
X00552080-I1-EL,X00552080,2066569,-73.842464,40,DBL78804,No,2021-10-31T00:00:00.000,Yes,0,0,KIM,Check,1213,K Commercial,8,ASKO ELEC CONST & MAIN IN,40,NY,10466
B00650077 -I1-EL,B00650077,3017355,-73.981129,40,DBL 471890,No,2022-09-01T00:00:00.000,No,0,0,BURKE,Credit Card,575,B Two Family,68,"BROOKYLN SOLARWORKS, LLC",40,NY,11218
B00064757-P2,B00064757,3002796,-73.99211,40,D166714,No,2019-07-05T00:00:00.000,Yes,0,1,D'AMBROSIO,,112,K Commercial,43,ACCURATE ELEC'L CONTR'S C,0,NY,11201
B00749361-I1-EL,B00749361,3071806,-73.93834,15,DBL390171,No,2025-01-01T00:00:00.000,No,0,0,DEOL,Credit Card,18,W School,26,CHARAN ELEC'L ENTERP'S IN,15,NY,11206
M00508193-I1-EL,M00508193,1000884,-74.006929,40,L87331-000,No,2021-08-16T00:00:00.000,Yes,0,0,MOHAMMED,Credit Card,130,L Five or more Family,7501,RESPONSE ELECTRIC INC.,40,NY,10005
B00003474-I1-EL,B00003474,3062028,-73.961861,40,61621-01,No,2018-04-29T00:00:00.000,No,0,0,ESPOSITO,Credit Card,121,A One Family,7,ALL WAYS ELECTRIC CORP.W,40,NY,11249
B00433508-P1,B00433508,3428764,-73.963467,40,DBL352992,No,2023-01-23T00:00:00.000,Yes,0,0,FUCHS,,144,L Five or more Family,6,HIVOLTS ELECTRICAL INC,0,NY,11211
B00222939-I1-EL,B00222939,3323704,-74.010351,0,DBL 339257,No,2023-05-16T00:00:00.000,No,0,0,MILIOTI,,135,L Five or more Family,1,HIGH VOLT ELEC CORP. OF,0,NY,11231
B00915632-P1,B00915632,3160667,-74.00509,40,921230 0000,No,2024-03-22T00:00:00.000,Yes,0,0,CEN,,1428,B Two Family,20,R & T ELECTRICAL CORP,0,NY,11228
B00618781-I1-EL,B00618781,3035242,-73.959371,15,DBL584563,No,2021-12-31T00:00:00.000,No,0,0,GEIGER,Credit Card,50,L Five or more Family,13,ADAM ELECL CONTRNG LLC,15,NY,11225
X00813034-I1-EL,X00813034,2101786,-73.88626,15,DBL 428000,No,2023-12-30T00:00:00.000,No,0,0,OZKURT,Credit Card,1021,W School,1,"GEMINI ELECTRIC CO., INC.",15,NY,10460
M00510713-P1,M00510713,1089664,-73.998686,40,B-532,No,2021-07-15T00:00:00.000,Yes,0,0,DEVINCENZO,,435,K Commercial,7502,"ZWICKER ELEC. CO., INC.",0,NY,10001
B01147518-P1,B01147518,3112781,-73.937478,40,L72662-000,No,2026-09-15T00:00:00.000,Yes,0,1,DEONARINE,,4121,A One Family,43,ELPO ELECTRICAL CONTG INC,0,NY,11203
