project_id,_3_br_units,total_units,census_tract,_5_br_units,project_name,borough,reporting_construction_type,middle_income_units,building_completion_date,extended_affordability_status
74117,,216,97202.0,,ARVERNE PRESERVATION.HRP.FY25,Queens,Preservation,42.0,,No
77055,,10,898.0,,166 LIVONIA AVENUE,Brooklyn,New Construction,9.0,,No
76314,,78,23301.0,,130 EAST 177 STREET APARTMENTS,Bronx,New Construction,24.0,,No
77067,,22,23302.0,,304 EAST TREMONT AVENUE APARTMENTS_HPS,Bronx,New Construction,21.0,,No
68577,8.0,22,36501.0,,TBX1006-JGV/BRONXPRO,Bronx,Preservation,,,No
76418,,166,711.0,,THE YELLOWSTONE APARTMENTS,Queens,New Construction,50.0,,No
76416,,20,391.0,,2301 BEAUMONT AVENUE,Bronx,New Construction,19.0,2025-06-16T00:00:00.000,No
76269,,57,411.0,,3165 VILLA AVE _ HPS,Bronx,New Construction,56.0,2024-12-20T00:00:00.000,No
76172,,1,,,CONFIDENTIAL,Brooklyn,Preservation,,2025-03-28T00:00:00.000,No
69582,1.0,1,11203.0,,URBAN ECOSPACES,Staten Island,New Construction,,,No
75421,1.0,1,31902.0,,NORTH SHORE PLAZA.YR15.FY25,Staten Island,Preservation,,,No
61640,,61,206.0,,VINCENT P CYRUS.YR15.FY25,Manhattan,Preservation,,,No
73920,1.0,17,103201.0,,WFHA ROCKAWAY HOLDINGS L.P. (DIX AVENUE).PLP.FY25,Queens,Preservation,,,No
76744,,227,1502.0,,111 WILLOUGHBY,Brooklyn,New Construction,69.0,,No
75173,,12,386.0,,EASTCHESTER HEIGHTS HDFC.HPO.FY25,Bronx,Preservation,,,Yes
68208,8.0,25,551.0,,TBK1001A - LOS SURES,Brooklyn,Preservation,,,No
76753,,7,473.0,,88-30 54 AVENUE APARTMENTS,Queens,New Construction,3.0,,No
70651,28.0,141,373.0,,DENNIS LANE.HRP.FY24,Bronx,Preservation,,,No
75925,21.0,209,107001.0,,RISEBORO. ALAFIA PH II,Brooklyn,New Construction,,,No
77148,,17,37502.0,,96-11 37 AVENUE,Queens,New Construction,,,No
76330,,10,415.0,,2958 MARION AVE APARTMENTS,Bronx,New Construction,3.0,2025-06-24T00:00:00.000,No
73332,1.0,6,120802.0,,LINDEN PLAZA.YR15.FY25,Brooklyn,Preservation,,,No
76267,,19,40502.0,,2710 DECATUR AVE_HPS,Bronx,New Construction,18.0,,No
69611,,103,193.0,,ICL. 161 EMERSON PLACE,Brooklyn,New Construction,,,No
75873,1.0,1,,,CONFIDENTIAL,Brooklyn,New Construction,,2024-08-30T00:00:00.000,No
76337,,9,826.0,,2819 CLARENDON RD,Brooklyn,New Construction,3.0,,No
74485,,240,263.0,,RACHEL BRIDGE HDFC.HPO.FY25,Manhattan,Preservation,2.0,2024-11-27T00:00:00.000,Yes
76051,,3,,,CONFIDENTIAL,Brooklyn,Preservation,,,No
73332,50.0,294,120802.0,,LINDEN PLAZA.YR15.FY25,Brooklyn,Preservation,,,No
76101,1.0,1,,,CONFIDENTIAL,Staten Island,New Construction,,2024-11-08T00:00:00.000,No
75173,,9,386.0,,EASTCHESTER HEIGHTS HDFC.HPO.FY25,Bronx,Preservation,,,Yes
72588,,8,101.0,,FAC JOE SHELTER RETROFIT GHPP.FY24 (PHASE I),Brooklyn,Preservation,,,No
76820,,1,,,CONFIDENTIAL,Bronx,New Construction,,2025-04-18T00:00:00.000,No
75421,1.0,1,31902.0,,NORTH SHORE PLAZA.YR15.FY25,Staten Island,Preservation,,,No
75173,,12,386.0,,EASTCHESTER HEIGHTS HDFC.HPO.FY25,Bronx,Preservation,,,Yes
