building_id,latitude,longitude,project_start_date,_1_br_units,all_counted_units,_4_br_units,studio_units,very_low_income_units,counted_rental_units,unknown_br_units
930631.0,40.87759,-73.849791,2024-12-19T00:00:00.000,,8.0,,,,8.0,
1006623.0,40.754485,-73.93332,2025-04-22T00:00:00.000,9.0,19.0,,,,19.0,
,,,2025-05-09T00:00:00.000,1.0,1.0,,,,,
877798.0,40.837981,-73.907118,2025-04-25T00:00:00.000,14.0,98.0,,,58.0,98.0,
1013796.0,40.892055,-73.860743,2024-09-05T00:00:00.000,,14.0,,1.0,,14.0,
930949.0,40.877017,-73.850458,2024-12-19T00:00:00.000,8.0,14.0,,2.0,1.0,14.0,
109365.0,40.839955,-73.922468,2024-10-10T00:00:00.000,6.0,7.0,,,,7.0,
956166.0,40.637972,-74.171219,2025-03-31T00:00:00.000,,1.0,1.0,,,1.0,
1016814.0,40.673479,-73.896284,2025-03-27T00:00:00.000,2.0,50.0,,,,50.0,
343596.0,40.632723,-73.944733,2024-12-23T00:00:00.000,5.0,11.0,,3.0,,11.0,
1006161.0,40.746303,-73.942452,2024-08-27T00:00:00.000,7.0,11.0,,1.0,,11.0,
930771.0,40.877242,-73.850599,2024-12-19T00:00:00.000,1.0,10.0,,1.0,,10.0,
,,,2024-11-25T00:00:00.000,,1.0,,,,,
,,,2024-11-08T00:00:00.000,,1.0,,,,,1.0
956164.0,40.638032,-74.17122,2025-03-31T00:00:00.000,,1.0,1.0,,,1.0,
,,,2024-10-30T00:00:00.000,,2.0,,,,,2.0
132465.0,40.660666,-73.990557,2024-12-20T00:00:00.000,2.0,4.0,,,1.0,4.0,
956126.0,40.63958,-74.171256,2025-03-31T00:00:00.000,,1.0,1.0,,,1.0,
927205.0,40.667748,-73.899616,2024-12-30T00:00:00.000,1.0,4.0,,1.0,2.0,4.0,
37595.0,40.799661,-73.963849,2025-06-30T00:00:00.000,,10.0,2.0,,2.0,10.0,
1014155.0,40.869385,-73.893248,2024-10-07T00:00:00.000,18.0,43.0,,25.0,,43.0,
1015676.0,40.750555,-73.942664,2024-08-19T00:00:00.000,34.0,72.0,,25.0,,72.0,
1014141.0,40.846279,-73.903821,2025-06-30T00:00:00.000,19.0,111.0,,92.0,35.0,111.0,
3427.0,40.806169,-73.950361,2025-01-01T00:00:00.000,,56.0,,56.0,,56.0,
1016893.0,40.831149,-73.921156,2025-03-31T00:00:00.000,17.0,74.0,,49.0,,74.0,
812479.0,40.638993,-74.171244,2025-03-31T00:00:00.000,60.0,122.0,,12.0,7.0,122.0,
930627.0,40.87756,-73.849773,2024-12-19T00:00:00.000,8.0,12.0,,,1.0,12.0,
79328.0,40.829029,-73.887148,2024-09-19T00:00:00.000,67.0,169.0,,2.0,25.0,169.0,
1014038.0,40.601083,-73.756295,2024-07-11T00:00:00.000,17.0,25.0,,,,25.0,
,,,2024-12-13T00:00:00.000,1.0,1.0,,,,,
,,,2024-11-21T00:00:00.000,1.0,1.0,,,,,
1011483.0,40.697663,-73.986191,2025-03-12T00:00:00.000,7.0,22.0,,4.0,,22.0,
79792.0,40.838411,-73.899557,2024-06-28T00:00:00.000,5.0,46.0,,,35.0,46.0,
979882.0,40.772138,-73.92563,2025-04-25T00:00:00.000,7.0,21.0,,3.0,,21.0,
1017025.0,40.848049,-73.904328,2025-03-31T00:00:00.000,18.0,41.0,,23.0,,41.0,
956150.0,40.638932,-74.17124,2025-03-31T00:00:00.000,,1.0,,,,1.0,
930514.0,40.877497,-73.84772,2024-12-19T00:00:00.000,,9.0,,1.0,,9.0,
88524.0,40.809134,-73.910554,2025-06-30T00:00:00.000,,42.0,6.0,,30.0,42.0,
321897.0,40.693046,-73.9275,2025-06-13T00:00:00.000,,3.0,,,,3.0,
267282.0,40.658708,-73.9301,2025-05-14T00:00:00.000,,3.0,,,,3.0,
887513.0,40.81164,-73.946369,2025-01-30T00:00:00.000,19.0,48.0,,,44.0,48.0,
,,,2025-06-13T00:00:00.000,,2.0,,,2.0,,2.0
154257.0,40.648729,-74.01631,2024-12-20T00:00:00.000,3.0,8.0,,1.0,4.0,8.0,
930402.0,40.876729,-73.85031,2024-12-19T00:00:00.000,8.0,13.0,,1.0,,13.0,
97336.0,40.83134,-73.915244,2025-06-27T00:00:00.000,,5.0,,,2.0,5.0,
95425.0,40.835303,-73.85697,2024-07-01T00:00:00.000,10.0,23.0,,13.0,,23.0,
