license_nbr,cp_dd,issuance,community_district,cb_dd,swc_type,cd_url,app_too_date,app_status_date
1420950-DCA,,Issued,306,2019-01-24T00:00:00.000,Unenclosed,http://www.brooklyncb6.org/,,2019-06-21T00:00:00.000
2033301-DCA,2018-04-10T00:00:00.000,Pending Review,105,2018-05-31T00:00:00.000,Unenclosed,http://www.cb5.org,2020-02-08T00:00:00.000,2020-01-02T00:00:00.000
0769760-DCA,2018-05-16T00:00:00.000,Pending Review,107,2018-05-16T00:00:00.000,Enclosed,http://www.nyc.gov/mcb7,2020-09-10T00:00:00.000,2020-06-10T00:00:00.000
2056096-DCA,2019-09-16T00:00:00.000,Pending Review,108,2019-10-31T00:00:00.000,Unenclosed,http://www.cb8m.com/,2019-12-15T00:00:00.000,2019-09-16T00:00:00.000
2062932-DCA,2019-12-13T00:00:00.000,Pending Review,104,2020-02-13T00:00:00.000,Unenclosed,http://www.nyc.gov/mcb4,2020-07-20T00:00:00.000,2020-05-28T00:00:00.000
2042216-DCA,2019-08-30T00:00:00.000,Pending Review,108,2019-08-30T00:00:00.000,Enclosed,http://www.cb8m.com/,2020-06-10T00:00:00.000,2020-03-10T00:00:00.000
0811193-DCA,2019-07-25T00:00:00.000,Pending Review,108,2019-08-21T00:00:00.000,Unenclosed,http://www.cb8m.com/,2020-03-15T00:00:00.000,2019-12-11T00:00:00.000
1383044-DCA,2019-11-26T00:00:00.000,Pending Review,102,2019-12-31T00:00:00.000,Unenclosed,http://www.nyc.gov/manhattancb2,2020-02-15T00:00:00.000,2019-11-26T00:00:00.000
2074710-DCA,2019-12-18T00:00:00.000,Pending Review,102,2020-02-20T00:00:00.000,Unenclosed,http://www.nyc.gov/manhattancb2,2020-09-22T00:00:00.000,2020-01-02T00:00:00.000
1468690-DCA,2020-01-07T00:00:00.000,Pending Review,106,2020-03-05T00:00:00.000,Small Unenclosed,http://cbsix.org,2020-07-03T00:00:00.000,2020-06-03T00:00:00.000
2095272-DCA,2020-03-11T00:00:00.000,Pending Review,106,2020-03-11T00:00:00.000,Enclosed,http://cbsix.org,2020-04-11T00:00:00.000,2020-03-11T00:00:00.000
2053880-DCA,2019-12-06T00:00:00.000,Pending Review,302,2020-01-29T00:00:00.000,Unenclosed,http://www.nyc.gov/html/bkncb2/html/home/home.shtml,2020-08-29T00:00:00.000,2020-05-28T00:00:00.000
2051494-DCA,2020-02-03T00:00:00.000,Pending Review,103,2020-03-26T00:00:00.000,Unenclosed,http://www.nyc.gov/manhattancb3,2020-08-03T00:00:00.000,2020-06-03T00:00:00.000
2047686-DCA,2019-04-17T00:00:00.000,Pending Review,109,2019-06-28T00:00:00.000,Unenclosed,http://www.cb9m.org,,2020-03-02T00:00:00.000
2073985-DCA,2019-10-30T00:00:00.000,Pending Review,401,2019-12-11T00:00:00.000,Enclosed,http://www.nyc.gov/html/qnscb1/html/home/home.shtml,2020-02-12T00:00:00.000,2021-10-07T00:00:00.000
1467150-DCA,2019-12-11T00:00:00.000,Pending Review,105,2019-12-11T00:00:00.000,Unenclosed,http://www.cb5.org,2020-01-11T00:00:00.000,2019-12-11T00:00:00.000
1325458-DCA,2020-01-13T00:00:00.000,Pending Review,102,2020-05-19T00:00:00.000,Unenclosed,http://www.nyc.gov/manhattancb2,2020-07-19T00:00:00.000,2020-05-28T00:00:00.000
1466251-DCA,2013-11-13T00:00:00.000,,108,,Enclosed,http://www.cb8m.com/,2019-11-30T00:00:00.000,2019-05-23T00:00:00.000
1250013-DCA,2019-11-01T00:00:00.000,Pending Review,102,2020-01-06T00:00:00.000,Unenclosed,http://www.nyc.gov/manhattancb2,2020-04-06T00:00:00.000,2020-01-06T00:00:00.000
1360215-DCA,2019-05-23T00:00:00.000,Pending Review,310,2019-05-23T00:00:00.000,Enclosed,http://www.bkcb10.org/,2020-07-02T00:00:00.000,2020-01-02T00:00:00.000
2033601-DCA,2019-05-22T00:00:00.000,Pending Review,306,2019-05-22T00:00:00.000,Enclosed,http://www.brooklyncb6.org/,2020-09-10T00:00:00.000,2020-06-10T00:00:00.000
1222376-DCA,2018-05-21T00:00:00.000,Pending Review,406,2018-05-21T00:00:00.000,Enclosed,http://queenscb6.org/,2020-03-12T00:00:00.000,2019-09-12T00:00:00.000
2077166-DCA,2018-05-03T00:00:00.000,Pending Review,102,2018-05-03T00:00:00.000,Enclosed,http://www.nyc.gov/manhattancb2,2020-08-31T00:00:00.000,2021-10-07T00:00:00.000
1437537-DCA,2020-04-03T00:00:00.000,Pending Review,102,2020-04-03T00:00:00.000,Unenclosed,http://www.nyc.gov/manhattancb2,2020-07-15T00:00:00.000,2020-06-09T00:00:00.000
1452982-DCA,2020-02-13T00:00:00.000,Pending Review,102,2020-02-13T00:00:00.000,Unenclosed,http://www.nyc.gov/manhattancb2,2020-03-12T00:00:00.000,2020-02-13T00:00:00.000
0949696-DCA,2020-06-19T00:00:00.000,Pending Review,108,,Enclosed,http://www.cb8m.com/,2020-07-18T00:00:00.000,2020-06-19T00:00:00.000
1316170-DCA,2019-12-05T00:00:00.000,Pending Review,306,2020-03-06T00:00:00.000,Unenclosed,http://www.brooklyncb6.org/,2020-09-05T00:00:00.000,2020-06-05T00:00:00.000
1432061-DCA,2018-07-10T00:00:00.000,Pending Review,102,2018-07-10T00:00:00.000,Enclosed,http://www.nyc.gov/manhattancb2,2019-11-17T00:00:00.000,2019-05-16T00:00:00.000
1206030-DCA,2019-12-12T00:00:00.000,Pending Review,104,2020-02-13T00:00:00.000,Unenclosed,http://www.nyc.gov/mcb4,2020-04-13T00:00:00.000,2020-03-05T00:00:00.000
