app_id,license_nbr,business_name,app_chairs,city,dpqa,send_package_dd,swc_tables,hearing_dd,moo,cp
20849-2019-RSWC,1271565-DCA,"MAGNOLIA COLUMBUS AVENUE, LLC",34,NEW YORK,Issued Temp Op Letter,2019-05-28T00:00:00.000,15,,Pending Review,Pending Review
26326-2019-RSWC,1458966-DCA,"PLAN A GROUP, LLC",16,NEW YORK,Issued Temp Op Letter,2019-09-09T00:00:00.000,4,2019-10-29T00:00:00.000,Pending Review,Pending Review
34400-2019-RSWC,1391390-DCA,SALERNITANI LTD,16,NEW YORK,Issued Temp Op Letter,2019-12-04T00:00:00.000,8,2020-01-24T00:00:00.000,Pending Review,Pending Review
18098-2019-RSWC,1414471-DCA,TRIM CASTLE CORP.,21,NEW YORK,Issued Temp Op Letter,2019-04-19T00:00:00.000,8,2019-05-20T00:00:00.000,Pending Review,Pending Review
35841-2019-RSWC,1248652-DCA,22 EAST 54TH STREET RESTAURANT CORP.,10,NEW YORK,Issued Temp Op Letter,2020-02-14T00:00:00.000,5,2020-03-05T00:00:00.000,Pending Review,Pending Review
28090-2019-RSWC,2056569-DCA,B.L.T.G. PIZZA INC.,30,NEW YORK,Approved,2019-09-27T00:00:00.000,15,2019-12-06T00:00:00.000,Approved,
1143-2020-RSWC,2056574-DCA,"LA PETIT AMELIE, LLC",8,NEW YORK,Issued Temp Op Letter,2020-01-21T00:00:00.000,4,,Pending Review,Pending Review
18059-2017-RSWC,0851667-DCA,"TOTORE PIZZERIA & RESTAURANT, INC.",32,ASTORIA,Issued Temp Op Letter,2017-05-23T00:00:00.000,8,,Pending Review,Pending Review
1009-2018-ASWC,,ELEVEN FOOD AND BEVERAGE INC.,26,NEW YORK,Review Completed,2018-01-26T00:00:00.000,6,2020-04-17T00:00:00.000,Pending Review,Proceed
20102-2019-RSWC,2042255-DCA,LENWICH 54TH LLC,35,NEW YORK,Issued Temp Op Letter,2019-05-20T00:00:00.000,19,,Pending Review,Pending Review
4810-2018-RSWC,1379700-DCA,MY MOST FAVORITE 72ND ST. CORP.,27,NEW YORK,Issued Temp Op Letter,2018-03-19T00:00:00.000,10,,Pending Review,Pending Review
34812-2019-RSWC,1465832-DCA,"BILL'S DTM NY, LLC",14,NEW YORK,Issued Temp Op Letter,2019-12-10T00:00:00.000,7,2020-01-29T00:00:00.000,Pending Review,Pending Review
149-2013-RSWC,1131159-DCA,FOUR GREEN FIELDS LLC.,24,NEW YORK,Issued Temp Op Letter,2014-03-06T00:00:00.000,12,,,Pending Review
