property_id,property_name,address_1,retail_store_number_of_open,natural_gas_use_kbtu,ambulatory_surgical_center,enclosed_mall_gross_floor,property_gfa_calculated,other_weekly_operating_hours,other_gross_floor_area_ft,parent_property_id,year_ending,office_percent_that_can_be,number_of_buildings,worship_facility_gross_floor,retail_store_number_of_walk,office_weekly_operating_hours,refrigerated_warehouse_gross,weather_normalized_site_eui,difference_from_national_2,hospital_general_medical_3,hospital_general_medical_11,weather_normalized_site_2,college_university_number,nyc_borough_block_and_lot,movie_theater_gross_floor,medical_office_percent_that,adult_education_gross_floor,direct_ghg_emissions_metric,residence_hall_dormitory,data_center_pdu_output_meter,hotel_gym_fitness_center,convention_center_gross_floor,hospital_general_medical_13,hospital_general_medical_6,alert_data_center_does_not,multifamily_housing_resident,bank_branch_gross_floor_area,difference_from_national_1,financial_office_computer,weather_normalized_site_1,largest_property_use_type_1,other_number_of_workers_on,council_district,distribution_center_gross,net_emissions_metric_tons,urgent_care_clinic_other,list_of_all_property_use,district_chilled_water_use,supermarket_grocery_gross,national_median_reference,supermarket_grocery_open,hospital_general_medical_2,medical_office_mri_machine
4473965,MORRIS I/MORRIS II/MORRISANIA CAMPUS,1385 WASHINGTON AVENUE,Not Available,229450352.2,Not Available,Not Available,2114950,Not Available,Not Available,4473965,2016-12-31T00:00:00.000,Not Available,19,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2029010001;2029100001;2029020036;2029110001;2023900024,Not Available,Not Available,Not Available,12189.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,23.3,Not Available,Not Available,2114950,Not Available,16.0,Not Available,16855.5,Not Available,Multifamily Housing,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Not Available,Not Available,Not Available
5990152,501 10 Avenue,501 10th Avenue,Not Available,27451100.5,Not Available,Not Available,263000,Not Available,Not Available,Not Applicable: Standalone Property,2016-12-31T00:00:00.000,Not Available,1,Not Available,Not Available,Not Available,Not Available,109.3,Not Available,Not Available,Not Available,274511,Not Available,1-00710-0029,Not Available,Not Available,Not Available,1458.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,39.2,Not Available,1,263000,Not Available,3.0,Not Available,1578.5,Not Available,Non-Refrigerated Warehouse,Not Available,Not Available,CBECS - Unrefrigerated Warehouse & Distribution Center,Not Available,Not Available,Not Available
5932277,385 3rd Avenue,385 3rd Avenue,Not Available,3051765.1,Not Available,Not Available,63277,Not Available,Not Available,Not Applicable: Standalone Property,2016-12-31T00:00:00.000,Not Available,1,Not Available,Not Available,Not Available,Not Available,66,Not Available,Not Available,Not Available,33190.6,Not Available,1009087502,Not Available,Not Available,Not Available,162.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,-12.2,Not Available,0.5,63277,Not Available,2.0,Not Available,242.8,Not Available,Multifamily Housing,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Not Available,Not Available,Not Available
4919368,1420 Gateway,1420 Gatewy Boulevard,Not Available,2998874.9,Not Available,Not Available,71100,Not Available,Not Available,Not Applicable: Standalone Property,2016-12-31T00:00:00.000,Not Available,1,Not Available,Not Available,Not Available,Not Available,48.4,Not Available,Not Available,Not Available,33046.1,Not Available,4-15563-0046,Not Available,Not Available,Not Available,159.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,No specific resident population,Not Available,-57.4,Not Available,0.5,71100,Not Available,,Not Available,172.1,Not Available,Multifamily Housing,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Not Available,Not Available,Not Available
5936256,45-40 Vernon Boulevard,45-40 Vernon Boulevard,Not Available,0,Not Available,Not Available,86937,Not Available,Not Available,Not Applicable: Standalone Property,2016-12-31T00:00:00.000,Not Available,1,Not Available,Not Available,Not Available,Not Available,3.4,Not Available,Not Available,Not Available,0,Not Available,4-00026-0004,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,-82.1,Not Available,0,86937,Not Available,26.0,Not Available,27.5,Not Available,Non-Refrigerated Warehouse,Not Available,Not Available,CBECS - Unrefrigerated Warehouse & Distribution Center,Not Available,Not Available,Not Available
6011145,148 Madison Avenue,148 Madison Avenue,Not Available,296317.6,Not Available,Not Available,88963,Not Available,Not Available,Not Applicable: Standalone Property,2016-12-31T00:00:00.000,100,1,Not Available,Not Available,65,Not Available,39.1,Not Available,Not Available,Not Available,2963.2,Not Available,1-00861-0064,Not Available,Not Available,Not Available,15.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,-45.4,Not Available,0,88963,Not Available,4.0,Not Available,304.5,Not Available,Office,Not Available,Not Available,CBECS - Office & Bank/Financial,Not Available,Not Available,Not Available
4399380,Residence Inn by Marriott,144 E 48th Street,Not Available,4133157.5,Not Available,Not Available,96000,Not Available,Not Available,Not Applicable: Standalone Property,2016-12-31T00:00:00.000,Not Available,1,Not Available,Not Available,Not Available,Not Available,111,Not Available,Not Available,Not Available,43316.1,Not Available,1-01302-0043,Not Available,Not Available,Not Available,219.5,Not Available,Not Available,700,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,11.8,Not Available,0.5,96000,Not Available,4.0,Not Available,807.5,Not Available,Hotel,Not Available,Not Available,CBECS - Hotel & Motel/Inn,Not Available,Not Available,Not Available
4917102,GP Associates,1470 First Avenue,Not Available,271969.7,Not Available,Not Available,79494,Not Available,Not Available,Not Applicable: Standalone Property,2016-12-31T00:00:00.000,Not Available,1,Not Available,Not Available,Not Available,Not Available,56.4,Not Available,Not Available,Not Available,2719.7,Not Available,1-01471-0003,Not Available,Not Available,Not Available,14.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,No specific resident population,Not Available,-40.7,Not Available,0,75294,Not Available,5.0,Not Available,282.5,Not Available,"Multifamily Housing, Restaurant",Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Not Available,Not Available,Not Available
6038982,Prime Property Management of NY LLC  88-34 161 Street,88-34 161 Street,Not Available,5584400.4,Not Available,Not Available,83100,Not Available,Not Available,Not Applicable: Standalone Property,2016-12-31T00:00:00.000,Not Available,1,Not Available,Not Available,Not Available,Not Available,76.5,Not Available,Not Available,Not Available,58595.2,Not Available,4097640077,Not Available,Not Available,Not Available,296.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,-20.3,Not Available,0.7,83100,Not Available,24.0,Not Available,340.4,Not Available,Multifamily Housing,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Not Available,Not Available,Not Available
5934876,"DECATUR ENTERPRISE, LLC",3366 Decatur Ave.,Not Available,307080.6,Not Available,Not Available,60850,Not Available,Not Available,Not Applicable: Standalone Property,2016-12-31T00:00:00.000,Not Available,1,Not Available,Not Available,Not Available,Not Available,18.9,Not Available,Not Available,Not Available,3110.1,Not Available,2033550104,Not Available,Not Available,Not Available,16.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,No specific resident population,Not Available,-57.7,Not Available,0.1,60850,Not Available,11.0,Not Available,96.2,Not Available,Multifamily Housing,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Not Available,Not Available,Not Available
4473906,DOUGLASS I/DOUGLASS II CAMPUS,825 COLUMBUS AVENUE,Not Available,196321483.3,Not Available,Not Available,2221782,Not Available,Not Available,4473906,2016-12-31T00:00:00.000,Not Available,17,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1018360001;1018550001,Not Available,Not Available,Not Available,10427.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,10,Not Available,Not Available,2221782,Not Available,7.0,Not Available,14711,Not Available,Multifamily Housing,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Not Available,Not Available,Not Available
4836183,Gilman: 461 AUDUBON AVE,"461 AUDUBON AVENUE,",Not Available,319500,Not Available,Not Available,58150,Not Available,Not Available,Not Applicable: Standalone Property,2016-12-31T00:00:00.000,Not Available,1,Not Available,Not Available,Not Available,Not Available,134.8,Not Available,Not Available,Not Available,3195,Not Available,1-02159-0035,Not Available,Not Available,Not Available,471,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,No specific resident population,Not Available,16.2,Not Available,0.1,58150,Not Available,10.0,Not Available,564.4,Not Available,Multifamily Housing,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Not Available,Not Available,Not Available
6147837,166 Montague St - 30023,166 Montague Street,0,Not Available,Not Available,Not Available,57000,Not Available,Not Available,Not Applicable: Standalone Property,2016-12-31T00:00:00.000,Not Available,1,Not Available,0,Not Available,Not Available,18.3,Not Available,Not Available,Not Available,Not Available,Not Available,3-00249-7502,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,No specific resident population,Not Available,-58.5,Not Available,Not Available,52000,Not Available,33.0,Not Available,85.5,Not Available,"Multifamily Housing, Retail Store",Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Not Available,Not Available,Not Available
4530840,KJ,125 E. 85th St.,Not Available,7973055.1,Not Available,Not Available,54980,Not Available,Not Available,Not Applicable: Standalone Property,2016-12-31T00:00:00.000,Not Available,1,13745,Not Available,Not Available,Not Available,267.5,Not Available,Not Available,Not Available,86156.3,Not Available,1-01514-0013,Not Available,Not Available,Not Available,423.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,174.7,Not Available,1.6,41235,Not Available,4.0,Not Available,968.2,Not Available,"K-12 School, Worship Facility",Not Available,Not Available,CBECS - Elementary/Middle & High School,Not Available,Not Available,Not Available
4940492,ZARA - 148-15 Lowe Court,148-15 Lowe Court,Not Available,5525857.9,Not Available,Not Available,51282,Not Available,Not Available,Not Applicable: Standalone Property,2016-12-31T00:00:00.000,Not Available,1,Not Available,Not Available,Not Available,Not Available,127.3,Not Available,Not Available,Not Available,58644.7,Not Available,4-09678-0054,Not Available,Not Available,Not Available,293.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,No specific resident population,Not Available,24,Not Available,1.1,51282,Not Available,24.0,Not Available,355,Not Available,Multifamily Housing,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Not Available,Not Available,Not Available
6075359,Sun Sun Group : 1635 Lexington Ave,1635 Lexington Ave,Not Available,1251900,Not Available,Not Available,55406,Not Available,Not Available,Not Applicable: Standalone Property,2016-12-31T00:00:00.000,Not Available,1,Not Available,Not Available,Not Available,Not Available,73.2,Not Available,Not Available,Not Available,13328.4,Not Available,1-01631-7501,Not Available,Not Available,Not Available,66.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,No specific resident population,Not Available,37,Not Available,0.2,55406,Not Available,8.0,Not Available,306.8,Not Available,Multifamily Housing,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Not Available,Not Available,Not Available
