parcel_name,other_floor_area,agency,his_dist,major_use,block,office_floor_area,boro,census_block,assess_land,sp_dist_2,govt_clean_up_program,e_designation_number,overlay_2,number_of_easements,bldg_front,edc___occupied,ratio_building_to_floor_area
NYC AIDS MEMORIAL PARK,0,PARKS,Greenwich Village Historic District,Q1,617,0,1,1002.0,1895850,,,R-214,,0,0.0,100.0,0.0
BERGTRAUM AF,0,EDUC;SANIT,,Q6,249,0,1,6019.0,745200,,,,,0,0.0,,0.0
RIVERSIDE PARK SOUTH,0,PARKS,,Q0,1171,0,1,4000.0,146,,,,,0,0.0,,0.0
42ND ST DEV/TIMES SQUARE,85092,DCAS,,J4,1014,0,1,2005.0,2798550,,,,,0,211.0,,3.52
CITY-AS-SCHOOL,0,EDUC,,W3,581,95116,1,4006.0,2281500,,,,,0,150.0,100.0,3.17
,0,HPD,,S3,722,0,1,5000.0,486000,,,,,0,19.0,,3.0
EAST RIVER PARK,14432,PARKS,,Q1,262,0,1,5000.0,14850450,,,,,0,110.0,,0.03
I.S.. 17,0,EDUC,,W1,1038,80617,1,2000.0,3870000,,,,,0,150.0,,2.68
ENG 91,15351,FIRE,,Y1,1660,0,1,3001.0,136350,,,,,0,38.0,,2.54
EL JARDIN DEL PARAISO PARK,0,PARKS,,Q1,374,0,1,1001.0,380250,,,,,0,0.0,,0.0
FORMER FULTON FISH MARKET BLDG,23350,DSBS,,Y7,73,0,1,3004.0,1210500,,,,,0,166.0,,1.0
KENKELEBA HOUSE GARDEN,0,PARKS,,Q1,385,0,1,1001.0,898650,,,,,0,0.0,,0.0
PS 198 PLGD (JOP) JUDG SEABURY,400,EDUC;PARKS,,Q2,1524,0,1,1000.0,3177000,,,,,0,20.0,,0.02
UNION SQUARE PARK,0,PARKS,,Q1,845,0,1,1006.0,563400,,,,,0,0.0,,0.0
ANIMAL SHELTER,13988,HLTH,,I9,1681,0,1,2002.0,180000,,,,,0,87.0,100.0,1.39
,0,DCAS,,G2,710,0,1,1015.0,1068300,,,E-137,,1,100.0,100.0,2.62
PENN STATION SOUTH HSES PLGD,0,PARKS,,Q2,749,0,1,1000.0,1901250,,,,,0,0.0,,0.0
MANHATTAN 4/4A/7 GARAGE,0,SANIT,,Y6,1104,0,1,1003.0,5580000,,,,,0,262.0,,2.87
,0,PARKS,,Q1,377,0,1,1001.0,215100,,,,,0,0.0,,0.0
PIER 13,202275,DSBS,,T2,36,0,1,,6457950,,,,,0,98.0,,1.0
N.Y.C.P.D. 10TH PRECINCT,0,NYPD,,Y2,769,20110,1,2000.0,634500,,,,,0,50.0,,4.47
STUYVESANT HIGH SCHOOL,450000,,,W1,16,0,1,1000.0,11340000,,,,,0,371.69,,7.49
FUTURE PARK,0,PARKS,,Q2,795,0,1,1002.0,2733300,,,,,0,0.0,,0.0
PIER 15,164325,DSBS,South Street Seaport Historic District,T2,73,0,1,2015.0,3726000,,,,,0,0.0,,1.0
QUEENSBORO BRIDGE CONNECTION,0,DOT,,Y8,1436,0,1,6001.0,2621250,,,,,0,0.0,,0.0
ENG 44,6162,FIRE,,Y1,1430,0,1,6000.0,490500,,,,,0,25.0,,2.41
SCAN PLAYGROUND,0,PARKS,,Q2,1628,0,1,3000.0,68400,,,,,0,0.0,,0.0
,0,DCAS,,G7,1771,0,1,1000.0,496800,,,,,0,0.0,,0.0
PETER DETMOLD PARK,0,PARKS,,Q1,1361,0,1,4001.0,2832750,,,,,0,0.0,,0.0
PS 124 (ECF),146500,,,W1,289,0,1,1004.0,10584450,,,,,0,57.0,,0.59
,1974,DEP,,Y9,246,0,1,6000.0,222750,,,,,0,40.0,,1.0
EXTENSION OF NO 7 LINE,14284,MTA,,T9,1051,0,1,2001.0,6944850,,,E-137,,0,214.0,,1.0
42ND ST DEV/TIMES SQUARE,44260,DCAS,Individual Landmark,J4,1013,75645,1,1002.0,4500000,,,,,0,25.0,,6.23
ENG 8 LAD 2 BAT 8/ NYPD 17 PCT,34312,NYPD;FIRE,,O4,1306,513392,1,2004.0,23985000,,,E-408,,0,201.0,,18.17
LIFE SPIRE GARDEN,0,PARKS,,QG,1771,0,1,3006.0,102600,,,,,0,0.0,,0.0
PS 110,62725,EDUC,,W1,331,0,1,3002.0,598500,,,,,0,62.0,,3.84
MABEL DEAN BACON VOC HS ANNEX,0,EDUC,,W1,921,36783,1,5002.0,1534500,,,,,0,74.8,,3.88
MECHANICS ALLEY,0,DOT,,V1,275,0,1,6011.0,2250,,,,,0,0.0,,0.0
CIVIL MUNICIPAL COURT,640000,DCAS,,Z3,169,0,1,1008.0,5580000,,,,,0,192.0,,17.86
JEFFERSON MARKET GARDEN,19800,NYPL;PARKS,Greenwich Village Historic District,P8,606,0,1,3002.0,4590000,,,,,0,235.5,,0.74
JAMES MADISON PLAZA,0,PARKS,,Q9,115,0,1,1008.0,2692800,,,,,0,0.0,,0.0
,0,DCA,,O6,22,134940,1,1002.0,3375000,,,,,0,53.0,,15.26
BELLEVUE SOUTH PARK,0,PARKS,,Q1,934,0,1,8002.0,11267550,,,,,0,0.0,,0.0
9TH STREET COMMUNITY GARDEN,0,PARKS,,Q1,379,0,1,4004.0,288450,,,,,0,0.0,,0.0
DUGOUT HIGHWAY YARD,0,DOT,,T9,108,0,1,3001.0,15765300,,,,,0,0.0,,0.0
,0,DSBS,,V1,1715,0,1,,313200,,,,,0,0.0,,0.0
HUDSON PARK,0,PARKS,,Q1,706,0,1,1040.0,6731550,,,,,0,0.0,,0.0
,0,DSBS,,T2,1372,0,1,6003.0,121950,,,,,0,0.0,,0.0
MARTIN F TANAHEY PLAYGROUND,0,PARKS,,Q1,250,0,1,5001.0,1669500,,,,,0,0.0,,0.0
EAST RIVER PARK,0,PARKS,,Q1,316,0,1,1001.0,873900,,,,,0,0.0,,0.0
PIER 94- UN-CONVENTION CENTER,0,DSBS,,T2,1109,0,1,1000.0,7110000,,,,,0,0.0,,0.0
"ENG 40, LAD 35",7758,FIRE,,Y1,1137,0,1,1001.0,2794950,,,,,0,45.0,,2.0
SARA D ROOSEVELT PARK,3080,PARKS,,Q2,420,0,1,5000.0,9674550,,,,,0,99.0,,0.02
