reduced_vehicle_transit,reported_home_cms_zone,bicycle_store_rack,bicycle_store_locker,num_people,reduced_vehicle_other,num_workers,weight,bicycle_type_electric,num_participants,increased_vehicle_unreliable
995,Outer Brooklyn,0,0,3,995,1,866.7032,0,1,995
995,Southern Bronx,0,0,7,995,2,116.53128,0,1,995
995,Inner Queens,995,995,1,995,1,124.40446,995,1,995
995,Upper Manhattan,995,995,1,995,1,102.06221,995,1,995
995,Manhattan Core,0,0,1,995,0,4231.39883,0,1,995
995,Inner Queens,0,0,1,995,1,99.89841,0,1,995
995,Inner Queens,0,0,2,995,2,125.97798,0,1,995
995,Northern Bronx,995,995,3,995,2,513.23879,995,1,995
995,Inner Brooklyn,0,0,2,995,2,223.30332,0,1,995
0,Inner Brooklyn,995,995,2,1,1,2647.65161,995,1,995
995,Manhattan Core,995,995,3,995,2,3346.53523,995,1,995
995,Middle Queens,995,995,3,995,2,107.08314,995,1,995
995,Upper Manhattan,0,0,2,995,1,180.12665,0,1,995
995,Inner Brooklyn,0,0,2,995,2,251.11189,0,1,995
995,Inner Brooklyn,995,995,1,995,1,222.85175,995,1,995
995,Inner Queens,995,995,1,995,1,127.79634,995,1,995
995,Outer Brooklyn,0,0,3,995,3,10266.06651,0,1,995
995,Manhattan Core,995,995,1,995,1,2019.65496,995,1,995
995,Staten Island,0,0,4,995,1,75.43681,0,1,995
995,Manhattan Core,995,995,1,995,1,660.95697,995,1,995
995,Inner Queens,0,0,2,995,1,121.61433,0,1,995
995,Inner Queens,0,0,2,995,2,121.61433,0,1,995
995,Upper Manhattan,995,995,4,995,2,1403.75028,995,1,995
995,Manhattan Core,995,995,2,995,1,730.47005,995,1,995
995,Northern Bronx,995,995,1,995,1,98.61193,995,1,995
995,Inner Queens,995,995,3,995,2,552.70283,995,1,995
995,Inner Brooklyn,1,0,1,995,1,238.4906,0,1,995
0,Outer Queens,0,0,2,0,1,205.94821,0,1,995
0,Inner Brooklyn,0,0,2,0,2,222.52491,1,1,995
995,Inner Brooklyn,0,0,3,995,2,274.92935,0,1,995
995,Inner Brooklyn,995,995,2,995,1,221.00304,995,1,995
995,Inner Queens,995,995,3,995,2,99.89841,995,1,995
995,Inner Brooklyn,995,995,1,995,1,223.12313,995,1,995
995,Inner Queens,0,0,3,995,2,121.61433,0,1,995
995,Manhattan Core,995,995,1,995,1,496.61406,995,1,995
995,Middle Queens,0,0,4,995,2,92.85849,0,1,995
995,Inner Queens,0,0,4,995,2,121.42423,0,1,995
