other_2,grade_6,black_2,grade_11,year,white_1,students_with_disabilities_1,grade_5
3.8%,0,14.8%,0,2014-15,183,93,59
1.9%,0,33.9%,92,2015-16,13,127,0
3.0%,0,42.8%,54,2013-14,20,21,0
0.7%,0,26.6%,0,2011-12,10,57,76
1.1%,69,12.5%,0,2015-16,13,129,29
5.6%,0,31.8%,95,2015-16,7,75,0
3.2%,0,1.3%,0,2014-15,102,31,0
3.0%,22,17.0%,0,2013-14,0,28,0
8.2%,0,3.2%,0,2015-16,165,42,0
1.7%,91,26.3%,0,2011-12,89,59,0
0.8%,79,47.1%,0,2014-15,19,84,0
4.5%,0,3.5%,0,2012-13,468,92,101
1.7%,0,25.1%,0,2013-14,17,59,19
3.5%,0,3.5%,0,2013-14,34,10,0
0.7%,0,39.9%,505,2011-12,48,294,0
8.2%,0,11.3%,0,2013-14,123,62,49
8.0%,0,2.3%,0,2012-13,296,69,82
2.2%,0,12.3%,88,2013-14,27,41,0
1.2%,55,28.4%,0,2012-13,13,82,43
0.2%,0,16.8%,126,2011-12,21,38,0
1.1%,0,44.5%,80,2015-16,13,49,0
1.2%,0,1.1%,822,2012-13,759,20,0
4.1%,0,11.2%,0,2012-13,119,61,66
0.0%,0,57.5%,0,2011-12,0,30,19
0.2%,53,77.5%,0,2012-13,13,86,45
0.4%,0,27.6%,0,2011-12,27,101,87
5.7%,24,18.5%,0,2015-16,118,67,38
3.3%,0,27.0%,86,2014-15,23,106,0
2.7%,0,25.3%,0,2015-16,25,83,52
1.2%,0,23.0%,102,2013-14,9,81,0
0.0%,0,0.0%,139,2012-13,0,15,0
2.6%,0,10.3%,0,2015-16,122,11,0
2.1%,63,52.1%,0,2015-16,10,60,0
1.5%,76,36.8%,0,2011-12,48,101,53
0.4%,52,29.7%,0,2015-16,21,140,54
1.4%,0,41.1%,0,2011-12,9,57,0
0.5%,0,22.6%,150,2012-13,67,110,0
4.2%,0,54.6%,67,2015-16,9,74,0
0.5%,0,31.6%,116,2012-13,14,86,0
10.1%,0,2.9%,0,2014-15,401,114,87
1.7%,0,24.0%,90,2012-13,10,90,0
13.3%,0,4.8%,0,2014-15,46,10,0
