source_relation,date_day,ad_group_id,impressions,spend,currency,conversions,tap_installs,new_downloads,tap_new_downloads,redownloads,tap_redownloads,taps,lat_off_installs
"",2021-12-20,976005125,63,0.32,USD,0,0,0,0,0,0,3,0
"",2021-12-17,976005125,100,5.09,USD,0,0,0,0,0,0,5,0
"",2021-12-19,983960442,2,0,USD,0,0,0,0,0,0,0,0
"",2021-12-12,976005125,249,5.56,USD,2,2,2,2,0,0,7,0
"",2021-12-09,976005125,1605,25.08,USD,1,1,1,1,0,0,31,0
"",2021-12-13,976005125,492,5.26,USD,1,1,1,1,0,0,7,0
"",2021-12-11,976005125,290,5.71,USD,1,1,1,1,0,0,5,0
"",2021-12-16,976005125,318,5.07,USD,1,1,1,1,0,0,5,0
"",2021-12-14,976005125,350,5.03,USD,4,4,4,4,0,0,11,0
"",2021-12-19,976005125,424,5.95,USD,4,4,4,4,0,0,9,0
"",2021-12-18,976005125,403,5,USD,2,2,2,2,0,0,9,0
"",2021-12-10,976005125,1494,25.88,USD,6,6,6,6,0,0,27,1
"",2021-12-15,976005125,546,6.05,USD,3,3,3,3,0,0,10,0
"",2025-01-29,976005125,719,3.31,USD,1,1,1,1,0,0,98,0
"",2022-01-05,976005125,489,3.89,USD,31,31,31,31,0,0,73,0
"",2025-10-18,976005125,606,8.69,USD,1,1,1,1,0,0,10,0
"",2023-11-13,976005125,821,17.27,USD,3,3,3,3,0,0,71,0
"",2023-01-02,976005125,353,24.65,USD,1,1,1,1,0,0,7,0
"",2024-04-24,983960442,806,20.37,USD,46,46,46,46,0,0,119,0
"",2022-07-31,983960442,394,19.59,USD,9,9,9,9,0,0,59,0
"",2022-12-13,983960442,826,26.44,USD,18,18,18,18,0,0,46,0
"",2025-03-26,983960442,128,35.08,USD,2,2,2,2,0,0,18,0
"",2025-03-08,983960442,590,31.64,USD,25,25,25,25,0,0,78,0
"",2024-03-13,983960442,408,25.91,USD,2,2,2,2,0,0,11,0
"",2025-05-04,976005125,152,16.17,USD,3,3,3,3,0,0,7,0
"",2024-04-29,976005125,854,22.09,USD,32,32,32,32,0,0,67,0
"",2023-04-07,976005125,794,16.63,USD,9,9,9,9,0,0,117,0
"",2022-10-17,976005125,125,29.33,USD,1,1,1,1,0,0,8,0
"",2024-12-08,976005125,787,17.82,USD,15,15,15,15,0,0,47,0
"",2024-10-23,976005125,307,15.95,USD,5,5,5,5,0,0,45,0
"",2022-06-30,976005125,521,10.72,USD,21,21,21,21,0,0,53,0
