source_relation,date_day,organization_id,organization_name,campaign_id,campaign_name,ad_group_id,ad_group_name,currency,ad_group_status,start_at,end_at,taps,new_downloads,tap_new_downloads,redownloads,tap_redownloads,total_downloads,tap_total_downloads,conversions,tap_installs,impressions,spend,lat_off_installs
"",2025-09-16,3162550,Joseph Markiewicz,973923056,Holiday Sale,983960451,Retargeting,USD,ENABLED,2025-10-17 00:00:00,2025-12-07 23:59:00,51,20,20,0,0,20,20,20,20,513,32.06,0
"",2022-10-10,3219110,Tip Tap Cat,973923054,Tap Away,983960444,Retargeting,USD,PAUSED,2021-12-09 00:00:00,2022-01-31 23:59:00,7,3,3,0,0,3,3,3,3,64,21.33,0
"",2025-07-11,3162550,Joseph Markiewicz,973923055,Summer Special,983960448,High Value,USD,PAUSED,2025-11-20 00:00:00,2026-01-15 23:59:00,93,29,29,0,0,29,29,29,29,796,21.66,0
"",2023-03-02,3219110,Tip Tap Cat,973923060,User Acquisition,983960460,Retargeting,USD,PAUSED,2025-11-01 00:00:00,2025-12-06 23:59:00,47,18,18,0,0,18,18,18,18,634,24.06,0
"",2022-11-08,3219111,Gaming Studio,973923063,Summer Special,983960467,Premium Users,USD,PAUSED,2025-11-19 00:00:00,2026-01-08 23:59:00,30,9,9,0,0,9,9,9,9,873,28.32,0
"",2025-01-29,3219110,Tip Tap Cat,973923054,Tap Away,976005125,Kitty Cat Tap,USD,ENABLED,2021-12-09 00:00:00,2022-01-31 23:59:00,98,1,1,0,0,1,1,1,1,719,3.31,0
"",2025-09-08,3219110,Tip Tap Cat,973923060,User Acquisition,983960460,Retargeting,USD,PAUSED,2025-11-01 00:00:00,2025-12-06 23:59:00,141,68,68,0,0,68,68,68,68,944,35.41,0
"",2025-06-25,3219111,Gaming Studio,973923063,Summer Special,983960465,Retargeting,USD,ENABLED,2025-11-19 00:00:00,2026-01-08 23:59:00,18,6,6,0,0,6,6,6,6,734,47,0
"",2025-10-23,3162550,Joseph Markiewicz,973923056,Holiday Sale,983960452,Premium Users,USD,PAUSED,2025-10-17 00:00:00,2025-12-07 23:59:00,18,7,7,0,0,7,7,7,7,121,14.16,0
"",2022-10-02,3162550,Joseph Markiewicz,973923055,Summer Special,983960448,High Value,USD,PAUSED,2025-11-20 00:00:00,2026-01-15 23:59:00,52,7,7,0,0,7,7,7,7,906,44.76,0
"",2024-08-19,3219110,Tip Tap Cat,973923057,Holiday Sale,983960453,High Value,USD,PAUSED,2025-10-30 00:00:00,2025-12-11 23:59:00,25,1,1,0,0,1,1,1,1,330,9.68,0
"",2023-04-07,3219110,Tip Tap Cat,973923054,Tap Away,976005125,Kitty Cat Tap,USD,ENABLED,2021-12-09 00:00:00,2022-01-31 23:59:00,117,9,9,0,0,9,9,9,9,794,16.63,0
"",2023-06-11,3219110,Tip Tap Cat,973923060,User Acquisition,983960458,New Users,USD,ENABLED,2025-11-01 00:00:00,2025-12-06 23:59:00,53,5,5,0,0,5,5,5,5,740,40.93,0
"",2025-04-07,3219110,Tip Tap Cat,973923057,Holiday Sale,983960454,Retargeting,USD,PAUSED,2025-10-30 00:00:00,2025-12-11 23:59:00,9,1,1,0,0,1,1,1,1,233,4.39,0
"",2023-01-18,3219110,Tip Tap Cat,973923054,Tap Away,983960446,Premium Users,USD,PAUSED,2021-12-09 00:00:00,2022-01-31 23:59:00,58,20,20,0,0,20,20,20,20,443,49.05,0
"",2024-03-13,3219110,Tip Tap Cat,973923054,Tap Away,983960442,Bored Ad Group,USD,ENABLED,2021-12-14 00:00:00,2022-01-14 23:59:59.999,11,2,2,0,0,2,2,2,2,408,25.91,0
"",2025-02-07,3219111,Gaming Studio,973923063,Summer Special,983960465,Retargeting,USD,ENABLED,2025-11-19 00:00:00,2026-01-08 23:59:00,113,27,27,0,0,27,27,27,27,777,5.51,0
"",2022-01-09,3162550,Joseph Markiewicz,973923055,Summer Special,983960448,High Value,USD,PAUSED,2025-11-20 00:00:00,2026-01-15 23:59:00,14,3,3,0,0,3,3,3,3,607,4.23,0
"",2025-11-13,3219111,Gaming Studio,973923063,Summer Special,983960466,Premium Users,USD,ENABLED,2025-11-19 00:00:00,2026-01-08 23:59:00,5,1,1,0,0,1,1,1,1,536,31.18,0
"",2022-07-31,3219110,Tip Tap Cat,973923054,Tap Away,983960442,Bored Ad Group,USD,ENABLED,2021-12-14 00:00:00,2022-01-14 23:59:59.999,59,9,9,0,0,9,9,9,9,394,19.59,0
"",2023-07-28,3219111,Gaming Studio,973923061,New Feature,983960461,Retargeting,USD,ENABLED,2025-11-23 00:00:00,2026-01-01 23:59:00,21,7,7,0,0,7,7,7,7,432,31.71,0
"",2025-09-22,3219111,Gaming Studio,973923064,New Feature,983960468,Budget Segment,USD,ENABLED,2025-10-14 00:00:00,2025-11-19 23:59:00,98,45,45,0,0,45,45,45,45,831,28.11,0
"",2024-09-04,3219110,Tip Tap Cat,973923057,Holiday Sale,983960454,Retargeting,USD,PAUSED,2025-10-30 00:00:00,2025-12-11 23:59:00,13,3,3,0,0,3,3,3,3,295,24.63,0
"",2023-04-19,3219111,Gaming Studio,973923061,New Feature,983960461,Retargeting,USD,ENABLED,2025-11-23 00:00:00,2026-01-01 23:59:00,106,16,16,0,0,16,16,16,16,825,19.72,0
"",2022-04-29,3219110,Tip Tap Cat,973923058,Holiday Sale,983960456,Retargeting,USD,PAUSED,2025-10-20 00:00:00,2025-12-01 23:59:00,36,14,14,0,0,14,14,14,14,687,48.09,0
"",2024-10-30,3219110,Tip Tap Cat,973923060,User Acquisition,983960459,New Users,USD,PAUSED,2025-11-01 00:00:00,2025-12-06 23:59:00,109,52,52,0,0,52,52,52,52,812,11.4,0
"",2024-08-13,3219110,Tip Tap Cat,973923054,Tap Away,983960445,Budget Segment,USD,ENABLED,2021-12-09 00:00:00,2022-01-31 23:59:00,11,3,3,0,0,3,3,3,3,97,39.38,0
"",2023-12-24,3219111,Gaming Studio,973923061,New Feature,983960461,Retargeting,USD,ENABLED,2025-11-23 00:00:00,2026-01-01 23:59:00,5,2,2,0,0,2,2,2,2,287,41.05,0
"",2022-05-30,3162550,Joseph Markiewicz,973923055,Summer Special,983960449,High Value,USD,ENABLED,2025-11-20 00:00:00,2026-01-15 23:59:00,21,10,10,0,0,10,10,10,10,766,48.4,0
"",2021-12-19,3219111,Gaming Studio,973923061,New Feature,983960463,Budget Segment,USD,ENABLED,2025-11-23 00:00:00,2026-01-01 23:59:00,10,3,3,0,0,3,3,3,3,90,49.86,0
"",2023-05-29,3162550,Joseph Markiewicz,973923056,Holiday Sale,983960450,Premium Users,USD,ENABLED,2025-10-17 00:00:00,2025-12-07 23:59:00,14,1,1,0,0,1,1,1,1,187,13.48,0
"",2025-10-02,3219110,Tip Tap Cat,973923060,User Acquisition,983960460,Retargeting,USD,PAUSED,2025-11-01 00:00:00,2025-12-06 23:59:00,36,18,18,0,0,18,18,18,18,879,25.34,0
"",2023-01-26,3219110,Tip Tap Cat,973923054,Tap Away,983960447,Retargeting,USD,PAUSED,2021-12-09 00:00:00,2022-01-31 23:59:00,31,5,5,0,0,5,5,5,5,553,23.78,0
"",2023-07-18,3162550,Joseph Markiewicz,973923056,Holiday Sale,983960451,Retargeting,USD,ENABLED,2025-10-17 00:00:00,2025-12-07 23:59:00,16,7,7,0,0,7,7,7,7,385,46.02,0
"",2022-09-06,3219111,Gaming Studio,973923063,Summer Special,983960466,Premium Users,USD,ENABLED,2025-11-19 00:00:00,2026-01-08 23:59:00,11,1,1,0,0,1,1,1,1,108,16.51,0
"",2022-07-07,3219110,Tip Tap Cat,973923057,Holiday Sale,983960454,Retargeting,USD,PAUSED,2025-10-30 00:00:00,2025-12-11 23:59:00,23,5,5,0,0,5,5,5,5,465,26.16,0
"",2022-08-08,3219110,Tip Tap Cat,973923057,Holiday Sale,983960453,High Value,USD,PAUSED,2025-10-30 00:00:00,2025-12-11 23:59:00,68,19,19,0,0,19,19,19,19,500,42.45,0
"",2025-12-11,3219111,Gaming Studio,973923063,Summer Special,983960466,Premium Users,USD,ENABLED,2025-11-19 00:00:00,2026-01-08 23:59:00,28,10,10,0,0,10,10,10,10,375,20.53,0
"",2023-01-11,3162550,Joseph Markiewicz,973923056,Holiday Sale,983960451,Retargeting,USD,ENABLED,2025-10-17 00:00:00,2025-12-07 23:59:00,36,5,5,0,0,5,5,5,5,966,49.82,0
"",2025-12-23,3219110,Tip Tap Cat,973923060,User Acquisition,983960459,New Users,USD,PAUSED,2025-11-01 00:00:00,2025-12-06 23:59:00,31,0,0,0,0,0,0,0,0,333,24.65,0
"",2025-05-23,3219110,Tip Tap Cat,973923060,User Acquisition,983960460,Retargeting,USD,PAUSED,2025-11-01 00:00:00,2025-12-06 23:59:00,13,2,2,0,0,2,2,2,2,180,23.59,0
"",2023-12-17,3219111,Gaming Studio,973923062,Holiday Sale,983960464,Premium Users,USD,PAUSED,2025-10-09 00:00:00,2025-12-06 23:59:00,24,6,6,0,0,6,6,6,6,305,31.22,0
"",2025-10-18,3219110,Tip Tap Cat,973923054,Tap Away,976005125,Kitty Cat Tap,USD,ENABLED,2021-12-09 00:00:00,2022-01-31 23:59:00,10,1,1,0,0,1,1,1,1,606,8.69,0
"",2023-05-31,3162550,Joseph Markiewicz,973923055,Summer Special,983960448,High Value,USD,PAUSED,2025-11-20 00:00:00,2026-01-15 23:59:00,56,20,20,0,0,20,20,20,20,441,45.25,0
"",2022-11-11,3219110,Tip Tap Cat,973923054,Tap Away,983960447,Retargeting,USD,PAUSED,2021-12-09 00:00:00,2022-01-31 23:59:00,26,7,7,0,0,7,7,7,7,538,24.25,0
"",2025-01-12,3219111,Gaming Studio,973923061,New Feature,983960461,Retargeting,USD,ENABLED,2025-11-23 00:00:00,2026-01-01 23:59:00,40,13,13,0,0,13,13,13,13,383,4.11,0
"",2024-01-14,3219110,Tip Tap Cat,973923060,User Acquisition,983960458,New Users,USD,ENABLED,2025-11-01 00:00:00,2025-12-06 23:59:00,133,41,41,0,0,41,41,41,41,907,35.82,0
"",2023-01-07,3219111,Gaming Studio,973923063,Summer Special,983960467,Premium Users,USD,PAUSED,2025-11-19 00:00:00,2026-01-08 23:59:00,44,2,2,0,0,2,2,2,2,522,49.72,0
"",2023-01-17,3219110,Tip Tap Cat,973923054,Tap Away,983960442,Bored Ad Group,USD,ENABLED,2021-12-14 00:00:00,2022-01-14 23:59:59.999,18,6,6,0,0,6,6,6,6,487,38.14,0
"",2025-02-14,3219110,Tip Tap Cat,973923057,Holiday Sale,983960455,Premium Users,USD,ENABLED,2025-10-30 00:00:00,2025-12-11 23:59:00,28,11,11,0,0,11,11,11,11,438,10.04,0
"",2024-12-08,3219111,Gaming Studio,973923063,Summer Special,983960465,Retargeting,USD,ENABLED,2025-11-19 00:00:00,2026-01-08 23:59:00,43,16,16,0,0,16,16,16,16,647,17.31,0
"",2022-03-14,3219110,Tip Tap Cat,973923054,Tap Away,983960446,Premium Users,USD,PAUSED,2021-12-09 00:00:00,2022-01-31 23:59:00,19,2,2,0,0,2,2,2,2,130,33.25,0
"",2024-10-20,3219110,Tip Tap Cat,973923057,Holiday Sale,983960455,Premium Users,USD,ENABLED,2025-10-30 00:00:00,2025-12-11 23:59:00,128,45,45,0,0,45,45,45,45,875,15.41,0
"",2025-01-06,3219110,Tip Tap Cat,973923054,Tap Away,983960447,Retargeting,USD,PAUSED,2021-12-09 00:00:00,2022-01-31 23:59:00,104,25,25,0,0,25,25,25,25,847,49.92,0
"",2021-12-05,3219110,Tip Tap Cat,973923058,Holiday Sale,983960456,Retargeting,USD,PAUSED,2025-10-20 00:00:00,2025-12-01 23:59:00,12,2,2,0,0,2,2,2,2,561,5.43,0
"",2022-12-02,3162550,Joseph Markiewicz,973923056,Holiday Sale,983960451,Retargeting,USD,ENABLED,2025-10-17 00:00:00,2025-12-07 23:59:00,83,22,22,0,0,22,22,22,22,743,19.45,0
"",2022-11-22,3219110,Tip Tap Cat,973923054,Tap Away,983960443,Retargeting,USD,PAUSED,2021-12-09 00:00:00,2022-01-31 23:59:00,63,7,7,0,0,7,7,7,7,817,12.79,0
"",2024-07-27,3219111,Gaming Studio,973923061,New Feature,983960461,Retargeting,USD,ENABLED,2025-11-23 00:00:00,2026-01-01 23:59:00,108,53,53,0,0,53,53,53,53,733,48.76,0
"",2025-04-17,3219111,Gaming Studio,973923063,Summer Special,983960467,Premium Users,USD,PAUSED,2025-11-19 00:00:00,2026-01-08 23:59:00,19,7,7,0,0,7,7,7,7,270,25.29,0
"",2024-02-12,3219110,Tip Tap Cat,973923060,User Acquisition,983960460,Retargeting,USD,PAUSED,2025-11-01 00:00:00,2025-12-06 23:59:00,12,4,4,0,0,4,4,4,4,500,21.18,0
"",2022-11-03,3219110,Tip Tap Cat,973923054,Tap Away,983960447,Retargeting,USD,PAUSED,2021-12-09 00:00:00,2022-01-31 23:59:00,86,25,25,0,0,25,25,25,25,707,22.82,0
"",2024-05-09,3219111,Gaming Studio,973923061,New Feature,983960461,Retargeting,USD,ENABLED,2025-11-23 00:00:00,2026-01-01 23:59:00,52,5,5,0,0,5,5,5,5,479,49.16,0
"",2025-12-15,3219110,Tip Tap Cat,973923054,Tap Away,983960442,Bored Ad Group,USD,ENABLED,2021-12-14 00:00:00,2022-01-14 23:59:59.999,79,19,19,0,0,19,19,19,19,538,36.2,0
"",2022-11-10,3219110,Tip Tap Cat,973923057,Holiday Sale,983960454,Retargeting,USD,PAUSED,2025-10-30 00:00:00,2025-12-11 23:59:00,26,10,10,0,0,10,10,10,10,195,36.31,0
