dbn,school_name,q9_how_much_do_you_agree_disagree_b_my_child_s_is_clean,teacher_engagement_score,q3_how_often_c_been_invited_to_a_w_kshop_program_perf_mance_other_event_at_y,change_in_teacher_academic_expectations_score_2007_2008,change_in_parent_safety_and_respect_score_2007_2008,q9_how_much_do_you_agree_disagree_c_discipline_is_enf_ced_fairly_at_my_child_s,change_in_teacher_communication_score_2007_2008,student_horizon_safety_and_respect_score,q1_number_4th_grade,parent_horizon_communication_score,q2a_number_agree,student_engagement_score,change_in_safety_and_respect_score_2007_2008,engagement_score,parent_communication_score,q2c_number_strongly_agree,q2_how_much_do_you_agree_disagree_c_my_childs_makes_it_easy_f_parents_to_atten,q3_how_often_b_received_inf_mation_on_services_f_your_child_f_you_such_as_t,q5_how_much_do_you_agree_disagree_e_answer_this_question_only_if_you_are_a_high,q2b_number_does_not_apply,q13_how_satisfied_are_you_with_c_how_well_your_child_s_communicates_with_you,total_parents,students_received_surveys,teacher_communication_score,q2_how_much_do_you_agree_disagree_a_i_feel_welcome_in_my_child_s_school,change_in_student_safety_and_respect_score_2007_2008,hor_type,q2b_number_strongly_disagree,q2_how_much_do_you_agree_disagree_b_i_am_satisfied_with_the_response_i_get_when,q2c_number_agree,principal,q2b_number_agree,parent_horizon_safety_and_respect_score,q1_number_10th_grade,q1_number_8th_grade,student_horizon_communication_score,q2c_number_disagree,q2e_number_strongly_disagree,q1_number_1st_grade,parent_horizon_academic_expectations_score,q1_number_pre_kindergarten,q2_how_much_do_you_agree_disagree_e_the_contacts_me_when_my_child_breaks_rules
02M655,Life Sciences Secondary School,6.1,5.6,4.2,0.1,-0.6,5.6,0,16.7,0,-3.3,68,5.4,-0.5,5.5,5.3,9,5.2,4.0,.,4,5.4,654,1,5.6,6.4,-0.1,7,8,5.8,53,Genevieve Stanislaus,58,18.2,19,15,25,21,5,0,3.6,0,7.1
06M098,P.S. 098 Shorac Kappock,8.2,3.9,8.1,1.1,0.4,7.7,-1.2,.,22,47.4,70,.,0.7,5.5,7.5,50,7.3,7.1,.,1,7.3,535,0,3.6,8.0,.,2,1,7.7,64,Maritza Rodriguez,80,52.6,0,0,.,16,3,21,55.0,13,7.8
17K249,P.S. 249 The Caton,8.6,7.2,8.2,1.4,0.7,8.4,1,.,1,57.1,146,.,0.7,7.4,8.2,184,8.3,7.3,.,2,8.5,624,0,6.8,8.5,.,1,3,8.2,158,Ms. Elisa Brown,161,60.0,0,0,.,12,2,113,61.9,28,8.2
17K587,Middle School for the Arts,7.8,6.4,7.5,0.5,0.6,7.2,0.6,36.7,0,32.1,41,6.5,0.5,6.6,6.5,22,7.0,5.3,.,1,6.6,377,1,6.0,7.5,0.5,5,0,7.0,35,Susan Hobson-Ransom,43,53.3,0,28,54.5,13,4,0,37.9,0,7.4
13K266,M.S. K266 - Park Place Community Middle School,7.5,6.7,6.9,0.4,0,6.8,0.1,76.7,0,42.9,36,7.2,0,6.7,6.8,12,6.7,5.9,.,0,6.7,216,1,6.3,7.2,0.6,5,1,7.3,35,Michele Robinson,37,63.3,0,21,63.6,10,0,0,37.9,0,7.8
06M192,P.S. 192 Jacob H. Schiff,8.0,5.4,8.9,-0.1,1.1,7.9,-0.3,39.3,6,68.4,47,6.8,0.7,6.5,7.9,39,8.2,7.8,.,2,7.9,389,1,5.6,7.9,0.6,2,0,7.7,32,Elizabeth Pacheco,38,68.4,0,1,45.8,5,2,13,55.0,8,7.9
08X686,New School for Arts and Science,8.5,7.6,8.8,0.6,2.3,7.7,0.9,93.3,0,76.7,7,7.1,1.4,7.4,7.7,6,8.3,7.9,8.8,0,8.1,147,1,6.7,8.1,1.3,7,1,7.8,6,Donald Amaker,5,81.8,3,0,91.7,0,1,0,92.9,0,7.6
10X434,Belmont Preparatory High School,7.4,5.9,7.4,0.7,1.3,7.5,1.2,40,0,53.3,64,5.6,0.8,6.0,7.0,49,7.6,5.9,6.6,1,7.4,341,1,5.7,7.7,0.1,7,6,7.3,62,Stephen Joseph Gumbs,69,63.6,32,0,41.7,10,3,0,53.6,0,7.9
19K171,I.S. 171 Abraham Lincoln,6.5,7.7,6.3,2.4,1.1,6.7,2,36.7,0,35.7,74,6.7,1,7.0,6.6,33,7.1,5.8,.,0,6.8,736,1,7.4,7.4,0.1,5,3,6.8,85,Joan Beckman,85,30.0,0,34,68.2,9,4,0,55.2,0,7.6
19K224,P.S. 224 Hale A. Woodruff,8.2,5.8,8.8,1,0.8,7.6,-0.3,25,51,52.6,205,7.2,0.6,6.8,7.6,170,7.7,7.5,.,1,7.7,645,1,4.9,8.0,0.3,2,6,7.6,232,George Andrews,243,52.6,0,0,50,23,5,65,60.0,17,8.0
