incident_address,council_district,cross_street_2,y_coordinate_state_plane,intersection_street_2,agency_name,agency
140-17 84 DRIVE,24,85 ROAD,197873,85 ROAD,New York City Police Department,NYPD
101-01 35 AVENUE,21,102 STREET,214152,102 STREET,New York City Police Department,NYPD
611 GREENWOOD AVENUE,39,EAST 7 STREET,176644,EAST 7 STREET,New York City Police Department,NYPD
493 DEAN STREET,35,CARLTON AVENUE,187523,CARLTON AVENUE,New York City Police Department,NYPD
275 GLENMORE AVENUE,37,WILLIAMS AVENUE,184311,WILLIAMS AVENUE,New York City Police Department,NYPD
EAST 170 STREET,16,PARK AVENUE,243768,PARK AVENUE,New York City Police Department,NYPD
71-01 PARSONS BOULEVARD,24,72 AVENUE,205328,72 AVENUE,New York City Police Department,NYPD
1522 GREENE AVENUE,37,ST NICHOLAS AVENUE,195430,ST NICHOLAS AVENUE,New York City Police Department,NYPD
5-47 50 AVENUE,26,VERNON BOULEVARD,210017,VERNON BOULEVARD,New York City Police Department,NYPD
2860 KINGSBRIDGE TERRACE,14,WEST 230 STREET,257807,WEST230 STREET,New York City Police Department,NYPD
35-63 95 STREET,21,37 AVENUE,213549,37 AVENUE,New York City Police Department,NYPD
2548 EAST 27 STREET,48,AVENUE Z,154351,AVENUE Z,New York City Police Department,NYPD
2871E EAST 194 STREET,13,HOBART AVENUE,249903,HOBART AVENUE,New York City Police Department,NYPD
34-25 109 STREET,21,35 AVENUE,214778,35 AVENUE,New York City Police Department,NYPD
117-06 NASHVILLE BOULEVARD,27,118 AVENUE,192977,118 AVENUE,New York City Police Department,NYPD
168-01 UNION TURNPIKE,24,169 STREET,202745,169 STREET,New York City Police Department,NYPD
510 FLATBUSH AVENUE,40,LEFFERTS AVENUE,180403,LEFFERTS AVENUE,New York City Police Department,NYPD
14-18 117 STREET,19,14 ROAD,225382,14 ROAD,New York City Police Department,NYPD
149 GELSTON AVENUE,47,92 STREET,164344,92 STREET,New York City Police Department,NYPD
5-47 50 AVENUE,26,VERNON BOULEVARD,210017,VERNON BOULEVARD,New York City Police Department,NYPD
83-72 VIETOR AVENUE,25,JUDGE STREET,209886,JUDGE STREET,New York City Police Department,NYPD
100 MESEROLE AVENUE,33,MANHATTAN AVENUE,204143,MANHATTAN AVENUE,New York City Police Department,NYPD
23-15 39 AVENUE,26,24 STREET,214519,24 STREET,New York City Police Department,NYPD
1249 SUTTER AVENUE,42,EUCLID AVENUE,184414,EUCLID AVENUE,New York City Police Department,NYPD
1569 WEST TENTH STREET,43,AVENUE P,161004,AVENUE P,New York City Police Department,NYPD
142-15 110 AVENUE,28,143 STREET,189285,143 STREET,New York City Police Department,NYPD
37-69 WARREN STREET,21,ROOSEVELT AVENUE,212870,ROOSEVELT AVENUE,New York City Police Department,NYPD
40-49 74 STREET,25,41 AVENUE,210860,41 AVENUE,New York City Police Department,NYPD
33-08 169 STREET,19,35 AVENUE,218801,35 AVENUE,New York City Police Department,NYPD
22 WEST 48 STREET,4,ROCKEFELLER PLAZA,215325,ROCKEFELLER PLAZA,New York City Police Department,NYPD
5-47 50 AVENUE,26,VERNON BOULEVARD,210017,VERNON BOULEVARD,New York City Police Department,NYPD
168-01 UNION TURNPIKE,24,169 STREET,202745,169 STREET,New York City Police Department,NYPD
807 44 STREET,38,9 AVENUE,174028,9 AVENUE,New York City Police Department,NYPD
1503 85 STREET,47,16 AVENUE,162170,16 AVENUE,New York City Police Department,NYPD
514 79 STREET,47,6 AVENUE,167435,6 AVENUE,New York City Police Department,NYPD
71-01 PARSONS BOULEVARD,24,72 AVENUE,205328,72 AVENUE,New York City Police Department,NYPD
576 5 AVENUE,4,EAST 47 STREET,214894,EAST 47 STREET,New York City Police Department,NYPD
1 BOWLING GREEN,1,BEAVER STREET,195870,BEAVER STREET,New York City Police Department,NYPD
499 BERGEN STREET,35,CARLTON AVENUE,187213,CARLTON AVENUE,New York City Police Department,NYPD
71-01 PARSONS BOULEVARD,24,72 AVENUE,205328,72 AVENUE,New York City Police Department,NYPD
623 WEST 170 STREET,10,FORT WASHINGTON AVENUE,246312,FORT WASHINGTON AVENUE,New York City Police Department,NYPD
1265 WARD AVENUE,17,EAST 172 STREET,241955,EAST172 STREET,New York City Police Department,NYPD
500 WEST 30 STREET,3,HIGH LINE,213296,HIGH LINE,New York City Police Department,NYPD
200 BROOME STREET,1,NORFOLK STREET,200591,NORFOLK STREET,New York City Police Department,NYPD
99 CHESTNUT STREET,37,RIDGEWOOD AVENUE,189056,RIDGEWOOD AVENUE,New York City Police Department,NYPD
60-14 55 DRIVE,30,BORDEN AVENUE,203732,BORDEN AVENUE,New York City Police Department,NYPD
329 LINDEN STREET,37,MYRTLE AVENUE,193921,MYRTLE AVENUE,New York City Police Department,NYPD
168-01 UNION TURNPIKE,24,169 STREET,202745,169 STREET,New York City Police Department,NYPD
5-47 50 AVENUE,26,VERNON BOULEVARD,210017,VERNON BOULEVARD,New York City Police Department,NYPD
898 LEXINGTON AVENUE,4,EAST 67 STREET,218770,EAST 67 STREET,New York City Police Department,NYPD
72-45 43 AVENUE,25,74 STREET,209697,74 STREET,New York City Police Department,NYPD
31 LEONARD STREET,34,BOERUM STREET,195869,BOERUM STREET,New York City Police Department,NYPD
351 11 AVENUE,3,WEST 33 STREET,214156,WEST 33 STREET,New York City Police Department,NYPD
71-01 PARSONS BOULEVARD,24,72 AVENUE,205328,72 AVENUE,New York City Police Department,NYPD
67 MANHATTAN AVENUE,34,MC KIBBIN STREET,196022,MC KIBBIN STREET,New York City Police Department,NYPD
5105 5 AVENUE,38,52 STREET,174064,52 STREET,New York City Police Department,NYPD
67 MANHATTAN AVENUE,34,MC KIBBIN STREET,196022,MC KIBBIN STREET,New York City Police Department,NYPD
168-01 UNION TURNPIKE,24,169 STREET,202745,169 STREET,New York City Police Department,NYPD
67 MANHATTAN AVENUE,34,MC KIBBIN STREET,196022,MC KIBBIN STREET,New York City Police Department,NYPD
2655 NETHERLAND AVENUE,11,WEST 227 STREET,259548,WEST227 STREET,New York City Police Department,NYPD
771 48 STREET,38,8 AVENUE,173432,8 AVENUE,New York City Police Department,NYPD
545 48 STREET,38,6 AVENUE,174491,6 AVENUE,New York City Police Department,NYPD
2711 AVENUE X,48,EAST 28 STREET,155516,EAST 28 STREET,New York City Police Department,NYPD
270 LONGSTREET AVENUE,13,MILES AVENUE,238468,MILES AVENUE,New York City Police Department,NYPD
220-05 64 AVENUE,23,SPRINGFIELD BOULEVARD,211537,SPRINGFIELD BOULEVARD,New York City Police Department,NYPD
1637A EAST 18 STREET,48,QUENTIN ROAD,161424,QUENTIN ROAD,New York City Police Department,NYPD
88-11 74 PLACE,32,90 AVENUE,190085,90 AVENUE,New York City Police Department,NYPD
2134 COYLE STREET,46,AVENUE V,157891,AVENUE V,New York City Police Department,NYPD
8119 RIDGE BOULEVARD,47,82 STREET,167906,82 STREET,New York City Police Department,NYPD
5-47 50 AVENUE,26,VERNON BOULEVARD,210017,VERNON BOULEVARD,New York City Police Department,NYPD
23 COX PLACE,37,DEAD END,189798,DEAD END,New York City Police Department,NYPD
6 EAST44 STREET,4,MADISON AVENUE,214200,MADISON AVENUE,New York City Police Department,NYPD
469 WILD AVENUE,50,BEND,152777,BEND,New York City Police Department,NYPD
EAST FORDHAM ROAD,15,WEBSTER AVENUE,253237,WEBSTER AVENUE,New York City Police Department,NYPD
100-20 34 AVENUE,21,101 STREET,214564,101 STREET,New York City Police Department,NYPD
70 EAST 55 STREET,4,PARK AVENUE,216395,PARK AVENUE,New York City Police Department,NYPD
31 LEONARD STREET,34,BOERUM STREET,195869,BOERUM STREET,New York City Police Department,NYPD
1319 SUTTER AVENUE,42,HEMLOCK STREET,184565,HEMLOCK STREET,New York City Police Department,NYPD
168-01 UNION TURNPIKE,24,169 STREET,202745,169 STREET,New York City Police Department,NYPD
100 MESEROLE AVENUE,33,MANHATTAN AVENUE,204143,MANHATTAN AVENUE,New York City Police Department,NYPD
7123 4 AVENUE,47,72 STREET,170062,72 STREET,New York City Police Department,NYPD
1372 64 STREET,43,14 AVENUE,167234,14 AVENUE,New York City Police Department,NYPD
42-11 ITHACA STREET,25,WHITNEY AVENUE,210437,WHITNEY AVENUE,New York City Police Department,NYPD
