latitude,longitude,location_type,city,address_type,x_coordinate_state_plane,open_data_channel_type,borough,landmark,complaint_type,created_date,:@computed_region_efsh_h5xi,community_board
40.710028,-73.816631,Street/Sidewalk,JAMAICA,ADDRESS,1035018,ONLINE,QUEENS,84 DRIVE,Illegal Parking,2025-12-10T17:20:47.000,24670,08 QUEENS
40.754603,-73.866813,Street/Sidewalk,CORONA,ADDRESS,1021161,MOBILE,QUEENS,35 AVENUE,Illegal Parking,2025-12-21T01:54:47.000,14510,03 QUEENS
40.65181,-73.975425,Street/Sidewalk,BROOKLYN,ADDRESS,991021,MOBILE,BROOKLYN,GREENWOOD AVENUE,Illegal Parking,2025-12-10T08:44:11.000,17620,07 BROOKLYN
40.681815,-73.973806,Street/Sidewalk,BROOKLYN,ADDRESS,991571,MOBILE,BROOKLYN,DEAN STREET,Illegal Parking,2025-12-13T14:18:38.000,17619,08 BROOKLYN
40.672731,-73.90056,Street/Sidewalk,BROOKLYN,ADDRESS,1011845,MOBILE,BROOKLYN,GLENMORE AVENUE,Illegal Parking,2025-12-22T18:50:34.000,17214,05 BROOKLYN
40.835724,-73.905784,Street/Sidewalk,,INTERSECTION,1010321,ONLINE,BRONX,,Illegal Parking,2025-12-19T14:38:50.000,10934,03 BRONX
40.729931,-73.810428,Street/Sidewalk,FRESH MEADOWS,ADDRESS,1036658,ONLINE,QUEENS,PARSONS BOULEVARD,Illegal Parking,2025-12-22T09:45:37.000,14507,08 QUEENS
40.703003,-73.914455,Street/Sidewalk,BROOKLYN,ADDRESS,1007940,MOBILE,BROOKLYN,GREENE AVENUE,Illegal Parking,2025-12-14T22:40:41.000,13828,04 BROOKLYN
40.743072,-73.954735,Street/Sidewalk,LONG ISLAND CITY,ADDRESS,996424,MOBILE,QUEENS,50 AVENUE,Illegal Parking,2025-12-16T03:37:49.000,16858,02 QUEENS
40.874268,-73.90236,Street/Sidewalk,BRONX,ADDRESS,1011177,MOBILE,BRONX,KINGSBRIDGE TERRACE,Illegal Parking,2025-12-16T14:35:36.000,11606,08 BRONX
40.751412,-73.871966,Street/Sidewalk,JACKSON HEIGHTS,ADDRESS,1019566,MOBILE,QUEENS,95 STREET,Illegal Parking,2025-12-20T19:14:03.000,14783,03 QUEENS
40.590106,-73.943155,Street/Sidewalk,BROOKLYN,ADDRESS,1000109,MOBILE,BROOKLYN,EAST 27 STREET,Illegal Parking,2025-12-15T23:57:22.000,13826,15 BROOKLYN
40.852479,-73.832172,Street/Sidewalk,BRONX,ADDRESS,1030679,MOBILE,BRONX,EAST 194 STREET,Illegal Parking,2025-12-13T01:17:56.000,11270,10 BRONX
40.755645,-73.85905,Street/Sidewalk,CORONA,ADDRESS,1023159,MOBILE,QUEENS,109 STREET,Illegal Parking,2025-12-16T14:11:20.000,14510,03 QUEENS
40.696135,-73.745031,Street/Sidewalk,CAMBRIA HEIGHTS,ADDRESS,1055045,MOBILE,QUEENS,NASHVILLE BOULEVARD,Illegal Parking,2025-12-19T13:08:34.000,15311,13 QUEENS
40.723345,-73.799873,Street/Sidewalk,FRESH MEADOWS,ADDRESS,1039667,ONLINE,QUEENS,UNION TURNPIKE,Illegal Parking,2025-12-21T12:08:00.000,14508,08 QUEENS
40.661566,-73.96183,Street/Sidewalk,BROOKLYN,ADDRESS,994920,ONLINE,BROOKLYN,FLATBUSH AVENUE,Illegal Parking,2025-12-19T23:03:24.000,13509,09 BROOKLYN
40.785297,-73.85065,Street/Sidewalk,COLLEGE POINT,ADDRESS,1025680,MOBILE,QUEENS,117 STREET,Illegal Parking,2025-12-18T20:14:43.000,14191,07 QUEENS
40.617562,-74.028117,Street/Sidewalk,BROOKLYN,ADDRESS,976445,MOBILE,BROOKLYN,GELSTON AVENUE,Illegal Parking,2025-12-10T11:04:28.000,17216,10 BROOKLYN
40.743072,-73.954735,Street/Sidewalk,LONG ISLAND CITY,ADDRESS,996424,MOBILE,QUEENS,50 AVENUE,Illegal Parking,2025-12-17T13:46:02.000,16858,02 QUEENS
40.744092,-73.880338,Street/Sidewalk,ELMHURST,ADDRESS,1017055,MOBILE,QUEENS,VIETOR AVENUE,Illegal Parking,2025-12-23T13:46:11.000,14784,04 QUEENS
40.726699,-73.95318,Street/Sidewalk,BROOKLYN,ADDRESS,997282,MOBILE,BROOKLYN,MESEROLE AVENUE,Illegal Parking,2025-12-22T02:38:48.000,18182,01 BROOKLYN
40.755517,-73.937722,Street/Sidewalk,LONG ISLAND CITY,ADDRESS,1001399,ONLINE,QUEENS,39 AVENUE,Illegal Parking,2025-12-11T18:44:27.000,16858,01 QUEENS
40.673013,-73.871713,Street/Sidewalk,BROOKLYN,ADDRESS,1019773,MOBILE,BROOKLYN,SUTTER AVENUE,Illegal Parking,2025-12-21T11:52:14.000,17215,05 BROOKLYN
40.608589,-73.983361,Street/Sidewalk,BROOKLYN,ADDRESS,988792,MOBILE,BROOKLYN,WEST 10 STREET,Illegal Parking,2025-12-18T13:30:07.000,16867,11 BROOKLYN
40.686371,-73.801942,Street/Sidewalk,JAMAICA,ADDRESS,1039132,ONLINE,QUEENS,110 AVENUE,Illegal Parking,2025-12-15T02:49:11.000,24670,12 QUEENS
40.749527,-73.870378,Street/Sidewalk,JACKSON HEIGHTS,ADDRESS,1019872,MOBILE,QUEENS,WARREN STREET,Illegal Parking,2025-12-11T01:05:08.000,14783,03 QUEENS
40.745384,-73.890874,Street/Sidewalk,ELMHURST,ADDRESS,1014415,ONLINE,QUEENS,74 STREET,Illegal Parking,2025-12-14T19:49:39.000,14784,04 QUEENS
40.767047,-73.796759,Street/Sidewalk,FLUSHING,ADDRESS,1040626,ONLINE,QUEENS,169 STREET,Illegal Parking,2025-12-18T12:55:20.000,14193,07 QUEENS
40.757637,-73.979545,Street/Sidewalk,NEW YORK,ADDRESS,990040,MOBILE,MANHATTAN,WEST 48 STREET,Illegal Parking,2025-12-19T09:11:36.000,13094,05 MANHATTAN
40.743072,-73.954735,Street/Sidewalk,LONG ISLAND CITY,ADDRESS,996424,MOBILE,QUEENS,50 AVENUE,Illegal Parking,2025-12-22T13:27:02.000,16858,02 QUEENS
40.723345,-73.799873,Street/Sidewalk,FRESH MEADOWS,ADDRESS,1039667,ONLINE,QUEENS,UNION TURNPIKE,Illegal Parking,2025-12-10T16:33:34.000,14508,08 QUEENS
40.644453,-73.999831,Street/Sidewalk,BROOKLYN,ADDRESS,984257,MOBILE,BROOKLYN,44 STREET,Illegal Parking,2025-12-12T13:37:26.000,18180,12 BROOKLYN
40.612056,-74.008504,Street/Sidewalk,BROOKLYN,ADDRESS,981886,MOBILE,BROOKLYN,85 STREET,Illegal Parking,2025-12-15T09:27:06.000,13511,11 BROOKLYN
40.626176,-74.023535,Street/Sidewalk,BROOKLYN,ADDRESS,977748,MOBILE,BROOKLYN,79 STREET,Illegal Parking,2025-12-13T21:49:50.000,17216,10 BROOKLYN
40.729931,-73.810428,Street/Sidewalk,FRESH MEADOWS,ADDRESS,1036658,ONLINE,QUEENS,PARSONS BOULEVARD,Illegal Parking,2025-12-20T09:15:47.000,14507,08 QUEENS
40.756657,-73.978975,Street/Sidewalk,NEW YORK,ADDRESS,990155,MOBILE,MANHATTAN,5 AVENUE,Illegal Parking,2025-12-19T19:39:25.000,13094,05 MANHATTAN
40.704036,-74.013749,Street/Sidewalk,NEW YORK,ADDRESS,980580,ONLINE,MANHATTAN,BOWLING GREEN,Illegal Parking,2025-12-18T13:42:27.000,11725,01 MANHATTAN
40.680824,-73.973753,Street/Sidewalk,BROOKLYN,ADDRESS,991604,MOBILE,BROOKLYN,BERGEN STREET,Illegal Parking,2025-12-15T08:08:00.000,17619,08 BROOKLYN
40.729931,-73.810428,Street/Sidewalk,FRESH MEADOWS,ADDRESS,1036658,ONLINE,QUEENS,PARSONS BOULEVARD,Illegal Parking,2025-12-16T16:51:09.000,14507,08 QUEENS
40.84313,-73.940272,Street/Sidewalk,NEW YORK,ADDRESS,1000872,MOBILE,MANHATTAN,WEST 170 STREET,Illegal Parking,2025-12-21T10:49:39.000,13090,12 MANHATTAN
40.831133,-73.87801,Street/Sidewalk,BRONX,ADDRESS,1018074,MOBILE,BRONX,WARD AVENUE,Illegal Parking,2025-12-23T11:46:21.000,11610,09 BRONX
40.751985,-74.001704,Street/Sidewalk,NEW YORK,ADDRESS,983929,MOBILE,MANHATTAN,WEST 30 STREET,Illegal Parking,2025-12-23T16:22:28.000,11722,04 MANHATTAN
40.71759,-73.987291,Street/Sidewalk,NEW YORK,ADDRESS,987763,MOBILE,MANHATTAN,BROOME STREET,Illegal Parking,2025-12-21T18:52:51.000,11723,03 MANHATTAN
