expected_assault_white,pop_amer_indian_female,assault_white_female,expected_assault_amer_indian,pop_hispanic_male
219,294,88,0,36433
37,95,3,0,7173
33,40,12,0,21874
12,72,9,1,47723
49,273,10,1,14823
91,0,20,0,18161
3612,6545,847,18,1070669
15,0,10,0,7338
79,53,16,0,15997
27,343,4,1,11997
37,0,9,0,30982
4,121,9,0,40126
