fy_2007,fy_1983,fy_1986,fy_1981,fy_1990,fy_2016,fy_2005,fy_2017
"298,999,127","10,979,086","18,049,453","14,436,904","47,973,793","353,139,149","264,946,505","311,031,710"
"331,523,181","16,132,308","31,229,913","13,942,543","80,882,111","501,775,197","268,162,146","521,755,039"
"161,450,070","16,270,815","8,309,155","20,074,438","18,182,814","359,385,370","253,478,753","320,867,504"
"212,062,025","52,101,492","56,192,982","24,891,398","64,964,485","798,438,450","76,805,716","705,575,674"
- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0
"7,144,757,388","1,413,045,910","1,948,453,476","1,174,931,862","3,071,897,684","9,612,191,300","6,176,875,460","10,250,072,190"
