fy_2013,fy_1997,fy_1988,fy_1998,fy_2006,fy_1984,fy_2014,fy_1995,fy_1980,fy_2020,fy_2002
"422,471,777","178,578,752","21,359,843","197,673,437","285,838,768","16,436,045","332,298,834","161,518,663","22,188,501",349840664,"264,423,909"
"1,859,492","496,429","9,216,007","247,000","21,279,322","9,228,051","162,013","18,626,501","9,547,272",3431355,"284,609"
"2,305,574",- 0,- 0,- 0,- 0,- 0,"(1,940,858)",- 0,- 0,0,- 0
- 0,"8,867,900","10,111,922","10,000,000",- 0,"10,505,781",- 0,"10,541,950",- 0,0,- 0
"1,546,462,857","1,690,999,266","1,300,241,659","1,566,657,221","1,934,180,353","1,045,710,393","1,452,253,283","2,007,033,300","675,056,554",1795716980,"1,610,728,349"
"63,030,877","191,452","127,435","178,393","1,137,113","732,508","10,277,693","345,982","371,815",-5114263,"1,888,738"
"71,951,768","133,728,348","108,413,311","138,011,930","147,591,745","63,829,997","79,451,929","132,421,064","40,372,725",126551213,"125,576,424"
