manhattan_cooperatives_comparable_properties_address,community_board,comparable_rental_2_distance_from_coop_in_miles,manhattan_cooperatives_comparable_properties_estimated_expense,bbl,census_tract,comparable_rental_1_expense_per_sqft,manhattan_cooperatives_comparable_properties_gross_income_per_sqft,comparable_rental_3_market_value_per_sqft,comparable_rental_2_estimated_expense,comparable_rental_1_market_value_per_sqft,comparable_rental_3_neighborhood,manhattan_cooperatives_comparable_properties_total_units,comparable_rental_2_neighborhood,comparable_rental_2_net_operating_income,manhattan_cooperatives_comparable_properties_full_market_value,comparable_rental_3_building_classification,postcode,comparable_rental_1_net_operating_income,comparable_rental_3_net_operating_income,comparable_rental_1_estimated_gross_income,comparable_rental_3_gross_sqft,manhattan_cooperatives_comparable_properties_estimated_gross_income,comparable_rental_2_gross_income_per_sqft
"{'latitude': '40.762546926007', 'longitude': '-73.993336209271', 'human_address': '{""address"": ""661 10 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",4.0,0.05,135470,1010750033.0,129.0,9.41,29.63,176.97,88420.0,144.04,CLINTON,15,CLINTON,211474.0,2427000,C7-WALK-UP,10036.0,171249,"229,668",255291,"9,725",459265,29.63
"{'latitude': '40.75311303792', 'longitude': '-73.964953606026', 'human_address': '{""address"": ""5 BEEKMAN PLACE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",6.0,0.33,53323,1013610032.0,8603.0,9.68,36.62, ,109607.0,321.17, ,11,MIDTOWN EAST,222399.0,1345000, ,10022.0,337933, ,414062, ,235833,46.92
"{'latitude': '40.756053999992', 'longitude': '-73.986951000288', 'human_address': '{""address"": ""677 END AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",,0.1,687684,,,11.09,22.56,100.15,290801.0,110.44,UPPER WEST SIDE (79-96),65,UPPER WEST SIDE (79-96),621832.0,6178000,D3-ELEVATOR,,1396645,"2,165,921",2411754,"154,800",1533020,22.26
"{'latitude': '40.73791118735', 'longitude': '-73.984987969732', 'human_address': '{""address"": ""39 GRAMERCY PARK"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",6.0,0.0,1193833,1008770042.0,68.0,12.03,33.83,213.17,202646.0,161.79,KIPS BAY,95,GRAMERCY,546911.0,16056000,D9-ELEVATOR,10010.0,1692534,"2,295,544",2626322,"81,500",3357222,30.11
"{'latitude': '40.756053999992', 'longitude': '-73.986951000288', 'human_address': '{""address"": ""670 END AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",,0.09,1472185,,,5.76,20.92, ,924272.0,100.15, ,95,UPPER WEST SIDE (79-96),1346772.0,19831000, ,,2165921, ,3057151, ,4173184,22.09
"{'latitude': '40.633301895087', 'longitude': '-74.029329744969', 'human_address': '{""address"": ""220 73 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",,0.1,918791,,,12.2,32.46,151.29,238055.0,153.34,UPPER EAST SIDE (59-79),92,UPPER EAST SIDE (59-79),524485.0,15073000,D6-ELEVATOR,,1467828,"1,977,521",2336130,"97,750",2944122,32.46
"{'latitude': '40.633502924083', 'longitude': '-74.026791469314', 'human_address': '{""address"": ""305 72 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",,0.1,545600,,,11.41,32.61, ,156190.0,160.56, ,49,UPPER WEST SIDE (59-79),470955.0,9545000, ,,273276, ,417697, ,1828573,31.15
"{'latitude': '40.805021905451', 'longitude': '-73.967894389062', 'human_address': '{""address"": ""380 RIVERSIDE DRIVE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",9.0,0.32,1667657,1018940001.0,199.0,9.14,20.58, ,1488206.0,80.91, ,146,UPPER WEST SIDE (96-116),2073659.0,16114000, ,10025.0,2027063, ,3662604, ,3860561,20.69
"{'latitude': '40.640499819403', 'longitude': '-74.025450871983', 'human_address': '{""address"": ""55 65 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",,0.14,291984,,,11.77,34.3, ,177842.0,168.25, ,36,UPPER EAST SIDE (59-79),402912.0,5664000, ,,269706, ,409442, ,1056440,33.67
"{'latitude': '40.756053999992', 'longitude': '-73.986951000288', 'human_address': '{""address"": ""425 END AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",,0.16,368481,,,7.91,24.59,126.72,337447.0,184.42,UPPER WEST SIDE (79-96),30,UPPER WEST SIDE (59-79),693722.0,5504000,D3-ELEVATOR,,1518500,"1,446,939",2003026,"83,154",1125583,24.59
