schooldbn,name,selectioncriteria1_prog12,code_prog11,selectioncriteria6_prog3,longitude,tophs2,selectioncriteria4_prog1,selectioncriteria1_prog11,acceleratedclasses,admissionsmethod_prog14,selectioncriteria1_prog10,tophs1,selectioncriteria2_prog9,geseats_prog11,code_prog4,priority2_prog8,priority5_prog2,priority1_prog9,elaprof,swdappsperseat_prog12,subway,geapps_prog12,admissionsmethod_prog2,geappsperseat_prog10,code_prog13,selectioncriteria2_prog10,selectioncriteria5_prog3,swdapps_prog1,swdapps_prog8,geseats_prog14,selectioncriteria5_prog2,swdseats_prog7,gefilled_prog10,priority1_prog2,selectioncriteria5_prog9,swdappsperseat_prog1,swdseats_prog12,swdapps_prog11,admissionsmethod_prog4,selectioncriteria1_prog14,gefilled_prog14,selectioncriteria5_prog1,swdappsperseat_prog10,swdfilled_prog3,swdfilled_prog9,selectioncriteria3_prog2,priority2_prog1,gefilled_prog4,geappsperseat_prog5,selectioncriteria4_prog8,selectioncriteria6_prog2,selectioncriteria4_prog3,priority1_prog8,code_prog6,Fully Accessible with code_prog1,Not Accessible with code_prog1,Partially Accessible with code_prog1
28Q310,Queens Collegiate: A College Board School (28Q310),,,,-73.797237,Thomas A. Edison Career and Technical Education High School,,,"Algebra I,Living Environment",,,Queens Collegiate: A College Board School,,,,,,,51.0,,F to 169th St,,,,,,,75.0,,,,,,,,6.0,,,,,,,,,,,Then to District 28 students and residents,,,,,,,,,Q310L,
09X593,South Bronx International Middle School (09X593),,,,-73.914374,,,,,,,,,,,,,,,,"B, D, 4 to 161st St.; B,D to 167th St",,,,,,,42.0,,,,,,,,3.0,,,,,,,,,,,Then to Bronx students and residents,,,,,,,,,X593M,
23K671,Mott Hall Bridges Academy (23K671),,,,-73.910904,,,,Algebra I,,,Brooklyn College Academy,,,,,,,31.0,,3 to Rockaway Ave,,,,,,,50.0,,,,,,,,3.0,,,,,,,,,,,Then to District 23 students and residents,,,,,,,,,,K671L
15K839,M.S. 839 (15K839),,,,-73.973362,Leaders High School,,,Algebra I,,,Edward R. Murrow High School,,,,,,,56.0,,"F, G to Fort Hamilton Parkway",,,,,,,250.0,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,K839U,,
23K178,P.S. 178 Saint Clair Mckelway (23K178),,,,-73.915778,Brooklyn Institute for Liberal Arts,,,,,,The Brooklyn School for Math and Research,,,,,,,23.0,,C to Rockaway Ave,,Open,,,,,,,,,,,Priority to continuing students,,,,,,,,,,,,,,,,,,,,,,K178E,
17K138,P.S. 138 Brooklyn (17K138),,,,-73.951443,Midwood High School,,,"Algebra I,Earth Science,Living Environment",,,Digital Arts and Cinema Technology High School,,,,,,,38.0,,"F, S to Park Place; 3, A, C to Nostrand Ave; 2, 5 to President St; 2, 4, 5 to Franklin Ave",,,,,,,20.0,,,,,,,,1.0,,,,,,,,,,,Then to residents of the elementary school zone,,,,,,,,,,K138U
-10X095,P.S. 095 Sheila Mencher (10X095),,,,-73.891256,World View High School,,,"Algebra I,Earth Science,English,US History",,,DeWitt Clinton High School,,,,,,,40.0,,4 to Mosholu Parkway; 1 to 238th St,,,,,,,25.0,,,,,,,,1.0,,,,,,,,,,,Then to residents of the middle school zone,,,,,,,,X095Z,,
05M046,P.S. 046 Arthur Tappan (05M046),,,,,A. Philip Randolph Campus High School,,,,,,High School for Environmental Studies,,,,,,,24.0,,"B, C, D to 155th St; 1 to 157th St",,,,,,,37.0,,,,,,,,2.0,,,,,,,,,,,Then to residents of the elementary school zone who sign in at an event,,,,,,,,,M046L,
13K527,Urban Assembly Institute of Math and Science for Young Women (13K527),,,,-73.988853,,Lateness,,"Algebra I,Earth Science,Living Environment",,,Urban Assembly Institute of Math and Science for Young Women,,,,,,,38.0,,"G to Hoyt & Schermerhorn; B, Q to DeKalb Ave; A, C, F, R to Jay St-MetroTech; 2, 3, 4, 5 to Court St - Borough Hall",,,,,,,29.0,,,,,,,,2.0,,,,,,,,,,,Then to Brooklyn students and residents,,,,,,,,K527S,,
10X045,Thomas C. Giordano Middle School 45 (10X045),,,,-73.887214,Bronx High School for Law and Community Service,,,"Algebra I,Living Environment",,,Bronx Collegiate Academy,,,,,,,30.0,,,,Zoned,,,,,74.0,,,,,,Priority to residents of the middle school zone,,2.0,,,,,,,,,,,Then to Bronx students and residents,,,,,,,,,X045M,
