omppropid,descriptio,nys_assemb,classorg,subcategor,proplocati,name,zipcode,shape_star,accessible,ampstype,nan with global_id,DOT with global_id,Other with global_id
QZ762,Greenstreet,35,NYCPARKS,,,,11369,1074.7288208,,S,,{F947AEDA-747B-4F44-A1BE-5F56A6436EDE},
QZ861,Greenstreet,37,NYCPARKS,,,,11378,1043.63369751,,S,,{411C46D2-218F-479B-9C17-13A497E1F888},
QZ943,Greenstreet,33,NYCPARKS,,,,11411,3956.108078,,S,,{9D94A19A-4699-4370-A021-203003C50727},
QZ685,Greenstreet,23,NYCPARKS,Type 2,,,11693,8980.94108582,,S,,{ACCE196E-EC2B-40CF-909F-5B6426C096C5},
QZ726,Greenstreet,25,NYCPARKS,,,,11367,5581.83456421,,S,,{F2626322-542F-4E4C-BB8F-CCEB05B8DC4C},
QZ299,Cooper Veteran's Memorial,28,NYCPARKS,Type 1,,,11379,848.574157715,,S,,{B23CCFFE-CC6D-4A6B-9ED9-C369E76322BC},
XZ458,"Jerome Avenue, Parkview Terrace, and Morris Avenue",78,NYCPARKS,Type 1 Greenstreet,,Greenstreet,10468,764.096252441,,S,,{213C4E01-C393-4696-BC07-01079B79C6BE},
XZ83,GREENSTREET,77,NYCPARKS,Type 1,,,10456,73.19871521,,S,,{183C9DDF-1D9A-415E-89E8-84CD374FF261},
MZ230,GREENSTREET,66,NYCPARKS,Type 1,,,10013,3277.07832336,,S,,{BDC64A24-4161-4C25-A30A-CEE38FD5E5DE},
QZ499,Greenstreet,29,NYCPARKS,Type 2,,,11423,2411.06352234,,S,,{AF3ACA92-9A0B-4ACB-945B-FE31806D71BA},
QZ930,Greenstreet,28,NYCPARKS,,,,11385,2736.60298157,,S,,{E994E396-88D4-45D1-A1D9-D392A6B87CF9},
QZ422,Greenstreet,27,NYCPARKS,Type 1,,,11367,1679.26097107,,S,,{00F694E0-7C8F-4B72-8C97-245F1CF0A251},
XZ114,Greenstreet,79,NYCPARKS,Type 2 Greenstreet,,,10460,13276.5791931,,S,{08B4AF57-16B1-4D9D-A7FE-D091A85B3990},,
QZ148,Greenstreet,40,NYCPARKS,Type 1,,,11357,511.014099121,,S,,{F6CB86DA-BE1E-4953-B3CC-128545AC4520},
XZ115,Greenstreet,79,NYCPARKS,Type 2 Greenstreet,,,10460,18132.0132141,,S,{3C0597A1-04B8-4350-AA83-751CDB34DB26},,
QZ103,Greenstreet,29,NYCPARKS,Type 1,,,11433,3437.08091736,,S,,{FADEAF82-F524-4A2F-AA01-2900B7CF553D},
QZ709,Greenstreet,37,NYCPARKS,,,,11101,889.696975708,,S,,{F5C31B8A-6AEF-469D-970A-5DE509C54053},
XZ111,Greenstreet,78,NYCPARKS,Type 1 Greenstreet,,,10460,13241.8004303,,S,{D9A1E2D2-EC07-4A05-B6DF-0D48C26E7F9A},,
MZ08,GREENSTREET,66,NYCPARKS,Type 1,,,10014,1065.79748535,,S,,{BA0C428A-F685-42F8-AFFE-51BF463FAEB2},
QZ746,Greenstreet,24,NYCPARKS,,,,11432,1076.32310486,,S,,{E14F96AD-2FD0-4BD4-825E-562037F2A8F2},
MZ397,Greenwich Ave & 7th Ave,66,NYCPARKS,,,,10011,104.570709229,,S,,{5AEF4BC4-CAA0-4BE0-A3EB-07BBA482AC2F},
BZ404,Brownsville Rec Center & Playground-Greenstreet,60,NYCPARKS,,,,11212,4882.38278198,,S,{9205D62A-2947-4E4D-888C-ED57EAE11693},,
QZ110,Greenstreet,30,NYCPARKS,Type 1,,,11377,1012.57501221,,S,,{8AE2C859-C2F5-4219-81BD-C5D5C43AE273},
QZ644,Greenstreet,33,NYCPARKS,Type 1,,,11428,412.597747803,,S,,{3BE9DC10-5034-41C6-B893-019675472A2E},
QZ49,Greenstreet,35,NYCPARKS,Type 1,,,11373,1539.22038269,,S,,{2875EE78-85D7-4203-8551-CE77A79E3804},
QZ364,Greenstreet,40,NYCPARKS,Type 1,,,11357,573.304107666,,S,,{49C8436E-C8E7-45D5-A59E-0A9168DC217E},
QZ441,Greenstreet,"28, 27",NYCPARKS,Type 1 Greenstreet,,,11415,2052.49743652,,S,,{ED27C9E0-3989-43FE-9D09-20CD2EB7B3CC},
QZ653,Greenstreet,23,NYCPARKS,Type 1,,,11691,1690.86647034,,S,,{346F737C-CA16-4D7F-AB98-0F535357CD0E},
QZ149,Greenstreet,27,NYCPARKS,Type 1,,,11354,618.87046814,,S,,{18C86613-682A-4C60-83CF-B8E37462CCBD},
QZ290,Greenstreet,39,NYCPARKS,Type 1,,,11368,111.107955933,,S,,{98A1B963-F53B-4E96-8698-EBA1492BAC93},
QZ775,Greenstreet,25,NYCPARKS,Type 1 Greenstreet,,,11365,1151.93687439,,S,,{B0D413C6-EA5F-4C77-8425-59D4CA74CAEB},
MZ305,Schiff Mall-Greenstreet,65,NYCPARKS,Type 1 Greenstreet,,,10002,3289.11201477,,S,,{4EBC72B4-8112-42DE-9123-2FD9280A974F},
QZ721,Trolley Car Triangle-Greenstreet,35,NYCPARKS,Type 1 Greenstreet,,,11369,3492.02468872,,S,{C1878FF7-B646-47FD-9FDE-CE825CC47417},,
QZ559,Greenstreet,29,NYCPARKS,Type 2,,,11413,1595.98919678,,S,,{E691F92B-7E0E-4387-8A1A-0291FF1AE731},
QZ586,Greenstreet,33,NYCPARKS,Type 2,,,11426,1411.83750916,,S,,{1C2BFF63-1BEF-4E52-B5FE-E8EB425D7812},
QZ874,Greenstreet,25,NYCPARKS,,,,11367,1951.78071594,,S,,{2200DE7B-85FC-448A-AE19-2EA36E2F5BE2},
BZ556,Park Circle Greenstreets,44,NYCPARKS,Type 1,,,11215,239.13885498,,S,,{E9E27442-0544-4906-B5D1-5F268CB4DAD5},
QZ862,Greenstreet,30,NYCPARKS,,,,11378,1717.34405518,,S,,{B3938F51-1D90-4CC1-AFCE-B4EBF9E44186},
QZ71,Greenstreet,26,NYCPARKS,Type 1,,,11357,2529.95018005,,S,,{31C0CDE1-761C-473B-A914-0A789154AE78},
QZ938,FMCP-Greenstreet,27,NYCPARKS,,,,11368,3129.31376648,,S,{FD73B3EE-3233-4F26-AC0A-3BE45DD0CC14},,
MZ223,Riverside Park-Greenstreet,70,NYCPARKS,Type 2,,,10031,1306.47663879,,S,,,{F186028E-795D-42DE-BFB7-F096D20BE0A1}
RZ242,Greenstreet,61,NYCPARKS,Type 1 Greenstreet,,,10302,3590.37780762,,S,{57981AF3-9912-44E6-ADA0-18DBBBBA63CC},,
MZ134,GREENSTREET,73,NYCPARKS,Type 1,,,10017,963.74319458,,S,,{C8515E88-86A3-4C0B-A194-41743BA66B74},
QZ966,Bowne st & Northern Blvd,40,NYCPARKS,,,,11354,362.814193726,,S,,{6BFD4558-9F39-4DCD-953D-6ABA74C9E2EA},
QZ317,Greenstreet,28,NYCPARKS,Type 1,,,11375,1025.84318542,,S,,{AFEB1DC2-51AC-4825-B989-73424EB81877},
MZ253,Greenstreet,75,NYCPARKS,Type 2 Greenstreet,,,10010,1389.24765015,,S,,{E13D8687-56FA-497F-8120-8AD91C3D5890},
QZ538,Greenstreet,29,NYCPARKS,Type 2,,,11422,2085.38346863,,S,,{5BE63B01-4848-435E-8BC3-7C9B685EB178},
QZ913,Greenstreet,33,NYCPARKS,,,,11426,3876.96463013,,S,,{7D892B64-FD23-424C-8F9E-CEDFB8AB8636},
QZ765,Greenstreet,25,NYCPARKS,,,,11365,1452.70996094,,S,,{3A61C5AF-687D-4745-BD4D-335ECD6566EE},
QZ244,Greenstreet,35,NYCPARKS,Type 2 Greenstreet,,,11369,1242.6990509,,S,,{F42837F0-CCE2-41F1-BE25-0C5FFED2815C},
MZ161,Greenstreet,71,NYCPARKS,Type 2 Greenstreet,,,10039,1938.27311707,,S,{B155FAF5-B7CB-4C00-B331-BA03CB0288D6},,
QZ237,Greenstreet,35,NYCPARKS,Type 2 Greenstreet,,,11369,948.874526978,,S,,{8B611396-864E-4A60-B6FE-AF35AAA27AAA},
MZ389,"GREENSTREET, 1st Av & E 20th St",74,NYCPARKS,,,,10010,3088.33029175,,S,,{EF208265-5E9D-4F40-B434-2F8CBE83B8F7},
MZ300,I L Peretz Square-Greenstreet,65,NYCPARKS,Type 1 Greenstreet,,,10003,5535.38293457,,S,{6DA5534B-5936-45B3-BF19-9F2926D431C2},,
RZ310,Richmond Ave & Draper Pl & Travis Ave,63,NYCPARKS,,,,10314,1026.22036743,,S,,{DEA87756-C29C-4494-BBAF-A83EE00B224B},
QZ660A,Greenstreet,23,NYCPARKS,,,,11694,6175.0022583,,S,,{7925735C-1CD6-412E-BF9E-16712EA04E10},
QZ30,Atlantis Triangle,25,NYCPARKS,Type 1,,,11365,3801.23580933,,S,,{78A044A1-9B91-47FB-B3E7-41800DBBAD23},
QZ925,Greenstreet,23,NYCPARKS,,,,11691,1519.35818481,,S,,{BF30F0F4-05F9-4314-9F86-0864A1B68723},
BZ561,"Vanderbilt Av Pedestrian Refuges, Park to Dean",57,NYCPARKS,,,,11238,2306.99453735,,S,,{9E8B6B83-A6A6-45C3-9ACF-61D555C83203},
XZ84,GREENSTREET,77,NYCPARKS,Type 1,,,10452,73.2001953125,,S,,{B3A01992-3E3A-478E-8B76-51105731560C},
QZ138,Greenstreet,37,NYCPARKS,Type 2,,,11101,2332.11395264,,S,,{9149CDBF-6D28-4E7E-B996-1BE29D11EA2C},
QZ601,Greenstreet,33,NYCPARKS,Type 1,,,11411,6059.31440735,,S,,{E8CE767F-5894-4924-ABC4-8638880DE695},
