unique_key,location,incident_address,intersection_street_1,borough,x_coordinate_state_plane,due_date
53921464,,139 AVENUE,,QUEENS,,
53917109,"{'type': 'Point', 'coordinates': [-74.153990607211, 40.59011279986]}",148 BRAISTED AVENUE,DENKER PLACE,STATEN ISLAND,941481.0,
53918834,"{'type': 'Point', 'coordinates': [-73.931373293273, 40.671509873891]}",1437 STERLING PLACE,SCHENECTADY AVENUE,BROOKLYN,1003287.0,
53923893,,139 AVENUE,,QUEENS,,
53921252,"{'type': 'Point', 'coordinates': [-73.786164950848, 40.591271393294]}",133 BEACH   56 PLACE,,QUEENS,1043639.0,
53915995,"{'type': 'Point', 'coordinates': [-73.967230022457, 40.630197480963]}",778 EAST   10 STREET,FOSTER AVENUE,BROOKLYN,993346.0,
53931420,"{'type': 'Point', 'coordinates': [-73.838889522087, 40.722118962666]}",71-40 112 STREET,,QUEENS,1028908.0,
53923518,"{'type': 'Point', 'coordinates': [-73.913856458031, 40.744514319994]}",JOHN DOWNING PARK,UNNAMED STREET,QUEENS,1008120.0,
53921062,"{'type': 'Point', 'coordinates': [-73.850987578289, 40.742383339373]}",54-14 111 STREET,,QUEENS,1025542.0,
53919754,"{'type': 'Point', 'coordinates': [-73.820438389105, 40.695925783773]}",127-13 ATLANTIC AVENUE,,QUEENS,1034042.0,
53919728,"{'type': 'Point', 'coordinates': [-73.972692401705, 40.751712580887]}",230 EAST   44 STREET,,MANHATTAN,991816.0,
53921681,"{'type': 'Point', 'coordinates': [-73.956789043461, 40.80332248776]}",265 WEST  114 STREET,ADAM CLAYTON POWELL JR BOULEVARD,MANHATTAN,996213.0,
53918111,"{'type': 'Point', 'coordinates': [-73.929782521342, 40.857366345871]}",30 FAIRVIEW AVENUE,,MANHATTAN,1003674.0,
53920230,"{'type': 'Point', 'coordinates': [-73.819509267292, 40.816671394533]}",2811 LAWTON AVE,,BRONX,1034209.0,
53920932,"{'type': 'Point', 'coordinates': [-73.938041854958, 40.590583552235]}",2481 BROWN STREET,AVENUE X,BROOKLYN,1001458.0,
53919095,"{'type': 'Point', 'coordinates': [-73.906059113172, 40.70512367928]}",683 WOODWARD AVENUE,,QUEENS,1010296.0,
53919278,"{'type': 'Point', 'coordinates': [-73.92676745128, 40.696649152823]}",1249 DEKALB AVENUE,,BROOKLYN,1004557.0,2022-04-20T10:37:25.000
53917640,"{'type': 'Point', 'coordinates': [-73.976818064637, 40.750884571404]}",122 EAST   41 STREET,PARK AVENUE,MANHATTAN,990673.0,
53921381,"{'type': 'Point', 'coordinates': [-73.95814566842, 40.77125078678]}",244 EAST   75 STREET,,MANHATTAN,995843.0,
53921725,"{'type': 'Point', 'coordinates': [-73.892019442764, 40.857935527592]}",452 EAST  187 STREET,,BRONX,1014120.0,
53916177,"{'type': 'Point', 'coordinates': [-73.859570349551, 40.892497479006]}",658 EAST  231 STREET,CARPENTER AVENUE,BRONX,1023076.0,
53923449,"{'type': 'Point', 'coordinates': [-74.029003421336, 40.626158162476]}",324 82 STREET,,BROOKLYN,976199.0,
53915970,"{'type': 'Point', 'coordinates': [-73.99218577798, 40.691813946449]}",59 LIVINGSTON STREET,CLINTON STREET,BROOKLYN,986417.0,
53930501,"{'type': 'Point', 'coordinates': [-73.91231686911, 40.875071417247]}",149 WEST  225 STREET,JACOBUS PLACE,BRONX,1008499.0,
53919546,"{'type': 'Point', 'coordinates': [-73.908722774889, 40.880223162264]}",2975 TIBBETT AVENUE,DEAD END,BRONX,1009491.0,
53923782,"{'type': 'Point', 'coordinates': [-73.912948887678, 40.806613347555]}",683 EAST  140 STREET,,BRONX,1008349.0,
53929445,"{'type': 'Point', 'coordinates': [-73.804875565069, 40.724915407989]}",76-36 164 STREET,76 ROAD,QUEENS,1038334.0,
53917588,"{'type': 'Point', 'coordinates': [-73.993117475713, 40.643827066906]}",1002 40 STREET,10 AVENUE,BROOKLYN,986160.0,
53916319,"{'type': 'Point', 'coordinates': [-73.954978136404, 40.714414039233]}",70 HAVEMEYER STREET,,BROOKLYN,996731.0,
53926630,"{'type': 'Point', 'coordinates': [-73.882203042672, 40.685361348456]}",JAMAICA AVENUE,HIGHLAND BOULEVARD,BROOKLYN,1016920.0,
53926902,"{'type': 'Point', 'coordinates': [-74.007033064278, 40.738763129977]}",69 HORATIO STREET,,MANHATTAN,982301.0,
53921927,"{'type': 'Point', 'coordinates': [-73.962323365658, 40.770247653908]}",997 LEXINGTON AVENUE,EAST   71 STREET,MANHATTAN,994686.0,
53916035,"{'type': 'Point', 'coordinates': [-73.915233287014, 40.777095460231]}",22-56 26 STREET,AMTRAK-CONNECTING RAIL LINE,QUEENS,1007727.0,
53923362,"{'type': 'Point', 'coordinates': [-73.865094207627, 40.899206586639]}",EAST  237 STREET,EAST  237 STREET,BRONX,1021545.0,
53932361,"{'type': 'Point', 'coordinates': [-73.985108001176, 40.720435648954]}",156 STANTON STREET,SUFFOLK STREET,MANHATTAN,988378.0,
53920865,"{'type': 'Point', 'coordinates': [-73.934876629632, 40.613091887243]}",3601 AVENUE R,EAST   36 STREET,BROOKLYN,1002331.0,
53917699,"{'type': 'Point', 'coordinates': [-73.978420167204, 40.740932421502]}",240 EAST   28 STREET,3 AVENUE,MANHATTAN,990230.0,
53916346,"{'type': 'Point', 'coordinates': [-73.902878718735, 40.830868631191]}",1253 FRANKLIN AVENUE,,BRONX,1011127.0,
53926267,"{'type': 'Point', 'coordinates': [-74.002705692039, 40.721018469149]}",20 GREENE STREET,CANAL STREET,MANHATTAN,983500.0,
53923140,"{'type': 'Point', 'coordinates': [-73.88959351236, 40.749203610076]}",76-27 37 AVENUE,76 STREET,QUEENS,1014841.0,
53917342,"{'type': 'Point', 'coordinates': [-73.907206874379, 40.771901718991]}",22-55 STEINWAY STREET,DITMARS BOULEVARD,QUEENS,1009952.0,
53919642,"{'type': 'Point', 'coordinates': [-73.885036872589, 40.877896457579]}",3224 GRAND CONCOURSE,,BRONX,1016042.0,
53919512,"{'type': 'Point', 'coordinates': [-73.936455001709, 40.801432934576]}",226 EAST  122 STREET,ALFREDO CHOCOLATE ARMENTEROS WAY,MANHATTAN,1001843.0,
53923883,"{'type': 'Point', 'coordinates': [-73.916452996361, 40.855340107085]}",1901 SEDGWICK AVENUE,,BRONX,1007362.0,
53921740,"{'type': 'Point', 'coordinates': [-73.982652249533, 40.744331137992]}",106 EAST   30 STREET,,MANHATTAN,989057.0,
