school_dbn,school_name,percent_of_students_entering_6,percent_of_students_entering_5,percent_of_black_psal,percent_of_students_entering,percent_of_white_psal,percent_of_hispanic_psal,percent_of_students_entering_7,school_building_code
02M586,Harvey Milk High School,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M807
17K524,International High School at Prospect Heights,s,25.5,27.5,0.0,s,58.8,s,K440
07X600,Alfred E. Smith Career and Technical Education Hig,30.6,16.3,s,0.0,s,74.5,24.5,X600
09X250,Eximius College Preparatory Academy: A College Boa,26.9,23.9,32.8,0.0,0.0,61.2,16.4,X002
75Q023,P.S. Q023 @ Queens Children Center,0.0,0.0,0.0,0.0,s,0.0,0.0,QAPM
75Q277,The Riverview School,0.0,s,0.0,0.0,0.0,s,0.0,Q777
12X511,Bronx Envision Academy,35.1,35.1,43.9,0.0,s,47.4,10.5,X098
02M416,Eleanor Roosevelt High School,30.8,24.9,s,0.0,67.2,s,22.1,M855
07X381,Bronx Haven High School,0.0,0.0,s,0.0,0.0,s,0.0,X600
14K477,East Williamsburg Scholars Academy,s,44.0,40.0,0.0,0.0,60.0,s,K450
02M316,"Urban Assembly School of Business for Young Women,",0.0,0.0,0.0,0.0,0.0,0.0,0.0,M282
10X237,"The Marie Curie School for Medicine, Nursing, and",27.9,37.7,32.8,0.0,s,55.7,9.8,X143
24Q550,High School for Arts and Business,33.8,28.8,s,0.0,s,86.3,19.4,Q456
75Q752,Queens Transition Center,s,s,s,0.0,0.0,s,s,Q142
02M544,Independence High School,0.0,0.0,0.0,0.0,0.0,s,0.0,M834
28Q690,High School for Law Enforcement and Public Safety,22.5,32.5,s,0.0,0.0,s,17.5,Q690
13K265,Dr. Susan S. McKinney Secondary School of the Arts,48.8,22.0,70.7,0.0,s,24.4,s,K265
27Q262,Channel View School for Research,34.0,20.1,48.4,0.0,13.2,28.9,22.6,Q410
27Q309,Academy of Medical Technology: A College Board Sch,30.1,24.1,43.4,0.0,s,37.3,24.1,Q465
04M680,"Heritage School, The",s,38.1,28.6,0.0,s,59.5,s,M107
10X565,High School for Energy and Technology,26.9,s,42.3,0.0,0.0,57.7,s,X660
18K576,Victory Collegiate High School,s,28.4,85.1,0.0,s,8.1,25.7,K515
75M094,P.S. M094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,M276
09X543,High School for Violin and Dance,s,s,s,0.0,s,64.3,s,X400
07X500,Hostos-Lincoln Academy of Science,s,34.3,s,0.0,0.0,71.4,s,X162
04M435,Manhattan Center for Science and Mathematics,30.5,26.1,21.7,0.0,6.5,51.3,21.1,M435
75X176,P.S. X176,0.0,s,0.0,0.0,0.0,s,0.0,X455
11X288,Collegiate Institute for Math and Science,32.2,15.3,32.2,0.0,s,37.3,11.9,X415
17K382,Academy for College Preparation and Career Explora,24.6,29.5,s,0.0,0.0,s,16.4,K465
12X267,Bronx Latin,s,38.9,s,0.0,0.0,s,s,X158
03M299,The Maxine Greene HS for Imaginative Inquiry,s,27.3,s,0.0,0.0,65.9,s,M490
19K683,School for Classics High School,s,s,73.3,0.0,s,s,s,K218
28Q680,Queens Gateway to Health Sciences Secondary School,27.5,24.8,30.3,0.0,7.3,14.7,24.8,Q695
02M519,Talent Unlimited High School,38.1,s,s,0.0,s,61.9,s,M480
16K498,Brooklyn High School for Law and Technology,28.4,23.0,71.6,0.0,s,s,32.4,K987
19K510,World Academy for Total Community Health High Scho,20.5,28.2,76.9,0.0,0.0,23.1,25.6,K435
15K656,Brooklyn High School of the Arts,s,21.9,71.9,0.0,s,s,43.8,K655
02M376,NYC iSchool,29.4,s,21.6,0.0,49.0,s,39.2,M615
02M313,"James Baldwin School, The: A School for Expedition",0.0,0.0,s,0.0,0.0,s,0.0,M440
11X253,Bronx High School for Writing and Communication Ar,s,28.0,60.0,0.0,s,32.0,s,X425
30Q575,Academy of American Studies,24.6,44.0,4.7,0.0,42.7,32.3,11.6,Q451
06M293,City College Academy of the Arts,17.1,42.9,s,0.0,s,87.1,15.7,M218
26Q430,Francis Lewis High School,30.8,26.6,9.1,0.0,20.8,17.8,19.2,Q430
17K122,Pathways in Technology Early College High School (,29.5,20.5,83.0,0.0,s,11.6,31.3,K625
02M305,"Urban Assembly Academy of Government and Law, The",40.5,s,21.6,0.0,s,59.5,35.1,M445
08X558,Westchester Square Academy,28.7,28.7,27.6,0.0,s,57.5,12.6,X405
