school_name,number_of_students_entering_3,percent_of_english_language,number_of_female_students,number_of_english_language,number_of_male_students,percent_of_asian_psal,percent_of_male_psal,percent_of_students_with,number_of_students_entering_1,total_number_of_students
Young Women's Leadership School,0,s,30,s,0,s,0.0,s,0,30
"Mathematics, Science Research and Technology Magne",0,s,19,s,29,s,60.4,12.5,0,48
Claremont International HS,s,79.8,45,83,59,s,56.7,s,0,104
Food and Finance High School,0,s,10,s,6,s,37.5,s,0,16
The Williamsburg High School of Art and Technology,0,35.3,7,6,10,s,58.8,s,0,17
New Design High School,0,0.0,9,0,16,0.0,64.0,28.0,0,25
School for Excellence,0,23.1,12,6,14,0.0,53.8,s,0,26
International Community High School,s,73.7,34,73,65,s,65.7,s,0,99
Eagle Academy for Young Men II,0,0.0,0,0,101,s,100.0,12.9,0,101
Cambria Heights Academy,0,s,48,s,39,s,44.8,8.0,0,87
Frederick Douglass Academy VII High School,0,0.0,12,0,10,s,45.5,s,0,22
Union Square Academy for Health Sciences,0,s,30,s,12,16.7,28.6,s,0,42
Williamsburg Preparatory School,0,s,30,s,39,s,56.5,18.8,0,69
Bronx Collaborative High School,0,10.2,32,6,27,s,45.8,15.3,0,59
Jill Chaifetz Transfer High School,0,0.0,0,0,0,0.0,0.0,0.0,0,0
Life Academy High School for Film and Music,0,0.0,32,0,15,s,31.9,23.4,0,47
Maspeth High School,0,s,221,s,183,18.6,45.3,8.2,0,404
Astor Collegiate Academy,0,s,37,s,32,s,46.4,8.7,0,69
Innovation Diploma Plus,0,0.0,0,0,0,0.0,0.0,0.0,0,0
P.S. K077,0,0.0,0,0,s,0.0,s,s,0,s
Newtown High School,s,15.0,93,35,141,26.5,60.3,7.3,0,234
Brooklyn School for Music & Theatre,0,s,s,s,s,0.0,s,s,0,21
The David Marquis School of the Arts,0,0.0,0,0,0,0.0,0.0,0.0,0,0
Manhattan International High School,0,56.3,8,18,24,s,75.0,0.0,0,32
P.S. X811,0,0.0,0,0,0,0.0,0.0,0.0,0,0
P.S. 368,0,0.0,0,0,0,0.0,0.0,0.0,0,0
Bronx Early College Academy for Teaching & Learnin,0,0.0,23,0,22,s,48.9,s,0,45
P.S. M721 - Manhattan Occupational Training Center,0,0.0,0,0,0,0.0,0.0,0.0,0,0
Frederick Douglass Academy,0,4.5,128,14,180,2.6,58.4,12.3,0,308
Lyons Community School,0,s,7,s,7,0.0,50.0,50.0,0,14
Quest to Learn,s,s,13,s,21,s,61.8,s,0,34
The Boerum Hill School for International Studies,0,s,s,s,s,0.0,s,s,0,31
P.S. K771,0,0.0,0,0,0,0.0,0.0,0.0,0,0
Unity Center for Urban Technologies,0,0.0,10,0,13,0.0,56.5,s,0,23
High School for Innovation in Advertising and Medi,0,12.8,12,6,35,s,74.5,12.8,0,47
The Clinton School,0,0.0,48,0,16,s,25.0,17.2,0,64
East New York Family Academy,0,s,47,s,28,s,37.3,10.7,0,75
