multiple_race_categories_1,grade_12,grade_11,grade_4,english_language_learners
0.007,0,0,0,101
0.02,107,105,0,45
0.058,44,60,0,9
0.03,90,87,0,26
0.025,0,0,23,7
0.072,0,0,0,14
0.021,65,85,0,71
0.0,51,44,0,215
0.0,0,0,79,153
0.046,0,0,44,4
0.006,218,138,0,28
0.008,331,375,0,107
0.043,0,0,0,51
0.093,0,0,35,5
0.119,0,0,0,3
0.026,79,60,0,46
0.061,0,0,0,0
0.021,104,123,0,67
0.019,132,152,0,1
0.077,0,0,0,0
0.045,102,115,0,13
0.0,92,97,0,281
0.0,0,0,41,33
0.022,0,0,44,32
0.009,55,67,0,13
0.089,113,130,0,3
0.012,111,98,0,69
0.026,56,56,0,9
0.009,183,164,0,48
0.095,0,0,0,0
0.029,0,0,41,17
0.005,95,94,0,12
0.013,0,0,55,64
0.119,0,0,48,16
0.021,0,0,0,5
0.085,0,0,0,0
0.039,0,0,98,86
0.023,0,0,43,21
0.005,0,0,32,65
0.052,828,828,0,0
0.013,14,106,0,0
0.065,178,126,113,7
0.012,0,0,54,77
0.049,0,0,48,39
0.016,78,90,0,53
0.048,0,0,78,48
0.047,0,0,0,8
0.023,112,116,0,2
0.0,0,0,16,14
0.043,802,842,0,0
0.085,0,0,49,17
0.025,87,78,0,55
0.014,0,0,68,47
0.013,0,0,34,32
0.059,0,0,28,4
0.016,74,61,0,21
0.023,86,81,0,22
0.063,0,0,35,9
0.048,0,0,0,3
0.066,101,117,0,1
0.014,114,101,0,41
0.013,113,103,0,66
0.065,0,0,150,30
0.039,131,133,0,1
0.066,0,0,88,23
0.065,0,0,0,8
0.054,662,674,0,1
0.042,0,0,91,39
0.033,0,0,115,43
0.05,103,115,0,0
0.03,89,101,0,4
0.019,0,0,105,105
0.0,98,87,0,305
0.011,250,165,0,104
0.05,0,0,0,42
0.053,43,41,0,9
0.024,0,0,0,3
0.04,0,0,69,33
0.104,0,0,155,25
0.099,0,0,135,29
0.064,0,0,0,10
0.038,0,0,0,5
0.084,319,312,0,4
0.019,0,0,46,47
0.012,11,95,0,0
0.036,0,0,44,8
0.02,70,55,0,23
0.039,171,144,0,5
0.055,0,83,0,10
0.027,0,0,67,131
0.057,0,0,98,17
0.017,0,0,17,16
0.018,0,0,137,239
0.004,118,52,0,18
0.051,0,0,63,115
0.018,80,94,0,18
0.022,88,97,0,37
0.046,0,0,64,43
0.033,0,0,47,51
0.004,0,0,49,47
0.025,0,0,90,79
0.018,86,135,0,1
0.007,0,0,70,100
0.018,0,0,0,21
0.099,0,0,94,28
0.047,0,0,28,59
0.025,79,95,0,15
0.052,53,65,0,20
0.011,349,440,0,39
0.022,52,79,0,37
0.011,0,0,31,8
0.075,151,129,0,2
0.017,62,56,0,1
0.056,0,0,36,12
0.033,0,0,90,63
0.032,40,43,0,9
0.078,0,0,0,0
0.021,0,0,0,32
0.034,90,97,0,6
0.007,74,101,0,30
0.005,39,46,0,9
0.045,103,112,0,10
0.028,85,105,0,28
0.039,0,0,0,23
0.004,0,0,93,180
0.067,0,0,0,12
0.06,95,113,0,4
0.006,0,0,29,27
0.026,0,0,32,49
0.004,0,0,0,9
0.021,0,0,0,10
0.024,119,68,0,46
0.0,70,45,0,262
0.025,0,0,0,3
0.022,371,461,0,76
0.065,129,121,0,2
0.036,0,0,21,17
0.0,0,0,21,7
0.016,76,92,0,57
0.029,0,0,64,35
0.035,0,0,57,41
0.002,0,0,55,41
0.01,0,0,19,6
0.062,108,112,0,10
0.007,0,0,51,96
0.042,0,0,75,54
0.035,142,177,0,8
0.02,86,83,0,30
0.041,822,849,0,0
0.08,0,0,0,9
