school_name,q24_how_satisfied_are_you,q11_i_trust_the_principal_1,q8_i_feel_respected_by_my_1,q21_since_the_beginning_of,q18_the_principal_school,q2_teachers_work_closely,q19_the_principal_school_1,q13_my_child_s_teachers_think,q9_my_child_s_race_ethnicity_1,q4_i_feel_respected_by_my_1,q7_my_child_s_school,q22_since_the_beginning_of,q29_during_the_school_year_1,q26_how_satisfied_are_you,q40_if_you_are_a_parent_1,q37_if_you_are_a_parent_1,q6_my_child_s_school_1,q20_the_principal_school_1,q33_if_you_are_a_parent_1,q8_i_feel_respected_by_my,q35_if_you_are_a_parent_1,q32_if_you_are_a_parent_1,q19_the_principal_school,q1_school_staff_regularly,q32_if_you_are_a_parent,q28_how_satisfied_are_you_1,q42_if_you_are_a_parent,q42_if_you_are_a_parent_1
Bronx Green Middle School,99%,3%,1%,89%,99%,93%,1%,99%,0%,0%,99%,92%,41%,99%,0%,0%,1%,4%,0%,99%,0%,0%,99%,97%,0%,,0%,0%
The River School,97%,3%,4%,98%,90%,95%,4%,98%,3%,2%,98%,96%,12%,97%,6%,4%,1%,4%,3%,96%,0%,6%,96%,93%,94%,,94%,6%
P.S. 183 Robert L. Stevenson,99%,1%,0%,96%,97%,97%,1%,97%,0%,2%,100%,93%,15%,97%,0%,6%,1%,1%,1%,100%,0%,8%,99%,98%,92%,,100%,0%
P.S. 75 School Of Research And Discovery,95%,3%,3%,94%,97%,96%,2%,95%,2%,3%,98%,95%,28%,98%,3%,12%,4%,6%,5%,97%,0%,5%,98%,96%,95%,,100%,0%
Ms 936 Arts Off 3Rd,95%,3%,4%,88%,97%,91%,2%,98%,2%,3%,93%,90%,27%,98%,0%,0%,6%,4%,0%,96%,0%,0%,98%,93%,0%,,0%,0%
J.H.S. 151 Lou Gehrig,99%,4%,1%,97%,97%,93%,3%,96%,3%,3%,99%,91%,35%,96%,0%,5%,1%,3%,0%,99%,0%,0%,97%,97%,0%,,0%,0%
Research And Service High School,83%,17%,0%,100%,,83%,0%,100%,0%,0%,100%,67%,0%,,0%,,0%,0%,0%,100%,0%,0%,100%,83%,0%,,0%,0%
P.S. 190 Sheffield,90%,18%,18%,91%,82%,100%,18%,100%,0%,0%,91%,91%,45%,100%,,,9%,20%,20%,82%,0%,20%,82%,91%,80%,,,
P.S. 290 Juan Morel Campos,91%,4%,4%,96%,96%,96%,0%,95%,0%,4%,91%,100%,9%,96%,,,9%,0%,0%,96%,0%,5%,100%,96%,95%,,,
Bronx Collaborative High School,82%,0%,0%,78%,90%,87%,0%,90%,4%,4%,91%,87%,22%,95%,0%,,0%,5%,0%,100%,14%,0%,100%,87%,0%,,0%,0%
"H.E.R.O. High (Health, Education, And Research Occupations High School)",98%,5%,2%,81%,97%,97%,0%,98%,5%,2%,97%,79%,21%,93%,0%,0%,3%,0%,0%,98%,3%,0%,100%,95%,0%,,0%,0%
Washington Heights Expeditionary Learning School,99%,1%,3%,97%,92%,94%,4%,97%,1%,3%,100%,96%,6%,99%,0%,0%,0%,6%,4%,97%,6%,4%,96%,96%,96%,,100%,0%
International Community High School,98%,4%,6%,91%,94%,91%,2%,91%,4%,4%,96%,87%,24%,100%,0%,0%,5%,2%,0%,94%,4%,0%,98%,85%,0%,,0%,0%
P.S. 065,97%,4%,4%,96%,95%,96%,4%,98%,2%,2%,99%,96%,15%,97%,0%,9%,2%,4%,3%,96%,0%,4%,96%,95%,96%,,100%,0%
Urban Assembly School For The Performing Arts,88%,25%,12%,62%,75%,75%,0%,67%,0%,0%,88%,75%,12%,86%,0%,,14%,14%,0%,88%,25%,0%,100%,75%,0%,,0%,0%
Union Square Academy For Health Sciences,100%,0%,1%,91%,99%,98%,0%,98%,0%,0%,99%,91%,16%,99%,0%,3%,0%,0%,0%,99%,1%,0%,100%,99%,0%,,0%,0%
"High School For Mathematics, Science And Engineering At City College",92%,5%,4%,62%,88%,80%,6%,88%,3%,3%,99%,73%,18%,94%,0%,20%,1%,7%,0%,96%,6%,0%,94%,85%,0%,,0%,0%
Cypress Hills Collegiate Preparatory School,95%,5%,4%,75%,94%,84%,5%,92%,2%,3%,93%,84%,58%,93%,0%,9%,5%,4%,0%,96%,15%,0%,95%,87%,0%,,0%,0%
"Urban Assembly School For Applied Math And Science, The",100%,7%,0%,89%,96%,81%,4%,92%,0%,0%,100%,92%,26%,100%,0%,14%,7%,8%,0%,100%,14%,0%,96%,89%,0%,,0%,0%
P.S. 748 Brooklyn School For Global Scholars,99%,3%,1%,92%,97%,97%,2%,98%,2%,1%,98%,94%,18%,98%,0%,2%,2%,1%,3%,99%,0%,2%,98%,96%,98%,,0%,0%
Samara Community School,97%,3%,3%,95%,97%,94%,3%,96%,3%,4%,97%,95%,9%,96%,0%,3%,3%,5%,2%,97%,0%,4%,97%,96%,96%,,100%,0%
Mott Hall Ii,94%,2%,2%,86%,96%,88%,4%,93%,4%,5%,97%,86%,17%,95%,0%,2%,3%,3%,0%,98%,0%,0%,96%,88%,0%,,0%,0%
P.S. 192 Jacob H. Schiff,96%,4%,3%,91%,95%,96%,4%,98%,1%,1%,99%,90%,14%,96%,3%,7%,1%,3%,4%,97%,0%,4%,96%,97%,96%,,100%,0%
Bronx Regional High School,86%,14%,14%,86%,80%,71%,14%,100%,14%,14%,86%,86%,57%,71%,0%,,14%,20%,0%,86%,57%,0%,86%,71%,0%,,0%,0%
"East Side Elementary School, Ps 267",78%,35%,44%,91%,42%,83%,42%,93%,10%,3%,90%,81%,9%,97%,0%,,3%,39%,9%,56%,0%,12%,58%,78%,88%,,0%,0%
The Urban Assembly Unison School,98%,5%,0%,95%,100%,95%,2%,100%,2%,2%,100%,80%,17%,98%,0%,14%,0%,5%,0%,100%,0%,0%,98%,90%,0%,,0%,0%
Bronx Delta School,98%,3%,3%,98%,94%,95%,6%,96%,4%,1%,98%,94%,8%,98%,0%,10%,0%,5%,7%,97%,0%,2%,94%,94%,98%,,100%,0%
South Bronx Preparatory: A College Board School,97%,2%,2%,82%,94%,80%,3%,93%,0%,2%,100%,90%,59%,97%,0%,20%,0%,0%,0%,98%,14%,0%,97%,85%,0%,,0%,0%
J.H.S. 223 The Montauk,93%,6%,3%,66%,90%,85%,5%,91%,4%,1%,90%,81%,61%,94%,0%,0%,8%,9%,0%,97%,0%,0%,95%,79%,0%,,0%,0%
Manhattan Business Academy,100%,,,,,80%,,,,20%,100%,,20%,80%,0%,,0%,,0%,,0%,0%,,80%,0%,,0%,0%
M.S. 129 Academy For Independent Learning And Leadership,88%,7%,7%,82%,84%,79%,12%,87%,4%,11%,93%,68%,21%,85%,0%,,7%,12%,0%,93%,0%,0%,88%,75%,0%,,0%,0%
Nyc Ischool,97%,2%,3%,79%,94%,88%,4%,95%,2%,2%,98%,75%,20%,96%,0%,16%,2%,4%,0%,97%,5%,0%,96%,91%,0%,,0%,0%
P.S. 013 Roberto Clemente,100%,3%,2%,99%,97%,97%,0%,100%,2%,2%,98%,99%,50%,99%,0%,1%,1%,0%,1%,98%,0%,1%,100%,97%,99%,,100%,0%
Young Women'S Leadership School Of The Bronx,98%,4%,4%,85%,95%,88%,5%,95%,2%,2%,97%,82%,20%,98%,0%,22%,2%,3%,0%,96%,8%,0%,95%,91%,0%,,0%,0%
P.S. 304 Early Childhood School,98%,2%,2%,94%,99%,96%,0%,97%,0%,1%,99%,95%,19%,98%,10%,3%,1%,1%,1%,98%,0%,2%,100%,96%,98%,,90%,10%
Conselyea Preparatory School,97%,2%,1%,89%,97%,94%,3%,95%,4%,1%,100%,87%,22%,97%,0%,0%,0%,6%,0%,99%,0%,0%,97%,95%,0%,,0%,0%
Yorkville Community School,99%,4%,6%,93%,91%,93%,3%,93%,3%,1%,99%,91%,13%,97%,33%,10%,1%,3%,6%,94%,0%,10%,97%,91%,90%,,67%,33%
Gramercy Arts High School,87%,5%,8%,64%,91%,82%,6%,86%,10%,5%,97%,64%,41%,86%,0%,,5%,8%,0%,92%,34%,0%,94%,82%,0%,,0%,0%
Cultural Academy For The Arts And Sciences,100%,3%,0%,88%,100%,97%,0%,97%,3%,3%,100%,76%,30%,97%,0%,0%,3%,0%,0%,100%,3%,0%,100%,97%,0%,,0%,0%
J.H.S. 127 The Castle Hill,94%,7%,5%,78%,94%,83%,4%,89%,4%,4%,96%,84%,40%,96%,0%,10%,4%,6%,0%,95%,0%,0%,96%,84%,0%,,0%,0%
I.S. 229 Roland Patterson,99%,2%,1%,88%,99%,98%,1%,98%,1%,0%,99%,89%,57%,99%,0%,1%,2%,1%,0%,99%,0%,0%,99%,98%,0%,,0%,0%
M.S. 582,97%,10%,6%,82%,94%,87%,5%,85%,7%,9%,91%,75%,26%,96%,0%,13%,5%,7%,0%,94%,0%,0%,95%,84%,0%,,0%,0%
"Heritage School, The",98%,3%,3%,93%,99%,94%,1%,97%,4%,4%,97%,83%,38%,99%,0%,19%,4%,0%,0%,97%,10%,0%,99%,94%,0%,,0%,0%
P.S. 110 Theodore Schoenfeld,88%,4%,2%,88%,92%,93%,2%,96%,4%,1%,99%,91%,37%,94%,0%,4%,1%,3%,8%,98%,0%,7%,98%,89%,93%,,100%,0%
Bronx Bridges High School,99%,3%,3%,94%,97%,97%,4%,98%,3%,3%,97%,95%,14%,100%,0%,0%,4%,2%,0%,97%,3%,0%,96%,96%,0%,,0%,0%
Millennium High School,92%,8%,5%,63%,89%,82%,9%,89%,3%,4%,94%,70%,29%,95%,0%,25%,4%,10%,0%,95%,9%,0%,91%,83%,0%,,0%,0%
P.S. 040 Augustus Saint-Gaudens,94%,3%,4%,89%,91%,90%,4%,92%,3%,3%,97%,89%,4%,96%,,32%,1%,6%,4%,96%,0%,6%,96%,92%,94%,,,
Frederick Douglass Academy V. Middle School,99%,2%,0%,95%,97%,93%,1%,98%,1%,0%,99%,85%,34%,98%,0%,4%,0%,2%,0%,100%,0%,0%,99%,96%,0%,,0%,0%
The Walton Avenue School,99%,1%,1%,95%,99%,99%,1%,98%,1%,0%,99%,94%,19%,99%,0%,0%,1%,2%,3%,99%,0%,1%,99%,99%,99%,,0%,0%
P.S. 059 The Community School Of Technology,99%,1%,1%,97%,99%,98%,1%,99%,1%,1%,99%,97%,9%,99%,0%,1%,1%,1%,1%,99%,0%,2%,99%,99%,98%,,100%,0%
P.S. 069 Journey Prep School,93%,3%,3%,96%,94%,95%,3%,97%,1%,0%,99%,92%,21%,96%,0%,7%,0%,4%,5%,97%,0%,5%,97%,92%,95%,,100%,0%
Gregorio Luperon High School For Science And Mathematics,98%,2%,2%,90%,97%,94%,1%,95%,2%,3%,99%,90%,15%,97%,0%,11%,2%,3%,0%,98%,4%,0%,99%,97%,0%,,0%,0%
P.S. 081 Thaddeus Stevens,90%,18%,18%,79%,89%,84%,10%,89%,20%,17%,83%,83%,21%,89%,13%,19%,18%,11%,18%,82%,0%,21%,90%,86%,79%,,94%,6%
Manhattan International High School,90%,0%,0%,77%,100%,83%,0%,100%,0%,3%,97%,77%,30%,100%,0%,0%,0%,0%,0%,100%,10%,0%,100%,83%,0%,,0%,0%
Hamilton Heights School,99%,2%,2%,95%,98%,95%,3%,98%,3%,2%,98%,94%,12%,98%,6%,4%,1%,1%,2%,98%,0%,3%,97%,96%,97%,,94%,6%
I.S. 313 School Of Leadership Development,98%,2%,2%,95%,98%,97%,1%,99%,1%,2%,98%,94%,16%,98%,0%,4%,2%,2%,0%,98%,0%,0%,99%,97%,0%,,0%,0%
The Longwood Academy Of Discovery,92%,11%,9%,91%,89%,91%,9%,93%,7%,5%,96%,89%,14%,96%,8%,6%,3%,9%,14%,91%,0%,11%,91%,89%,89%,,92%,8%
J.H.S. 062 Ditmas,93%,6%,3%,73%,94%,79%,3%,91%,4%,4%,94%,88%,45%,94%,0%,17%,3%,5%,0%,97%,0%,0%,97%,80%,0%,,0%,0%
The Fresh Creek School,100%,0%,2%,100%,99%,99%,1%,100%,0%,1%,99%,98%,30%,99%,9%,0%,1%,1%,1%,98%,0%,1%,99%,99%,99%,,91%,9%
P.S. 049 Willis Avenue,99%,1%,1%,98%,99%,100%,1%,100%,4%,1%,100%,95%,21%,99%,0%,1%,1%,0%,1%,99%,0%,0%,99%,99%,100%,,100%,0%
P.S. 154 Jonathan D. Hyatt,98%,2%,3%,94%,98%,94%,0%,95%,2%,2%,98%,92%,24%,99%,20%,4%,2%,1%,4%,97%,0%,4%,100%,93%,96%,,100%,0%
M.S. 594,99%,4%,3%,92%,95%,89%,4%,96%,3%,3%,94%,94%,32%,98%,0%,4%,4%,3%,0%,97%,0%,0%,96%,92%,0%,,0%,0%
P.S. 126 Jacob August Riis,98%,4%,7%,89%,95%,98%,5%,98%,2%,0%,100%,93%,26%,98%,0%,0%,0%,5%,0%,93%,0%,22%,95%,96%,78%,,0%,0%
47 The American Sign Language And English Secondary School,91%,9%,9%,96%,90%,96%,5%,95%,4%,0%,100%,83%,57%,96%,0%,0%,0%,15%,0%,91%,17%,0%,95%,96%,0%,,0%,0%
J.H.S. 144 Michelangelo,98%,5%,4%,87%,91%,92%,4%,95%,5%,2%,97%,87%,31%,98%,0%,3%,2%,5%,0%,96%,0%,0%,96%,88%,0%,,0%,0%
J.H.S. 022 Jordan L. Mott,100%,1%,1%,96%,98%,99%,2%,99%,0%,1%,99%,81%,29%,100%,0%,0%,1%,1%,0%,99%,0%,0%,98%,96%,0%,,0%,0%
The High School Of Fashion Industries,99%,3%,3%,77%,98%,89%,0%,97%,1%,5%,97%,89%,39%,97%,0%,5%,4%,2%,0%,97%,10%,0%,100%,92%,0%,,0%,0%
P.S. 175 City Island,100%,0%,0%,100%,100%,94%,6%,93%,6%,0%,100%,94%,24%,100%,0%,,0%,8%,17%,100%,0%,0%,94%,100%,100%,,0%,0%
Walkabout Bronx High School,100%,0%,0%,79%,95%,84%,6%,100%,0%,5%,94%,89%,11%,100%,0%,0%,5%,6%,0%,100%,5%,0%,94%,89%,0%,,0%,0%
English Language Learners And International Support Preparatory Academy (Ellis),100%,0%,0%,86%,93%,100%,0%,100%,0%,0%,100%,93%,36%,93%,0%,0%,0%,7%,0%,100%,0%,0%,100%,100%,0%,,0%,0%
Urban Assembly New York Harbor School,97%,1%,0%,84%,96%,86%,1%,96%,3%,5%,100%,84%,23%,92%,0%,18%,0%,3%,0%,100%,11%,0%,99%,89%,0%,,0%,0%
P.S. 204 Vince Lombardi,99%,1%,1%,92%,96%,97%,3%,97%,2%,1%,98%,96%,37%,97%,,8%,1%,3%,5%,99%,0%,7%,97%,96%,93%,,,
P.S. 091 Bronx,100%,4%,3%,96%,99%,98%,2%,98%,4%,3%,97%,98%,18%,98%,0%,0%,3%,1%,1%,97%,0%,3%,98%,96%,97%,,0%,0%
I.S. 285 Meyer Levin,84%,7%,6%,80%,96%,80%,3%,94%,2%,10%,93%,82%,21%,88%,0%,15%,7%,0%,0%,94%,0%,0%,97%,81%,0%,,0%,0%
P.S. 130 Abram Stevens Hewitt,97%,9%,7%,98%,93%,94%,7%,97%,4%,4%,95%,95%,18%,98%,7%,13%,4%,7%,7%,93%,0%,7%,93%,92%,93%,,100%,0%
Bronx Park Middle School,96%,8%,5%,89%,94%,90%,7%,93%,4%,6%,95%,82%,56%,97%,0%,5%,7%,6%,0%,95%,0%,0%,93%,93%,0%,,0%,0%
P.S. 165 Robert E. Simon,95%,8%,7%,96%,86%,91%,6%,94%,5%,4%,98%,97%,17%,95%,7%,4%,3%,10%,9%,93%,0%,6%,94%,94%,94%,,100%,0%
School Of Earth Exploration And Discovery Harlem (Seed Harlem),96%,0%,0%,92%,100%,92%,0%,100%,0%,0%,100%,88%,12%,100%,0%,0%,0%,0%,0%,100%,0%,0%,100%,96%,0%,,0%,0%
P.S. 083 Luis Munoz Rivera,100%,1%,0%,100%,100%,100%,0%,100%,0%,1%,100%,100%,2%,99%,0%,0%,0%,0%,1%,100%,0%,1%,100%,99%,99%,,100%,0%
High School For Innovation In Advertising And Media,100%,5%,3%,95%,98%,96%,1%,98%,1%,1%,97%,89%,32%,99%,0%,14%,3%,4%,0%,97%,11%,0%,99%,93%,0%,,0%,0%
P.S. 66,91%,15%,9%,80%,79%,82%,10%,90%,6%,3%,100%,76%,26%,85%,,,3%,12%,21%,91%,0%,27%,90%,76%,73%,,,
Benjamin Banneker Academy,88%,6%,6%,94%,94%,88%,6%,94%,6%,6%,94%,94%,29%,93%,0%,,6%,6%,0%,94%,6%,0%,94%,94%,0%,,0%,0%
New Bridges Elementary,98%,2%,1%,98%,99%,99%,2%,99%,2%,1%,99%,96%,12%,99%,0%,12%,0%,1%,5%,99%,0%,3%,98%,96%,97%,,100%,0%
The Maurice Sendak Community School,100%,14%,8%,95%,89%,100%,6%,100%,0%,0%,97%,89%,19%,100%,0%,0%,0%,6%,3%,92%,0%,5%,94%,95%,95%,,0%,0%
Brooklyn School Of Inquiry,86%,13%,9%,82%,85%,78%,9%,92%,10%,9%,97%,88%,15%,90%,0%,22%,3%,9%,7%,91%,0%,16%,91%,70%,84%,,0%,0%
Dreamyard Preparatory School,98%,5%,5%,89%,92%,91%,2%,97%,2%,4%,98%,79%,22%,95%,0%,17%,2%,2%,0%,95%,11%,0%,98%,89%,0%,,0%,0%
I.S. 289,96%,0%,0%,76%,98%,82%,2%,94%,1%,5%,100%,78%,24%,94%,0%,15%,0%,2%,0%,100%,0%,0%,98%,89%,0%,,0%,0%
I.S. 364 Gateway,100%,0%,0%,93%,93%,93%,0%,92%,7%,7%,100%,93%,33%,100%,0%,20%,0%,7%,0%,100%,0%,0%,100%,100%,0%,,0%,0%
The Bronxwood Preparatory Academy,97%,4%,2%,93%,93%,88%,4%,95%,2%,2%,99%,94%,51%,93%,0%,0%,2%,2%,0%,98%,10%,0%,96%,91%,0%,,0%,0%
P.S. 110 Florence Nightingale,98%,2%,3%,92%,95%,98%,0%,98%,6%,0%,100%,92%,16%,95%,,,0%,2%,2%,97%,0%,16%,100%,94%,84%,,,
P.S. 046 Edward C. Blum,95%,0%,0%,95%,85%,86%,5%,95%,9%,14%,91%,91%,23%,95%,,0%,0%,5%,11%,100%,0%,5%,95%,91%,95%,,,
P.S. 116 Mary Lindley Murray,94%,17%,11%,86%,68%,92%,8%,97%,0%,3%,100%,89%,3%,86%,,17%,0%,11%,3%,89%,0%,37%,92%,81%,63%,,,
P.S. 065 Mother Hale Academy,100%,0%,0%,100%,100%,100%,2%,100%,0%,0%,100%,100%,12%,98%,,0%,0%,2%,2%,100%,0%,2%,98%,98%,98%,,,
The Dr. Emmett W. Bassett School,97%,3%,2%,91%,98%,94%,2%,97%,3%,3%,98%,91%,23%,95%,0%,2%,2%,2%,5%,98%,0%,4%,98%,95%,96%,,87%,13%
Franklin Delano Roosevelt High School,92%,7%,6%,70%,92%,79%,7%,91%,6%,5%,94%,77%,61%,93%,0%,8%,7%,7%,0%,94%,10%,0%,93%,82%,0%,,0%,0%
East New York Middle School Of Excellence,99%,0%,0%,86%,100%,99%,0%,100%,0%,0%,100%,87%,19%,99%,0%,0%,0%,0%,0%,100%,0%,0%,100%,99%,0%,,0%,0%
The Judith S. Kaye School,,,,,,,,,,,,,,,0%,0%,,,0%,,,0%,,,0%,,0%,0%
P.S./I.S. 30 Mary White Ovington,94%,7%,4%,90%,92%,90%,4%,93%,6%,5%,94%,89%,31%,96%,0%,4%,6%,5%,6%,96%,0%,8%,96%,90%,92%,,0%,0%
Cascades High School,100%,0%,0%,100%,100%,100%,0%,100%,0%,0%,100%,78%,22%,100%,0%,,0%,0%,0%,100%,0%,0%,100%,100%,0%,,0%,0%
The Bronx High School Of Science,96%,3%,3%,61%,94%,82%,3%,91%,4%,3%,97%,75%,22%,95%,0%,29%,2%,4%,0%,97%,7%,0%,97%,86%,0%,,0%,0%
P.S. 396,99%,7%,7%,98%,94%,94%,4%,97%,5%,3%,98%,94%,22%,97%,6%,5%,2%,6%,6%,93%,0%,9%,96%,93%,91%,,100%,0%
The Star Academy - P.S.63,100%,6%,2%,97%,93%,94%,2%,98%,5%,2%,98%,94%,12%,98%,0%,11%,0%,0%,18%,98%,0%,11%,98%,98%,89%,,89%,11%
P.S. 046 Edgar Allan Poe,94%,6%,0%,93%,97%,94%,3%,98%,0%,1%,99%,94%,26%,97%,0%,12%,0%,5%,8%,100%,0%,6%,97%,94%,94%,,0%,0%
Mott Hall Community School,90%,11%,5%,84%,83%,73%,5%,83%,7%,2%,98%,86%,18%,89%,0%,33%,2%,2%,0%,95%,0%,0%,95%,82%,0%,,0%,0%
P.S. 166 The Richard Rodgers School Of The Arts And Technology,94%,17%,14%,92%,68%,89%,18%,94%,3%,3%,97%,89%,6%,94%,0%,13%,0%,13%,7%,86%,0%,5%,82%,84%,95%,,0%,0%
P.S. 160 William T. Sampson,98%,2%,1%,87%,98%,96%,2%,98%,1%,1%,98%,91%,26%,98%,0%,6%,1%,2%,2%,99%,0%,4%,98%,96%,96%,,0%,0%
P.S. 213 New Lots,92%,7%,7%,97%,97%,95%,4%,99%,3%,4%,94%,92%,16%,100%,5%,10%,4%,4%,2%,93%,0%,4%,96%,91%,96%,,95%,5%
Bronx Engineering And Technology Academy,100%,0%,1%,96%,100%,100%,0%,99%,0%,0%,99%,91%,38%,99%,0%,0%,0%,1%,0%,99%,1%,0%,100%,100%,0%,,0%,0%
P.S. 155 William Paca,96%,4%,4%,94%,96%,95%,6%,99%,4%,4%,97%,95%,23%,97%,0%,14%,5%,4%,8%,96%,0%,6%,94%,96%,94%,,100%,0%
Harbor Heights,99%,1%,2%,94%,94%,96%,3%,94%,1%,3%,99%,90%,10%,99%,0%,,1%,3%,0%,98%,0%,0%,97%,98%,0%,,0%,0%
P.S. 9 Ryer Avenue Elementary School,93%,7%,6%,94%,92%,90%,6%,94%,6%,7%,95%,92%,23%,95%,10%,5%,5%,5%,9%,94%,0%,7%,94%,87%,93%,,80%,20%
P.S. 250 George H. Lindsay,97%,3%,1%,97%,95%,92%,4%,93%,4%,3%,99%,96%,16%,99%,0%,10%,3%,4%,6%,99%,0%,9%,96%,93%,91%,,89%,11%
Belmont Preparatory High School,71%,29%,0%,86%,83%,71%,17%,86%,0%,0%,100%,67%,29%,80%,0%,,0%,14%,0%,100%,14%,0%,83%,71%,0%,,0%,0%
N.Y.C. Lab School For Collaborative Studies,96%,2%,3%,84%,93%,92%,4%,93%,4%,2%,99%,80%,5%,99%,0%,0%,2%,4%,0%,97%,7%,0%,96%,93%,0%,,0%,0%
Validus Preparatory Academy,91%,3%,3%,86%,97%,91%,0%,90%,3%,3%,97%,80%,29%,91%,0%,,3%,3%,0%,97%,12%,0%,100%,91%,0%,,0%,0%
The Cinema School,94%,0%,0%,72%,94%,94%,11%,100%,0%,0%,100%,78%,22%,100%,0%,,0%,0%,0%,100%,6%,0%,89%,100%,0%,,0%,0%
The 47 American Sign Language & English Lower School,100%,12%,6%,92%,84%,88%,13%,91%,2%,6%,100%,90%,15%,96%,11%,5%,0%,16%,15%,94%,0%,10%,87%,88%,90%,,95%,5%
George Westinghouse Career And Technical Education High School,98%,3%,3%,85%,97%,87%,2%,95%,3%,4%,94%,78%,28%,96%,0%,13%,4%,3%,0%,97%,10%,0%,98%,92%,0%,,0%,0%
P.S. 078 Anne Hutchinson,96%,5%,4%,91%,94%,93%,4%,96%,4%,4%,97%,93%,24%,95%,0%,0%,3%,6%,12%,96%,0%,11%,96%,93%,89%,,93%,7%
