school_name,q24_how_satisfied_are_you,q11_i_trust_the_principal_1,q8_i_feel_respected_by_my_1,q21_since_the_beginning_of,q18_the_principal_school,q2_teachers_work_closely,q19_the_principal_school_1,q13_my_child_s_teachers_think,q9_my_child_s_race_ethnicity_1,q4_i_feel_respected_by_my_1,q7_my_child_s_school,q22_since_the_beginning_of,q29_during_the_school_year_1,q26_how_satisfied_are_you,q40_if_you_are_a_parent_1,q37_if_you_are_a_parent_1,q6_my_child_s_school_1,q20_the_principal_school_1,q33_if_you_are_a_parent_1,q8_i_feel_respected_by_my,q35_if_you_are_a_parent_1,q32_if_you_are_a_parent_1,q19_the_principal_school,q1_school_staff_regularly,q32_if_you_are_a_parent,q28_how_satisfied_are_you_1,q42_if_you_are_a_parent,q42_if_you_are_a_parent_1
Yorkville East Middle School,93%,0%,3%,87%,91%,80%,7%,89%,3%,3%,98%,82%,11%,90%,0%,17%,3%,7%,0%,97%,0%,0%,93%,81%,0%,,0%,0%
P.S./I.S. 217 Roosevelt Island,95%,6%,6%,87%,87%,89%,6%,92%,4%,4%,98%,88%,16%,94%,11%,13%,1%,7%,8%,94%,0%,13%,94%,87%,87%,,83%,17%
South Bronx International Middle School,100%,2%,2%,94%,98%,98%,2%,98%,2%,2%,98%,95%,17%,99%,0%,0%,2%,2%,0%,98%,0%,0%,98%,98%,0%,,0%,0%
M.S. 319 - Maria Teresa,95%,7%,6%,91%,93%,86%,8%,93%,7%,6%,93%,93%,18%,97%,0%,8%,8%,8%,0%,94%,0%,0%,92%,88%,0%,,0%,0%
P.S. 291,99%,3%,2%,93%,97%,92%,2%,95%,4%,2%,96%,96%,8%,97%,0%,2%,4%,2%,2%,98%,0%,3%,98%,93%,97%,,0%,0%
High School For Health Careers And Sciences,100%,0%,0%,99%,100%,100%,0%,100%,0%,0%,100%,96%,16%,100%,0%,2%,0%,0%,0%,100%,3%,0%,100%,100%,0%,,0%,0%
Milton Fein School,97%,4%,4%,95%,94%,96%,4%,98%,2%,1%,99%,96%,23%,98%,0%,0%,2%,5%,3%,96%,0%,5%,96%,96%,95%,,0%,0%
High School For Service & Learning At Erasmus,78%,11%,33%,78%,71%,50%,29%,62%,11%,11%,89%,67%,0%,89%,0%,,11%,12%,0%,67%,0%,0%,71%,100%,0%,,0%,0%
The School For Inquiry And Social Justice,98%,7%,5%,93%,92%,86%,10%,97%,7%,7%,93%,84%,9%,95%,0%,,5%,5%,0%,95%,0%,0%,90%,91%,0%,,0%,0%
Academy For Health Careers,84%,7%,0%,72%,96%,86%,4%,96%,4%,7%,100%,83%,56%,96%,0%,25%,7%,0%,0%,100%,10%,0%,96%,79%,0%,,0%,0%
