name_prog1,swdseats_prog10,bbl,geappsperseat_prog2,code_prog6,priority3_prog1,priority2_prog2,geappsperseat_prog3,name_prog4,othersports,priority4_prog2,bus,gefilled_prog14,geseats_prog1,swdapps_prog2,swdappsperseat_prog3,url,priority2_prog1,swdseats_prog12,community_board,geapps_prog7,swdapps_prog5,priority3_prog2,geseats_prog11,admissionsmethod_prog14,gefilled_prog1,geapps_prog10,swdappsperseat_prog10,geappsperseat_prog7,swdappsperseat_prog11,priority2_prog7,geappsperseat_prog10,priority1_prog8,code_prog13,geseats_prog14,admissionsmethod_prog9,nta,swdseats_prog15,swdseats_prog3,geseats_prog12,geseats_prog8,swdfilled_prog15,priority2_prog6
The Riverside School for Makers and Artists,,1011717510.0,,,Then to District 3 students and residents,,,,,,,,48.0,,,{'url': 'https://www.myschools.nyc/en/schools/middle-school/9156'},Then to residents of the elementary school zone,,107.0,,,,,,N,,,,,,,,,,,Lincoln Square,,,,,,
Manhattan East School for Arts & Academics (M.S. 224),,1016930001.0,,,,,,,"Basketball, Dance, Flag Football, Soccer",,"BxM1, M101, M102, M103, M106, M15, M15-SBS, M31, M86-SBS, M96, M98",,63.0,,,{'url': 'https://www.myschools.nyc/en/schools/middle-school/9289'},Then to New York City residents,,111.0,,,,,,Y,,,,,,,,,,,East Harlem South,,,,,,
PS/IS 121 Nelson A. Rockefeller Magnet School of Applied Life Sciences,,3054951101.0,,,Then to District 21 students and residents,,,,Field Day,,"B11, B6, B8, B9",,48.0,,,{'url': 'https://www.myschools.nyc/en/schools/middle-school/11371'},Then to residents of the middle school zone,,312.0,,,,,,N,,,,,,,,,,,Borough Park,,,,,,
Bronx Green Middle School,,2044320001.0,,,Then to Bronx students and residents,,,,"Basketball, Boxing, Cheerleading, Running Club",,"Bx12, Bx12-SBS, Bx22, Bx26, Bx39, Bx8, BxM11",,97.0,,,{'url': 'https://www.myschools.nyc/en/schools/middle-school/10286'},Then to District 11 students and residents,,211.0,,,,,,N,,,,,,,,,,,Bronxdale,,,,,,
"Columbia Secondary School for Math, Science and Engineering",,1019640012.0,,,,,,,,,"Bx15, M10, M100, M101, M104, M11, M116, M2, M3, M4, M5, M60-SBS, M7",,75.0,,,{'url': 'https://www.myschools.nyc/en/schools/middle-school/9394'},Then to students and residents of District 3 south of 96th Street,,109.0,,,,,,Y,,,,,,,,,,,Morningside Heights,,,,,,
Ronald McNair (P.S./M.S. 147),,4113000001.0,,,Then to District 29 students and residents,,,,"Basketball, Flag Football, Tennis, Volleyball",,"Q27, Q4, Q77, Q83, X64",,60.0,,,{'url': 'https://www.myschools.nyc/en/schools/middle-school/12488'},Then to residents of the elementary school zone,,413.0,,,,,,N,,,,,,,,,,,Cambria Heights,,,,,,
The Ella Baker School,,1014420001.0,,,,,,,,,"BxM1, BxM10, BxM11, BxM3, BxM4, BxM6, BxM7, BxM8, BxM9, M1, M101, M102, M103, M15, M15-SBS, M2, M3, M31, M4, M57, M66, M72, M98, Q101, Q32, Q60, QM2, QM20, QM3",,20.0,,,{'url': 'https://www.myschools.nyc/en/schools/middle-school/8977'},Then to New York City residents,,108.0,,,,,,Y,,,,,,,,,,,Lenox Hill-Roosevelt Island,,,,,,
M.S. 936,,3008530001.0,,,,,,,,,,,125.0,,,{'url': 'https://www.myschools.nyc/en/schools/middle-school/13250'},,,307.0,,,,,,Y,,,,,,,,,,,Sunset Park West,,,,,,
P.S./I.S. 268,,4102150001.0,,,,,,,"Basketball, Flag Football, Volleyball",,"Q1, Q110, Q17, Q2, Q20A, Q20B, Q24, Q3, Q30, Q31, Q36, Q4, Q41, Q42, Q43, Q44-SBS, Q5, Q54, Q56, Q6, Q76, Q77, Q8, Q83, Q84, Q85, Q9, X64, X68",,56.0,,,{'url': 'https://www.myschools.nyc/en/schools/middle-school/12509'},Then to District 29 students and residents,,412.0,,,,,,Y,,,,,,,,,,,Jamaica,,,,,,
Luisa Dessus Cruz Middle School (M.S. 302),,2026860020.0,,,Then to Bronx students and residents,,,,,,"Bx17, Bx19, Bx4, Bx46, Bx4A, Bx6",,113.0,,,{'url': 'https://www.myschools.nyc/en/schools/middle-school/9743'},Then to District 8 students and residents,,202.0,,,,,,N,,,,,,,,,,,Longwood,,,,,,
