name_prog1,swdseats_prog10,bbl,geappsperseat_prog2,code_prog6,priority3_prog1,priority2_prog2,geappsperseat_prog3,name_prog4,othersports,priority4_prog2,bus,gefilled_prog14,geseats_prog1,swdapps_prog2,swdappsperseat_prog3,url,priority2_prog1,swdseats_prog12,community_board,geapps_prog7,swdapps_prog5,priority3_prog2,geseats_prog11,admissionsmethod_prog14,gefilled_prog1,geapps_prog10,swdappsperseat_prog10,geappsperseat_prog7,swdappsperseat_prog11,priority2_prog7,geappsperseat_prog10,priority1_prog8,code_prog13,geseats_prog14,admissionsmethod_prog9,nta,swdseats_prog15,swdseats_prog3,geseats_prog12,geseats_prog8,swdfilled_prog15,priority2_prog6
City College Academy Of The Arts,,1021720016.0,,,,,,,"Basketball, Volleyball",,"Bx7, BxM1, M100, M101, M3, M4, M98",,74.0,,,{'url': 'https://www.myschools.nyc/en/schools/middle-school/9504'},,,112.0,,,,,,Y,,,,,,,,,,,Washington Heights North,,,,,,
KAPPA VI (27Q282),,4157360001.0,,,,,,,"Basketball, Soccer, Track and Field",,"Q114, Q22, QM17",,74.0,,,{'url': 'https://www.myschools.nyc/en/schools/middle-school/12195'},,,414.0,,,,,,Y,,,,,,,,,,,Far Rockaway-Bayswater,,,,,,
Harold O. Levy School 52 Apple ConnectED Program,,1022330020.0,1.0,,,,,,,,"Bx12, Bx12-SBS, Bx20, Bx7, BxM1, M100, M3, M4",,98.0,1.0,,{'url': 'https://www.myschools.nyc/en/schools/middle-school/9464'},,,112.0,,,,,,N,,,,,,,,,,,Marble Hill-Inwood,,,,,,
Tompkins Square Middle School,,1003870001.0,,,,,,,"Basketball, Dance, Flag Football, Running Club, Soccer, Table Tennis, Track and Field, Volleyball",,"M14A, M14D, M15, M15-SBS, M21, M8, M9",,89.0,,,{'url': 'https://www.myschools.nyc/en/schools/middle-school/8885'},,,103.0,,,,,,Y,,,,,,,,,,,Lower East Side,,,,,,
The Eagle Academy of Young Men of Staten Island,,5005560080.0,,,,,,,,,"S51, S52, S66, S74, S76, S78, S84, S86",,67.0,,,{'url': 'https://www.myschools.nyc/en/schools/middle-school/12771'},,,501.0,,,,,,N,,,,,,,,,,,Stapleton-Rosebank,,,,,,
The Clinton School (M.S. 260),,1008420034.0,,,,,,,"Badminton, Cross Country, Track and Field",,"BM1, BM2, BM3, BM4, BxM10, BxM6, BxM7, BxM8, BxM9, M1, M101, M102, M103, M14A, M14D, M15, M15-SBS, M2, M20, M23, M3, M5, M7, M8, QM21, X1, X10, X10B, X12, X14, X17, X2, X27, X28, X37, X38, X42, X5, X63, X64, X68, X7, X9",,72.0,,,{'url': 'https://www.myschools.nyc/en/schools/middle-school/8983'},,,105.0,,,,,,Y,,,,,,,,,,,Hudson Yards-Chelsea-Flatiron-Union Square,,,,,,
Harbor Heights Transitional Bilingual Education Program (Spanish),,1021420154.0,,,,,,,"Basketball, Dance, Fitness Club, Soccer, Volleyball",,"Bx11, Bx13, Bx3, Bx35, Bx36, Bx7, M100, M101, M2, M3, M4, M5, M98",,47.0,,,{'url': 'https://www.myschools.nyc/en/schools/middle-school/9518'},,,112.0,,,,,,N,,,,,,,,,,,Washington Heights South,,,,,,
The Mary McLeod Bethune Academy,,3013670022.0,1.0,,,Then to District 17 students and residents,,,"Basketball, Cheerleading, Dance, Volleyball",,"B12, B14, B15, B17, B25, B45, B46, B46-SBS, B47, B65",,25.0,17.0,,{'url': 'https://www.myschools.nyc/en/schools/middle-school/10898'},,,308.0,,,,,,N,,,,,,,,,,,Crown Heights North,,,,,,
The Urban Institute of Mathematics,,2054380001.0,,,,,,,"Baseball, Basketball, Boxing, Cross Country, Flag Football, Soccer, Volleyball, Floor Hockey",,"Bx40, Bx42, Bx8, BxM9",,91.0,,,{'url': 'https://www.myschools.nyc/en/schools/middle-school/9756'},Then to Bronx students and residents,,210.0,,,,,,Y,,,,,,,,,,,Schuylerville-Throgs Neck-Edgewater Park,,,,,,
The Eagle Academy for Young Men,,2029230018.0,,,,,,,"Baseball, Basketball, Wrestling",,"Bx15, Bx17, Bx36, Bx40, Bx41, Bx41-SBS, Bx42",,67.0,,,{'url': 'https://www.myschools.nyc/en/schools/middle-school/9892'},Then to Bronx students and residents,,206.0,,,,,,N,,,,,,,,,,,Claremont-Bathgate,,,,,,
M.S. 371,,1019570010.0,,,,,,,,,,,70.0,,,{'url': 'https://www.myschools.nyc/en/schools/middle-school/13247'},Then to stuents and residents of District 5,,109.0,,,,,,N,,,,,,,,,,,Manhattanville,,,,,,
The Alexander Macomb School I.S. 232,,2028660070.0,,,Then to Bronx students and residents,,,,"Baseball, Basketball, Volleyball",,"Bx1, Bx18, Bx2, Bx3, Bx32, Bx36, Bx40, Bx42, BxM4",,127.0,,,{'url': 'https://www.myschools.nyc/en/schools/middle-school/9893'},Then to District 9 students and residents,,205.0,,,,,,N,,,,,,,,,,,University Heights-Morris Heights,,,,,,
Hamilton Grange Middle School,,1019880166.0,2.0,,,,,,"Baseball, Basketball, Boxing, Cheerleading, Cross Country, Dance, Fitness Club, Running Club, Soccer, Softball, Step, Track and Field, Yoga, Bouldering",,"Bx15, Bx19, Bx33, M10, M100, M101, M104, M11, M3, M4, M5",,74.0,6.0,,{'url': 'https://www.myschools.nyc/en/schools/middle-school/9495'},Then to District 6 students and residents,,109.0,,,,,,Y,,,,,,,,,,,Manhattanville,,,,,,
Quest To Learn,,1007420007.0,,,,,,,"Baseball, Basketball, Cross Country, Dance, Fencing, Fitness Club, Flag Football, Martial Arts, Running Club, Soccer, Softball, Table Tennis, Track and Field, Ultimate Frisbee, Volleyball, Wrestling, Yoga",,"M11, M12, M14A, M14D, M20, M23, M5, M7, X27, X28",,96.0,,,{'url': 'https://www.myschools.nyc/en/schools/middle-school/9036'},,,104.0,,,,,,N,,,,,,,,,,,Hudson Yards-Chelsea-Flatiron-Union Square,,,,,,
Margaret Douglas (J.H.S. 292): Honors Program,,3037400001.0,2.0,,,Then to District 19 students and residents,,,"Basketball, Cheerleading, Cross Country, Fitness Club, Football, Martial Arts, Soccer, Track and Field, Wrestling",,"B12, B14, B20, B25, B83, Q24, Q56",,69.0,62.0,,{'url': 'https://www.myschools.nyc/en/schools/middle-school/11098'},,,305.0,,,,,,N,,,,,,,,,,,East New York (Pennsylvania Ave),,,,,,
Conselyea Preparatory School,,3023450001.0,,,,,,,"Soccer, Table Tennis",,"B24, B32, B39, B44, B44-SBS, B46, B48, B60, B62, Q54, Q59",,122.0,,,{'url': 'https://www.myschools.nyc/en/schools/middle-school/10607'},,,301.0,,,,,,Y,,,,,,,,,,,North Side-South Side,,,,,,
Esperanza Preparatory Academy,,1016560100.0,1.0,,,,,,,,"M1, M101, M102, M103, M106, M116, M15, M15-SBS, M2, M3, M4, M96, M98",,44.0,4.0,,{'url': 'https://www.myschools.nyc/en/schools/middle-school/9291'},,,111.0,,,,,,N,,,,,,,,,,,East Harlem South,,,,,,
Hostos-Lincoln Academy of Science,,2026160001.0,,,,,,,"Soccer, Track and Field",,"Bx15, Bx17, Bx19, Bx2, Bx21, Bx4, Bx41, Bx41-SBS, Bx4A",,61.0,,,{'url': 'https://www.myschools.nyc/en/schools/middle-school/9638'},Then to Bronx students and residents,,201.0,,,,,,Y,,,,,,,,,,,Melrose South-Mott Haven North,,,,,,
The Bronx Urban Community Magnet School,,2037180001.0,,,Then to Bronx students and residents,,,,"Cheerleading, Track and Field, Volleyball",,"Bx27, Bx4, Bx4A, Bx5",,136.0,,,{'url': 'https://www.myschools.nyc/en/schools/middle-school/9722'},Then to District 8 students and residents,,209.0,,,,,,N,,,,,,,,,,,Soundview-Bruckner,,,,,,
City Island School (P.S. 175),,2056410280.0,,,Then to District 11 students and residents,,,,,,"Bx29, BxM8",,24.0,,,{'url': 'https://www.myschools.nyc/en/schools/middle-school/10268'},Then to residents of the middle school zone,,210.0,,,,,,Y,,,,,,,,,,,Pelham Bay-Country Club-City Island,,,,,,
The Center School,,1012140029.0,,,,,,,"Baseball, Basketball, Cheerleading, Running Club, Ultimate Frisbee, Volleyball",,"BxM2, M10, M104, M11, M5, M7, M79, M86-SBS",,0.0,,,{'url': 'https://www.myschools.nyc/en/schools/middle-school/9163'},,,107.0,,,,,,Y,,,,,,,,,,,Upper West Side,,,,,,
Baccalaureate School for Global Education,,4006340036.0,,,,,,,,,"Q101, Q102",,,,,{'url': 'https://www.myschools.nyc/en/schools/middle-school/12662'},,,401.0,,,,,,,,,,,,,,,,,Queensbridge-Ravenswood-Long Island City,,,,,,
Frances E. Carter (P.S./I.S. 384),,3034420001.0,,,,,,,"Dance, Martial Arts, Step, Volleyball",,"B20, B26",,57.0,,,{'url': 'https://www.myschools.nyc/en/schools/middle-school/13019'},Then to residents of the elementary school zone,,304.0,,,,,,N,,,,,,,,,,,Bushwick North,,,,,,
Spanish Dual Language Program,,3008800001.0,4.0,,,,,,"Basketball, Dance, Running Club, Table Tennis",,"B37, B61, B63, B67, B68, B69",,49.0,342.0,,{'url': 'https://www.myschools.nyc/en/schools/middle-school/10670'},Then to students and residents of Brooklyn,,307.0,,,,,,Y,,,,,,,,,,,Sunset Park West,,,,,,
Ebbets Field Middle School (M.S. 352),,3013010001.0,,,Then to Brooklyn students and residents,,,,"Basketball, Running Club, Soccer",,"B16, B41, B43, B44, B44-SBS, B48, B49",,73.0,,,{'url': 'https://www.myschools.nyc/en/schools/middle-school/10889'},Then to District 17 students and residents,,309.0,,,,,,N,,,,,,,,,,,Crown Heights South,,,,,,
I.S. Ridgewood Spanish Dual Language Program,,4034900001.0,3.0,,,,1.0,,"Basketball, Cheerleading, Dance, Handball, Soccer, Volleyball",,"B13, B20, B38, Q38, Q39, Q54, Q55, Q58, Q67, QM24, QM25, QM34",,25.0,83.0,1.0,{'url': 'https://www.myschools.nyc/en/schools/middle-school/11738'},,,405.0,,,,,,N,,,,,,,,,,,Ridgewood,,54.0,,,,
Academic (Zoned Program),,1014300005.0,4.0,,,,,,"Baseball, Basketball, Cheerleading, Cross Country, Flag Football, Running Club, Soccer, Table Tennis, Tennis, Track and Field, Volleyball, Yoga",,"BxM1, BxM10, BxM11, BxM2, BxM3, BxM4, BxM6, BxM7, BxM8, BxM9, M1, M101, M102, M103, M15, M15-SBS, M2, M3, M31, M4, M66, M72, M79, M98",,104.0,85.0,,{'url': 'https://www.myschools.nyc/en/schools/middle-school/8964'},Then to District 2 students and residents,,108.0,,,,,,Y,,,,,,,,,,,Lenox Hill-Roosevelt Island,,,,,,
Marine Park (J.H.S. 278): Center for Intellectually Gifted (CIG),,3084960100.0,3.0,,,Then to District 22 students and residents,,,"Archery, Basketball, Cheerleading, Softball, Tennis, Volleyball",,"B100, B2, B3, B31, B36, B41, B44, B44-SBS, BM4",,50.0,187.0,,{'url': 'https://www.myschools.nyc/en/schools/middle-school/11544'},,,315.0,,,,,,Y,,,,,,,,,,,park-cemetery-etc-Brooklyn,,,,,,
Bronx Early College Academy,,2024460043.0,,,,,,,"Basketball, Fitness Club, Volleyball",,"Bx1, Bx13, Bx2, Bx32, Bx35, Bx41, Bx41-SBS, Bx6, BxM4",,49.0,,,{'url': 'https://www.myschools.nyc/en/schools/middle-school/9911'},Then to Bronx students and residents,,204.0,,,,,,Y,,,,,,,,,,,East Concourse-Concourse Village,,,,,,
The Urban Assembly School for Applied Math and Science,,2029130001.0,,,,,,,,,"Bx11, Bx15, Bx17, Bx21, Bx32, Bx41, Bx41-SBS",,73.0,,,{'url': 'https://www.myschools.nyc/en/schools/middle-school/9897'},Then to Bronx students and residents,,203.0,,,,,,Y,,,,,,,,,,,Claremont-Bathgate,,,,,,
The Gravesend School (P.S./I.S. 95),,3071230066.0,,,,,,,,,"B1, B3, B4",,72.0,,,{'url': 'https://www.myschools.nyc/en/schools/middle-school/11357'},Then to residents of the elementary school zone,,315.0,,,,,,N,,,,,,,,,,,Gravesend,,,,,,
