uniqueid,cfmc_case_id,racewt,qday1triptravelcode12,qday1triptravelcode26,qwpsurveyzone10,qday1trip1start,qday1triptravelcode25,qday1trip1transitfrom2,qday1triptravelcode14,qday1triptravelcode13,qborough4,qday1trip1transitfrom6,qday1triptravelcode17,qday1triptravelcode04,qday1triptravelcode18,qday1triptravelcode06,qcarchange,qhispanic,qday1trip1park,qdisability3,qday1trip1transitto1,qday1triptravelcode09,qday1triplength,qsmartphone,qday1triptravelcode22,qdisability6,qday1triptravelcode20,qday1triptravelcode15,qincome,qwpsurveyzone06,qborough2,qday1triptravelcode_sp,qagecode_final6,qwpsurveyzone02,qday1tripdestination,qborough1,qday1trip1parkpay_amount,qday1triptravelcode19
120000967,10000967,1,0,0,0,1,0, ,0,0,0, ,0,0,0,0, ,1, ,0, ,0,35,2,0,1,0,0,2,0,0,19,0,0,2,1,0,1
230000210,10000210,2,0,0, ,9,0, ,0,0,0, ,0,0,0,0, ,1, ,0, ,0,10,2,0,1,0,0,2, ,0,1,1, , ,0,0,0
230001616,10001616,1,0,0, ,10,0, ,0,0,1, ,0,0,0,0,3,1, ,1, ,0,45,1,0,0,0,0,11, ,0,1,1, , ,0,0,0
160001659,50001659,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0, ,1, ,0,1,0,40,1,0,1,0,0,8,0,0,4,0,0,1,1,0,0
160001669,50001669,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0, ,5, ,0,1,0,140,1,0,0,0,0,4,0,0,2,0,0, ,1,0,0
160001109,50001109,2,0,0, ,1,0, ,0,0,0, ,0,0,0,0, ,1, ,0, ,0,15,1,0,1,0,0,4, ,0,1,0, ,1,0,0,0
120000744,10000744,1,0,0,0,1,0, ,0,0,0, ,0,0,0,0, ,1, ,0, ,0,20,2,0,1,0,0,11,0,0,21,0,0,3,1,0,0
160000904,50000904,5,0,0,0,1,0, ,0,0,0, ,0,0,0,0,3,3, ,0, ,0,35,1,0,1,0,0,8,0,0,1,0,1, ,0,0,0
120001193,10001193,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,1, ,0,1,0,90,1,0,1,0,0,5,0,0,2,0,1, ,0,0,0
230000484,10000484,1,0,0, ,8,0, ,0,0,0, ,0,0,0,0,3,1,2,0, ,0,4,2,0,0,0,0,11, ,0,11,1, , ,0,0,0
230000055,10000055,1,0,0,0,2,0, ,0,0,0, ,0,0,0,0,3,1, ,0, ,0,75,1,0,1,0,0,11,0,0,5,0,0, ,0,0,0
230000961,10000961,1,0,0,0,5,0, ,0,0,0, ,0,0,0,0,1,1,1,0, ,0,30,1,0,1,0,0,6,0,0,11,0,0, ,1,0,0
230000039,10000039,5,0,0, ,4,0, ,0,0,0, ,0,0,0,0,3,5, ,0, ,0,130,1,0,1,0,0,5, ,0,2,0, , ,0,0,0
120002328,10002328,5,0,0, ,1,0, ,0,0,0, ,0,0,0,0, ,1, ,0, ,0,60,2,0,1,0,0,1, ,0,1,0, , ,1,0,0
160001378,50001378,4,0,0, ,1,0,0,0,0,0,0,0,0,0,0,3,1, ,0,1,0,60,1,0,1,0,0,5, ,0,2,0, ,3,0,0,0
230001046,10001046,2,0,0,0,2,0, ,0,0,0, ,0,0,0,0,2,1, ,0, ,0,2,1,0,1,0,0,3,0,1,1,0,0,3,0,0,0
