ell_arabic_1,ell_korean_1,math_level_1_1,year,ela_l3_l4_1,ell_other_2
,,s,2015-16,s,
,,,2015-16,,
,,s,2015-16,s,
,,,2015-16,,
,,s,2015-16,s,
,,s,2015-16,70,
,,,2015-16,,
,,11,2015-16,s,
,,,2015-16,,
,,16,2015-16,s,
s,s,,2015-16,,s
s,s,18,2015-16,s,s
,,s,2015-16,26,
,,,2015-16,,
,,s,2015-16,s,
,,,2015-16,,
,,s,2015-16,58,
s,s,,2015-16,,s
,,,2015-16,,
,,,2015-16,,
,,,2015-16,,
,,,2015-16,,
,,11,2015-16,s,
,,6,2015-16,s,
,,,2015-16,,
,,s,2015-16,s,
,,s,2015-16,s,
s,s,s,2015-16,s,s
s,s,106,2015-16,s,s
,,s,2015-16,s,
,,s,2015-16,s,
,,,2015-16,,
s,s,,2015-16,,s
s,s,,2015-16,,s
s,s,s,2015-16,s,s
,,s,2015-16,88,
,,s,2015-16,s,
,,,2015-16,,
s,s,17,2015-16,s,s
,,s,2015-16,s,
,,,2015-16,,
,,,2015-16,,
,,,2015-16,,
,,s,2015-16,s,
,,,2015-16,,
s,s,9,2015-16,s,s
s,s,26,2015-16,s,s
,,s,2015-16,s,
s,s,s,2015-16,s,s
,,29,2015-16,s,
,,,2015-16,,
,,10,2015-16,s,
,,,2015-16,,
,,,2015-16,,
,,s,2015-16,s,
,,s,2015-16,6,
s,s,s,2015-16,,s
,,s,2015-16,84,
,,s,2015-16,s,
,,,2015-16,,
,,s,2015-16,s,
,,s,2015-16,s,
,,9,2015-16,s,
,,s,2015-16,s,
,,s,2015-16,s,
,,s,2015-16,s,
s,s,18,2015-16,s,s
,,,2015-16,,
,,36,2015-16,s,
s,s,s,2015-16,s,s
,,,2015-16,,
,,,2015-16,,
,,s,2015-16,25,
s,s,s,2015-16,s,s
,,,2015-16,,
,,s,2015-16,s,
,,s,2015-16,,
,,13,2015-16,s,
,,s,2015-16,s,
,,,2015-16,,
,,,2015-16,,
,,s,2015-16,21,
,,s,2015-16,s,
,,,2015-16,,
s,s,s,2015-16,s,s
,,7,2015-16,s,
,,s,2015-16,s,
,,,2015-16,,
s,s,12,2015-16,s,s
,,s,2015-16,63,
s,s,9,2015-16,s,s
,,s,2015-16,s,
,,s,2015-16,s,
,,s,2015-16,s,
,,s,2015-16,s,
,,s,2015-16,s,
,,s,2015-16,82,
,,,2015-16,,
s,14,s,2015-16,s,s
,,s,2015-16,s,
,,s,2015-16,51,
,,,2015-16,,
,,s,2015-16,66,
,,,2015-16,,
s,s,,2015-16,,s
,,s,2015-16,71,
,,s,2015-16,s,
,,s,2015-16,s,
,,,2015-16,,
s,s,s,2015-16,s,s
,,s,2015-16,22,
s,s,,2015-16,,s
s,s,s,2015-16,s,s
s,s,,2015-16,,s
,,s,2015-16,s,
,,s,2015-16,s,
,,,2015-16,,
,,13,2015-16,s,
,,s,2015-16,185,
,,s,2015-16,28,
,,s,2015-16,s,
,,,2015-16,,
,,s,2015-16,s,
s,s,13,2015-16,s,s
,,s,2015-16,s,
,,s,2015-16,s,
,,24,2015-16,s,
,,13,2015-16,s,
,,,2015-16,,
,,s,2015-16,s,
s,s,s,2015-16,s,s
s,s,,2015-16,,s
,,10,2015-16,s,
,,s,2015-16,s,
,,,2015-16,,
,,s,2015-16,s,
,,s,2015-16,194,
,,13,2015-16,s,
,,s,2015-16,14,
,,,2015-16,,
,,16,2015-16,s,
,,s,2015-16,s,
,,s,2015-16,326,
s,s,,2015-16,,s
s,s,,2015-16,,s
,,13,2015-16,s,
,,s,2015-16,s,
,,9,2015-16,s,
s,s,,2015-16,,s
,,,2015-16,,
,,,2015-16,,
,,47,2015-16,s,
,,,2015-16,,
,,,2015-16,,
,,7,2015-16,s,
,,,2015-16,,
s,s,,2015-16,,s
,,,2015-16,,
,,s,2015-16,s,
,,s,2015-16,s,
s,s,17,2015-16,s,s
,,23,2015-16,6,
s,s,s,2015-16,s,s
,,30,2015-16,s,
,,s,2015-16,s,
,,9,2015-16,s,
,,,2015-16,,
s,s,,2015-16,,s
,,13,2015-16,s,
