ell_chinese_2,ell_hatian_creole_2,black_2,female_2,hispanic_1,hispanic_2,ela_level_4_2
,,s,s,s,s,s
,,s,0.4523809523809524,41,0.9761904761904762,
,,s,s,s,s,s
,,s,s,s,s,
,,s,s,s,s,s
,,s,0.46794871794871795,9,0.057692307692307696,0.7183098591549296
,,s,s,s,s,
,,s,0.4888888888888889,45,1,s
,,s,s,s,s,
,,s,0.5555555555555556,26,0.9629629629629629,s
s,s,s,0.475,40,1,
s,s,s,0.45161290322580644,31,1,s
,,0.2978723404255319,0.574468085106383,21,0.44680851063829785,0.45454545454545453
,,s,s,s,s,
,,s,s,s,s,s
,,s,s,12,1,
,,0.22727272727272727,0.5545454545454546,48,0.43636363636363634,0.4583333333333333
s,s,s,0.6153846153846154,24,0.9230769230769231,
,,s,s,s,s,
,,s,s,s,s,
,,s,s,s,s,
,,s,s,s,s,
,,s,0.53125,31,0.96875,s
,,s,s,8,0.8888888888888888,s
,,s,0.43333333333333335,28,0.9333333333333333,
,,s,s,s,s,s
,,s,s,s,s,s
s,s,s,0.48484848484848486,33,1,s
s,s,s,0.46111111111111114,176,0.9777777777777777,s
,,s,0.4,s,s,s
,,s,s,s,s,s
,,s,s,s,s,
s,s,s,s,s,s,
s,s,s,0.2553191489361702,47,1,
s,s,s,0.2916666666666667,22,0.9166666666666666,s
,,s,0.5297297297297298,20,0.10810810810810811,0.6593406593406593
,,s,0.5686274509803921,s,s,s
,,s,s,s,s,
s,s,s,0.44,25,1,s
,,s,0.5128205128205128,39,1,s
,,s,0.5625,16,1,
,,s,0.475,40,1,
,,s,s,11,0.8461538461538461,
,,s,s,s,s,s
,,s,s,s,s,
s,s,s,0.4444444444444444,53,0.9814814814814815,s
s,s,s,0.5666666666666667,60,1,s
,,s,0.5,14,0.875,s
0.875,s,s,s,s,s,s
,,s,0.4177215189873418,79,1,s
,,s,0.5208333333333334,48,1,s
,,s,s,s,s,
,,s,s,6,1,s
,,s,0.4375,8,0.05555555555555555,0.6527777777777778
,,s,0.4782608695652174,23,1,s
,,s,s,11,1,s
,,s,s,s,s,s
,,s,s,s,s,
,,s,0.6052631578947368,37,0.9736842105263158,
,,s,0.4642857142857143,s,s,s
,,s,s,s,s,
,,s,0.4230769230769231,26,1,s
,,s,s,s,s,
,,s,s,s,s,s
,,s,s,8,1,s
,,s,s,12,1,
,,s,0.36585365853658536,41,1,s
s,s,s,0.48951048951048953,142,0.993006993006993,s
,,s,s,s,s,s
,,0.022950819672131147,0.4491803278688525,289,0.9475409836065574,s
,,s,s,s,s,s
,,0.1875,0.5,8,0.25,0.42857142857142855
