grade_pk_half_day_full_day,hispanic_2
0,21.4
0,53.3
0,54.9
15,64.5
0,53.8
0,14.4
0,16.3
0,10.6
28,15.2
70,14.2
27,60.7
34,15.8
42,6.7
54,37.0
36,12.9
0,17.3
0,16.7
0,56.2
0,27.5
0,27.9
18,78.7
0,55.0
8,67.3
0,7.1
0,43.6
0,11.0
0,18.3
0,42.8
0,54.2
0,40.0
0,52.6
0,39.5
0,47.5
0,20.1
0,8.5
0,55.7
0,63.4
0,52.4
0,59.7
0,52.8
0,64.6
22,14.9
36,9.6
0,16.0
49,16.3
0,24.3
0,10.9
0,13.4
0,64.3
0,19.4
0,54.4
18,13.9
0,38.6
0,4.5
0,40.4
0,53.9
0,58.0
0,63.9
0,12.6
0,50.3
54,62.9
0,16.7
0,43.3
0,55.0
0,43.4
0,29.2
0,59.4
0,36.9
36,14.4
0,50.8
36,12.4
54,15.5
30,44.3
0,58.2
18,13.6
0,42.3
21,62.6
0,7.3
38,21.8
0,57.1
0,62.3
56,2.1
0,66.5
18,4.4
0,51.2
0,66.0
0,68.9
0,62.8
0,9.4
0,38.6
0,44.6
51,16.9
0,13.4
0,24.1
70,29.0
20,61.3
0,61.7
36,12.1
27,63.6
0,61.2
0,17.3
0,58.4
18,19.3
0,48.0
14,59.7
25,62.3
40,7.3
0,8.9
13,64.6
29,43.1
0,21.8
57,20.4
0,54.3
18,69.1
0,55.2
0,60.1
0,31.2
35,11.8
36,42.2
0,10.5
0,15.6
32,12.5
0,48.3
0,52.2
0,31.0
0,49.4
0,36.4
0,67.6
71,2.0
35,14.3
55,22.9
0,42.5
12,78.9
0,19.1
0,11.6
0,7.5
0,53.0
0,56.4
26,60.1
0,54.5
0,59.2
0,52.9
0,58.7
18,21.3
36,8.9
0,42.1
0,53.7
33,8.4
0,15.0
0,8.7
13,51.2
0,56.5
0,56.7
18,24.2
0,9.1
0,12.8
0,11.3
0,16.2
40,8.8
0,22.5
0,57.3
0,21.3
36,31.6
35,68.2
0,55.8
0,42.4
17,57.9
0,12.1
0,52.2
27,30.7
0,49.2
30,15.9
0,48.6
0,62.5
18,13.6
0,98.1
0,8.9
0,54.6
0,10.9
0,54.5
18,15.2
0,44.1
37,49.6
0,26.4
0,50.3
0,39.8
