grade_4,grade_9,black_2,hispanic_1
99,0,8.1,127
0,59,26.0,172
0,490,24.1,811
19,0,19.7,131
0,56,27.6,121
0,0,13.7,117
104,0,6.1,104
107,0,4.9,90
66,0,13.2,93
0,0,4.5,22
25,0,30.6,153
0,0,9.2,24
86,0,1.4,44
28,0,18.5,124
32,0,8.5,35
0,0,8.1,235
0,69,19.1,82
0,135,33.0,249
0,0,12.0,110
0,119,11.4,213
28,0,12.4,292
98,0,23.1,316
43,0,26.7,303
115,0,1.4,46
0,104,18.5,193
113,121,9.1,190
0,0,11.5,43
0,160,41.1,224
0,29,42.5,97
0,0,29.9,289
0,496,37.4,946
0,1,29.9,294
0,60,33.9,115
0,0,8.9,216
0,0,3.8,31
0,141,38.8,234
0,50,26.9,118
0,117,40.7,215
0,107,29.5,247
0,101,40.1,162
0,71,27.0,206
93,0,5.3,82
118,0,1.8,69
43,0,24.0,24
49,0,79.5,82
0,0,17.5,100
0,0,17.0,25
134,0,1.5,119
0,123,26.9,256
65,0,24.8,109
0,128,22.9,227
0,117,54.6,127
0,106,13.6,308
0,168,25.1,301
23,0,18.2,128
70,0,12.3,87
51,0,20.2,145
100,0,1.3,59
0,488,36.5,860
35,0,31.8,204
0,103,24.3,47
0,97,31.9,82
0,98,23.4,243
97,0,1.5,95
122,0,4.9,126
0,0,33.5,262
44,0,33.3,228
84,0,5.6,49
0,0,7.9,46
0,0,48.6,61
0,0,3.1,46
0,123,23.9,227
0,70,54.0,109
0,126,20.6,231
0,141,28.1,235
0,108,34.6,173
71,0,8.6,314
0,7,27.1,60
0,0,6.9,54
0,86,68.2,105
0,0,9.6,113
106,0,2.4,45
0,91,32.8,154
49,0,13.0,113
0,0,3.6,36
0,0,50.0,48
0,128,52.8,160
0,122,34.7,205
0,112,23.2,310
0,124,25.2,268
0,0,10.2,26
0,142,27.9,303
30,0,25.9,250
28,0,7.6,27
35,0,9.2,124
0,515,16.1,972
66,0,18.0,220
156,0,5.3,97
0,87,27.3,191
48,0,2.2,66
64,0,21.8,274
52,0,27.9,349
0,55,23.9,118
0,2,18.8,45
0,126,18.9,188
0,0,17.0,75
0,168,31.0,369
0,624,11.3,506
32,0,27.8,245
0,107,73.2,94
0,171,27.5,276
0,118,29.1,158
0,114,35.4,176
0,110,15.8,156
0,105,14.7,168
0,0,2.0,40
53,0,11.5,84
0,274,36.1,167
107,0,25.7,574
0,154,25.8,268
0,159,41.0,228
53,0,6.3,89
54,0,0.5,45
129,0,17.1,287
0,38,28.5,107
117,0,9.5,145
102,0,9.5,221
0,0,5.9,64
0,40,24.3,77
0,44,28.4,109
0,102,34.3,231
0,125,26.2,135
0,124,4.4,66
60,0,20.7,106
93,0,14.3,178
0,116,12.7,187
0,140,16.1,97
38,0,59.7,42
0,0,2.4,41
0,91,27.5,167
26,0,18.5,129
103,0,11.9,190
90,0,3.4,49
0,19,31.5,54
22,0,62.1,67
0,0,0.5,193
0,208,21.8,435
0,145,34.8,276
50,0,11.3,101
0,167,34.3,282
0,163,36.3,266
0,39,31.8,88
0,69,37.8,123
0,173,10.1,98
16,0,48.0,46
0,125,0.2,507
63,0,0.3,22
0,0,2.3,40
0,104,27.7,183
0,118,12.0,199
66,0,18.6,100
0,0,10.3,42
116,145,7.7,204
76,0,9.7,161
0,0,14.8,29
83,0,3.0,54
0,0,3.4,44
0,149,22.1,260
0,0,28.6,133
0,81,33.3,206
0,0,9.9,65
0,108,11.1,198
0,114,34.4,229
113,0,8.8,138
0,136,24.0,166
0,90,70.1,100
40,0,25.0,24
0,0,39.3,175
91,0,16.4,255
43,0,44.3,118
146,0,0.9,47
55,0,17.6,82
0,0,32.1,58
116,0,1.3,26
0,133,28.9,258
49,0,38.5,229
