id,_fivetran_synced,created_at,name,project_id
1140999307201834EASY,2021-03-22 14:21:03,2019-09-21 22:25:26,05a821cdf4370ff1dd2fc1d4465fb23e,1142815262788862
1140999305179192HARD,2021-03-22 14:21:03,2019-09-21 22:25:04,453486c410b442f5df1143816d2fa52f,1142815262788855
1140999422113332EASY,2021-03-22 14:21:04,2019-09-21 22:25:04,453486c410b442f5df1143816d2fa52f,1135568818569273
1140999422891922NORMAL,2021-03-22 14:21:06,2019-09-21 22:25:14,453486c410b442f5df1143816d2fa52f,1142815262788901
1140999306720518NORMAL,2021-03-22 14:21:08,2019-09-21 22:25:21,453486c410b442f5df1143816d2fa52f,1142815262788867
1140999423455392EASY,2021-03-22 14:21:11,2019-09-21 22:25:21,453486c410b442f5df1143816d2fa52f,1142815262788838
1140999424217513EASY,2021-03-22 14:21:11,2019-09-21 22:25:27,453486c410b442f5df1143816d2fa52f,1135568818569273
1140999307427051HARD,2021-03-22 14:21:14,2019-09-21 22:25:31,453486c410b442f5df1143816d2fa52f,1142815262788907
1140999307646897HARD,2021-03-22 14:21:14,2019-09-21 22:25:36,98f770b0af18ca763421bac22b4b6805,1142815262788898
1140999307646896EASY,2021-03-22 14:21:15,2019-09-21 22:25:35,453486c410b442f5df1143816d2fa52f,339036947888916
1140999307926262EASY,2021-03-22 14:21:16,2019-09-21 22:25:39,453486c410b442f5df1143816d2fa52f,1142815262788837
1140999428608188EASY,2021-03-22 14:21:18,2019-09-21 22:26:19,23ce0eb7d180f3dc8391d4af48572d21,1142815262788859
1140999427143974NORMAL,2021-03-22 14:21:18,2019-09-21 22:26:02,453486c410b442f5df1143816d2fa52f,1142815262788870
1140999428608189EASY,2021-03-22 14:21:06,2019-09-21 22:25:35,Section 14,1142815262788909
1140999428608190HARD,2021-03-22 14:21:03,2019-09-21 22:25:14,Section 15,339036947888913
1140999428608191HARD,2021-03-22 14:21:18,2019-09-21 22:25:35,Section 16,1142815262788844
1140999428608192HARD,2021-03-22 14:21:14,2019-09-21 22:25:14,Section 17,339036947888913
1140999428608193NORMAL,2021-03-22 14:21:14,2019-09-21 22:25:27,Section 18,1142815262788918
1140999428608194NORMAL,2021-03-22 14:21:14,2019-09-21 22:25:27,Section 19,1142815262788894
1140999428608195NORMAL,2021-03-22 14:21:14,2019-09-21 22:25:21,Section 20,1103976536247089
1140999428608196HARD,2021-03-22 14:21:16,2019-09-21 22:25:14,Section 21,1142815262788880
1140999428608197HARD,2021-03-22 14:21:11,2019-09-21 22:25:21,Section 22,1142815262788907
1140999428608198EASY,2021-03-22 14:21:03,2019-09-21 22:25:21,Section 23,1142815262788870
1140999428608199NORMAL,2021-03-22 14:21:14,2019-09-21 22:25:35,Section 24,1142815262788890
1140999428608200HARD,2021-03-22 14:21:15,2019-09-21 22:25:39,Section 25,1142815262788875
1140999428608201HARD,2021-03-22 14:21:15,2019-09-21 22:25:04,Section 26,1142815262788878
1140999428608202NORMAL,2021-03-22 14:21:03,2019-09-21 22:25:21,Section 27,1142815262788848
1140999428608203NORMAL,2021-03-22 14:21:08,2019-09-21 22:26:19,Section 28,1142815262788841
1140999428608204HARD,2021-03-22 14:21:03,2019-09-21 22:25:35,Section 29,1142815262788903
1140999428608205NORMAL,2021-03-22 14:21:18,2019-09-21 22:25:04,Section 30,1142815262788901
1140999428608206EASY,2021-03-22 14:21:03,2019-09-21 22:25:35,Section 31,1142815262788893
1140999428608207NORMAL,2021-03-22 14:21:08,2019-09-21 22:25:21,Section 32,1142815262788904
1140999428608208NORMAL,2021-03-22 14:21:15,2019-09-21 22:25:21,Section 33,1142815262788837
1140999428608209NORMAL,2021-03-22 14:21:03,2019-09-21 22:26:02,Section 34,1142815262788887
1140999428608210HARD,2021-03-22 14:21:15,2019-09-21 22:25:04,Section 35,1142815262788866
1140999428608211EASY,2021-03-22 14:21:16,2019-09-21 22:25:04,Section 36,1142815262788914
1140999428608212HARD,2021-03-22 14:21:15,2019-09-21 22:25:26,Section 37,1103976536247089
1140999428608213HARD,2021-03-22 14:21:03,2019-09-21 22:25:27,Section 38,1142815262788893
1140999428608214NORMAL,2021-03-22 14:21:11,2019-09-21 22:25:21,Section 39,1142815262788903
1140999428608215NORMAL,2021-03-22 14:21:03,2019-09-21 22:25:31,Section 40,1142815262788918
1140999428608216HARD,2021-03-22 14:21:18,2019-09-21 22:25:04,Section 41,1142815262788865
1140999428608217HARD,2021-03-22 14:21:14,2019-09-21 22:26:02,Section 42,1142815262788901
1140999428608218EASY,2021-03-22 14:21:03,2019-09-21 22:25:27,Section 43,1142815262788871
1140999428608219NORMAL,2021-03-22 14:21:11,2019-09-21 22:25:04,Section 44,1142815262788838
1140999428608220EASY,2021-03-22 14:21:16,2019-09-21 22:25:14,Section 45,1142815262788876
1140999428608221HARD,2021-03-22 14:21:06,2019-09-21 22:25:35,Section 46,1142815262788869
1140999428608222EASY,2021-03-22 14:21:04,2019-09-21 22:25:36,Section 47,1142815262788880
1140999428608223NORMAL,2021-03-22 14:21:11,2019-09-21 22:25:04,Section 48,1127687633259843
1140999428608224NORMAL,2021-03-22 14:21:08,2019-09-21 22:25:14,Section 49,1142815262788854
1140999428608225EASY,2021-03-22 14:21:14,2019-09-21 22:25:21,Section 50,1142815262788865
