source_relation,modified_at,organization_id,campaign_id,ad_group_name,ad_group_id,ad_group_status,start_at,end_at,is_most_recent_record
"",2021-12-15 20:26:38.94,3219110,973923054,Kitty Cat Tap,976005125,ENABLED,2021-12-09 00:00:00,2022-01-31 23:59:00,t
"",2021-12-09 23:39:28.469,3219110,973923054,Kitty Cat Tap,976005125,ENABLED,2021-12-09 00:00:00,2022-01-31 23:59:00,f
"",2021-12-15 20:27:55.112,3219110,973923054,Bored Ad Group,983960442,ENABLED,2021-12-14 00:00:00,2022-01-14 23:59:59.999,t
"",2021-12-14 22:20:08.559,3219110,973923054,Bored Ad Group,983960442,ENABLED,2021-12-14 00:00:00,2022-01-14 23:59:59.999,f
"",2025-12-15 00:11:43.722498,3219110,973923054,Retargeting,983960443,PAUSED,2021-12-09 00:00:00,2022-01-31 23:59:00,t
"",2025-12-18 00:11:43.722541,3219110,973923054,Retargeting,983960444,PAUSED,2021-12-09 00:00:00,2022-01-31 23:59:00,t
"",2025-12-17 00:11:43.72256,3219110,973923054,Budget Segment,983960445,ENABLED,2021-12-09 00:00:00,2022-01-31 23:59:00,t
"",2025-12-23 00:11:43.722573,3219110,973923054,Premium Users,983960446,PAUSED,2021-12-09 00:00:00,2022-01-31 23:59:00,t
"",2025-12-18 00:11:43.722588,3219110,973923054,Retargeting,983960447,PAUSED,2021-12-09 00:00:00,2022-01-31 23:59:00,t
"",2025-12-02 00:11:43.722602,3162550,973923055,High Value,983960448,PAUSED,2025-11-20 00:00:00,2026-01-15 23:59:00,t
"",2025-12-24 00:11:43.722614,3162550,973923055,High Value,983960449,ENABLED,2025-11-20 00:00:00,2026-01-15 23:59:00,t
"",2025-12-22 00:11:43.722628,3162550,973923056,Premium Users,983960450,ENABLED,2025-10-17 00:00:00,2025-12-07 23:59:00,t
"",2025-12-23 00:11:43.722639,3162550,973923056,Retargeting,983960451,ENABLED,2025-10-17 00:00:00,2025-12-07 23:59:00,t
"",2025-12-10 00:11:43.722655,3162550,973923056,Premium Users,983960452,PAUSED,2025-10-17 00:00:00,2025-12-07 23:59:00,t
