ten,semp_adj,intp_adj,wkw,est_commuting,cit,wkhp,est_heap,off_pov_stat,schg
1,0.0,0.0,10.0,1128.0,4,40,0,2,0
3,0.0,0.0,,0.0,4,0,50,1,6
1,0.0,0.0,52.0,2068.0,1,45,0,2,0
1,0.0,0.0,52.0,3922.75,1,40,0,2,0
2,0.0,0.0,,0.0,1,0,0,2,0
1,0.0,0.0,52.0,6091.73,4,40,0,2,0
3,0.0,0.0,47.0,1300.96,1,35,50,2,0
1,0.0,0.0,,940.0,1,0,0,2,1
1,0.0,0.0,,662.833333333333,1,0,50,2,0
2,0.0,0.0,,298.275,1,0,0,2,0
1,0.0,0.0,52.0,1128.0,4,46,0,2,0
3,0.0,0.0,,470.0,5,0,0,2,4
1,0.0,0.0,52.0,1880.0,1,30,0,2,0
3,0.0,0.0,8.0,1120.48,1,25,0,2,5
3,0.0,1931.8953,,0.0,1,0,0,2,0
3,0.0,0.0,52.0,1880.0,1,40,0,2,0
3,0.0,0.0,,0.0,1,0,50,2,0
1,0.0,0.0,8.0,1552.88,5,45,0,2,0
1,0.0,0.0,,1391.95,4,0,0,2,0
1,0.0,0.0,,1657.08333333333,2,0,0,2,0
1,12201.444,0.0,12.0,225.6,4,40,50,2,0
1,0.0,0.0,52.0,1880.0,5,40,0,2,0
2,0.0,0.0,,225.6,4,0,50,1,0
2,0.0,0.0,,0.0,1,0,0,1,0
3,0.0,0.0,,451.2,1,0,0,1,3
3,0.0,0.0,,2651.33333333333,1,0,0,2,0
2,0.0,0.0,,1128.0,1,0,0,2,0
3,0.0,0.0,,1880.0,1,0,0,2,2
1,0.0,0.0,,1466.4,4,0,0,2,0
3,20335.74,0.0,40.0,1504.0,5,40,0,2,0
3,0.0,0.0,,795.4,1,0,0,2,5
3,0.0,0.0,52.0,2227.53,1,40,0,2,0
1,0.0,0.0,,1669.44,1,0,0,2,5
3,0.0,0.0,,3576.0,1,0,0,2,0
3,0.0,4270.5054,47.0,1237.04,5,70,0,2,0
3,0.0,0.0,52.0,1504.0,5,35,0,2,0
1,0.0,0.0,47.0,2014.84733333333,1,50,0,2,6
3,1016.787,0.0,50.0,940.0,5,40,0,2,6
1,0.0,0.0,48.0,2346.24,1,60,0,2,0
3,0.0,0.0,,0.0,1,0,0,2,0
2,0.0,0.0,52.0,1590.8,1,35,0,2,0
1,383328.699,2541.9675,52.0,1669.44,1,50,0,2,0
3,0.0,0.0,,0.0,1,0,50,1,0
2,0.0,0.0,,0.0,1,0,0,2,0
3,0.0,0.0,52.0,2256.0,1,50,0,2,0
1,0.0,0.0,,0.0,1,0,50,2,0
1,0.0,0.0,,1955.2,1,0,0,2,0
3,0.0,0.0,52.0,2105.6,5,40,0,2,0
1,0.0,0.0,52.0,5995.85,1,60,0,2,0
1,0.0,0.0,6.0,1331.04,1,20,0,2,5
1,0.0,1016.787,50.0,1128.0,1,50,0,2,0
2,0.0,0.0,8.0,90.24,5,20,0,2,0
3,0.0,0.0,52.0,1880.0,5,40,0,2,0
3,0.0,0.0,52.0,662.833333333333,1,37,0,2,0
2,0.0,0.0,,2638.5,1,0,0,2,0
2,0.0,0.0,36.0,541.44,4,35,0,2,0
3,0.0,2745.3249,25.0,470.0,1,40,0,2,0
