rel,famtype_pu,est_povgap,ds,sex,est_ficatax
1,1,0.0,2,2,2839.12350075
2,2,17482.916,2,1,0.0
0,2,0.0,2,2,10578.651948
0,5,0.0,2,1,7856.2047555
0,1,0.0,1,1,0.0
7,4,0.0,2,1,4775.9502177
0,4,0.0,2,2,2675.7766692
2,1,0.0,0,2,10267.515126
3,5,0.0,2,2,6067.168029
0,6,0.0,2,2,2916.90770625
0,2,0.0,2,1,4122.5628915
2,1,0.0,2,2,3095.8113789
1,2,0.0,2,1,25279.8667875
2,4,0.0,2,1,2224.6282773
0,8,1593.8274,1,2,0.0
6,3,0.0,2,2,2473.5377349
0,8,0.0,1,1,0.0
4,2,0.0,2,1,3500.2892475
6,1,0.0,2,2,43327.1094655365
2,1,0.0,2,2,4667.05233
0,2,2443.3489,2,1,0.0
1,2,0.0,2,2,4314.689879085
0,1,0.0,2,2,0.0
0,8,0.0,1,1,0.0
5,4,0.0,2,2,560.0462796
2,1,0.0,0,2,15556.8411
1,2,0.0,2,2,7000.578495
2,1,0.0,2,1,7000.578495
1,2,0.0,2,2,4978.189152
0,2,0.0,2,1,5518.01153817
2,4,0.0,2,1,2022.389343
2,2,0.0,2,2,9474.1162299
2,1,0.0,2,1,23445.3607938885
12,1,0.0,0,1,4433.6997135
0,8,0.0,2,1,11667.630825
1,2,0.0,2,1,3889.210275
0,1,0.0,2,2,10111.946715
1,2,0.0,2,1,7306.62045153975
1,2,0.0,2,2,32550.356475585
0,8,0.0,2,1,0.0
0,2,0.0,2,2,4667.05233
0,1,0.0,2,1,23445.3607938885
5,6,0.0,1,1,0.0
1,2,0.0,2,2,0.0
10,2,0.0,2,1,15245.704278
2,2,292.53064,2,2,0.0
2,1,0.0,0,2,6222.73644
2,2,0.0,2,1,6533.873262
0,1,0.0,2,1,7156.146906
2,1,0.0,2,1,22356.1175522685
0,2,0.0,2,1,22356.1175522685
7,5,0.0,1,2,0.0
5,4,4534.7188,2,1,0.0
2,1,0.0,2,1,4892.62652595
12,7,0.0,2,2,4278.1313025
0,2,0.0,1,1,5028.3599645475
6,2,0.0,2,1,11526.6547309518
0,1,0.0,1,1,7467.283728
0,8,0.0,2,2,4355.915508
9,7,0.0,2,1,3889.210275
0,4,2931.6921,2,2,1244.547288
0,2,0.0,2,1,4978.189152
0,2,0.0,2,1,0.0
0,5,0.0,2,1,5678.2470015
0,2,1365.4247,2,1,0.0
2,1,0.0,2,2,2839.12350075
0,8,0.0,2,2,1820.1504087
7,3,0.0,2,2,1936.82671695
0,1,13093.928,1,1,74.67283728
0,8,0.0,1,2,0.0
5,4,0.0,2,2,5989.3838235
0,6,0.0,1,2,1151.2062414
0,2,355.25644,1,1,0.0
1,1,1699.1284,2,2,1711.252521
2,4,9811.2158,2,1,24.89094576
2,1,0.0,0,1,10578.651948
0,8,0.0,2,1,5833.8154125
2,4,0.0,2,2,560.0462796
0,7,0.0,2,1,19601.619786
0,4,0.0,2,2,3819.20449005
0,8,397.70337,1,1,606.7168029
0,8,12503.77,2,2,0.0
7,4,0.0,2,2,723.39311115
2,1,0.0,0,1,3578.073453
9,3,8163.0923,1,1,984.63136532175
2,2,0.0,2,1,4667.05233
4,2,0.0,2,2,3500.2892475
2,4,0.0,2,2,2675.7766692
2,5,0.0,2,1,5678.2470015
0,2,0.0,2,1,6388.3390135095
0,2,0.0,2,1,8556.262605
0,2,0.0,2,1,7000.578495
2,1,0.0,2,2,6067.168029
5,4,0.0,2,1,5444.894385
2,1,0.0,2,2,40992.2762985
1,2,0.0,2,2,5518.01153817
1,2,285.61493,2,2,1866.820932
2,1,0.0,2,2,3464.5862971755
2,3,0.0,2,2,12367.6886745
1,1,2706.0042,1,2,2489.094576
1,2,0.0,2,2,2489.094576
2,1,0.0,2,2,11667.630825
1,2,0.0,2,2,5444.894385
1,1,0.0,2,1,7778.42055
0,2,0.0,2,1,33213.8557485
0,6,0.0,2,2,7750.8071570475
3,5,0.0,1,1,1866.820932
0,2,702.31372,1,1,0.0
2,1,0.0,2,1,13223.314935
7,4,0.0,2,2,3375.8345187
4,5,2691.1775,2,1,2722.4471925
0,8,0.0,2,1,15556.8411
1,2,0.0,2,1,5367.1101795
2,1,0.0,0,1,5289.325974
0,5,0.0,2,1,6067.168029
4,5,0.0,2,2,8620.04565351
0,8,0.0,1,2,77.7842055
0,8,970.86206,1,2,0.0
0,2,0.0,2,2,6533.873262
0,1,2490.3223,2,2,0.0
1,1,0.0,2,1,13715.688955815
0,2,0.0,2,1,33634.8273497685
0,1,0.0,2,2,40992.2762985
2,1,0.0,2,2,13223.314935
2,1,0.0,0,1,4667.05233
1,2,0.0,2,2,9474.1162299
2,4,24557.26,2,2,0.0
2,1,0.0,2,2,7156.146906
0,2,0.0,2,2,3296.5257427722
0,4,0.0,2,2,2022.389343
0,1,0.0,2,1,1073.4220359
1,1,0.0,2,2,1617.9114744
0,8,0.0,2,2,2333.526165
0,8,0.0,2,1,1944.6051375
5,4,0.0,0,2,560.0462796
0,7,0.0,2,2,7233.9311115
2,4,0.0,2,2,3811.4260695
2,4,0.0,2,2,3002.4703323
0,8,0.0,2,1,6456.0890565
2,3,0.0,2,2,9467.68347610515
0,8,0.0,1,2,0.0
0,2,0.0,2,1,0.0
2,4,0.0,2,1,2022.389343
2,1,0.0,2,1,7156.146906
