ela_l3_l4_2,ell_russian_2,black_1,ela_level_4_1,math_level_4_1,ela_test_takers,math_level_1_2,grade_7,male_1,school_name,other_1,ell_urdu_1,math_level_3_1,ell_urdu_2,grade_2,ell_arabic_2
,,s,,,,,,6,P.S./I.S. 30 Mary White Ovington,s,,,,10,
s,s,s,s,s,s,s,,s,P.S. 150 Queens,s,s,s,s,s,s
0.64,,33,10,10,50,s,,24,East New York Elementary School of Excellence,s,,21,,,
,s,s,,,,,,22,East Elmhurst Community School,s,s,,s,6,s
s,,s,s,s,35,0.7297297297297297,14,17,Liberty Avenue Middle School,s,,s,,,
s,,s,s,s,24,0.7083333333333334,,27,P.S. 098 Shorac Kappock,s,,s,,18,
0.8888888888888888,,13,47,77,99,s,,91,P.S. 163 Alfred E. Smith,16,,16,,24,
0.9285714285714286,,8,7,12,14,s,,17,P.S. 153 Helen Keller,s,,s,,s,
0.9662921348314607,,s,49,72,89,s,,88,P.S. 124 Yung Wing,s,,12,,31,
,,s,,,,,,s,P.S. 196 Ten Eyck,s,,,,,
,,s,,,,,,9,Samara Community School,s,,,,,
s,,s,s,s,s,s,,8,P.S. 044 Thomas C. Brown,s,,s,,s,
s,,s,s,s,11,0.7272727272727273,6,s,Esperanza Preparatory Academy,s,,s,,,
0.96875,,s,45,60,64,s,,32,P.S. 176 Ovington,s,,s,,,
s,,s,s,s,9,s,,12,Professor Juan Bosch Public School,s,,s,,s,
,s,s,,,,,,11,Washington Heights Expeditionary Learning School,s,s,,s,,s
,,s,,,,,,s,Sheridan Academy for Young Leaders,s,,,,,
,,s,,,,,,9,P.S. 333 - The Museum School,s,,,,,
s,s,24,s,s,32,0.22580645161290322,19,41,P.S. 189 The Bilingual Center,s,s,s,s,7,s
s,,s,s,s,s,s,s,s,I.S. 145 Joseph Pulitzer,s,,s,,,
s,s,s,s,s,10,0.6,,s,M.S. 390,s,s,s,s,,s
s,s,s,s,s,8,s,,23,P.S. 280,s,s,s,s,10,s
,,s,,,,,,35,P.S. 112 Jose Celso Barbosa,s,,,,9,
s,,s,s,s,15,s,s,8,Middle School 322,s,,s,,,
s,,s,s,s,10,0.6,,s,M.S. 390,s,,s,,,
,s,s,,,,,,6,P.S. 124 Yung Wing,s,s,,s,s,s
s,,s,s,s,s,s,,s,P.S. 200 Benson School,s,,s,,,
s,,s,s,s,6,s,,s,P.S. 161 The Crown,s,,s,,,
s,,s,s,s,s,s,,s,P.S. 143 Louis Armstrong,s,,s,,s,
0.9662921348314607,,s,49,72,89,s,,88,P.S. 124 Yung Wing,s,,12,,31,
0.5555555555555556,,s,s,15,27,s,,40,P.S. 163 Flushing Heights,s,,11,,23,
,s,s,,,,,,7,Sheridan Academy for Young Leaders,s,s,,s,,s
s,,s,s,s,42,0.6904761904761905,,40,P.S. 094 The Henry Longfellow,s,,s,,s,
0.875,,s,s,6,8,s,,s,P.S. 198 Isador E. Ida Straus,s,,s,,s,
s,,s,s,s,51,0.847457627118644,19,31,Esperanza Preparatory Academy,s,,s,,,
,,s,,,,,,s,P.S./I.S. 217 Roosevelt Island,s,,,,s,
,,s,,,,,,s,P.S. Q016 The Nancy DeBenedittis School,s,,,,,
s,,s,s,,s,,,s,I.S. 061 Leonardo Da Vinci,s,,,,,
0.9565217391304348,,s,11,16,23,s,,24,P.S. 102 The Bayview,s,,7,,9,
,,s,,,,,,7,P.S. 139 Alexine A. Fenty,s,,,,,
,,s,,,,,,s,P.S. 087 William Sherman,s,,,,,
,,s,,,,,,s,P.S. 096 Joseph Lanzetta,s,,,,s,
,,s,,,,,,s,P.S. 345 Patrolman Robert Bolden,s,,,,,
s,,s,s,s,s,s,,s,P.S. 016 John J. Driscoll,s,,s,,,
s,,s,s,s,15,s,s,8,Middle School 322,s,,s,,,
s,,s,s,s,60,0.55,,68,P.S. 046 Edgar Allan Poe,s,,s,,27,
s,,s,s,s,s,s,,s,P.S. 044 Thomas C. Brown,s,,s,,s,
