ela_level_2_2,ell_french_2,ell_bengali_1,grade_4,grade_3,math_l3_l4_2,ell_spanish_2,ela_level_3_1,ell_spanish_1,ell_bengali_2,ell_korean_2
s,,,,s,s,,s,,,
,,,,,,,,,,
s,,,,s,s,,s,,,
,,,,,,,,,,
s,,,s,s,s,,s,,,
s,,,28,27,0.9859154929577465,,19,,,
,,,,,,,,,,
0.35294117647058826,,,s,7,s,,s,,,
,,,,,,,,,,
s,,,s,s,s,,s,,,
,s,s,,,,1,,40,s,s
s,s,s,,,s,1,s,31,s,s
s,,,24,s,0.8181818181818182,,11,,,
,,,,,,,,,,
s,,,,,s,,s,,,
,,,,,,,,,,
s,,,36,22,0.875,,25,,,
,s,s,,,,1,,26,s,s
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
s,,,s,7,s,,s,,,
s,,,s,s,s,,s,,,
,,,,,,,,,,
s,,,s,s,s,,s,,,
s,,,,s,s,,s,,,
s,s,s,s,s,s,1,s,33,s,s
0.23387096774193547,s,s,17,15,s,1,s,180,s,s
s,,,s,s,s,,s,,,
s,,,,,s,,s,,,
,,,,,,,,,,
,s,s,,,,s,,s,s,s
,s,s,,,,1,,47,s,s
s,s,s,,6,s,0.9166666666666666,s,22,s,s
s,,,30,31,0.9560439560439561,,28,,,
s,,,s,s,s,,s,,,
,,,,,,,,,,
0.45454545454545453,s,s,,,s,1,s,25,s,s
s,,,s,s,s,,s,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
s,,,,,s,,s,,,
,,,,,,,,,,
0.5714285714285714,s,s,7,6,s,1,s,54,s,s
s,s,s,9,14,s,1,s,60,s,s
s,,,,s,s,,s,,,
s,s,s,,,s,s,s,s,s,s
0.10256410256410256,,,,,s,,s,,,
s,,,7,8,s,,s,,,
0.5833333333333334,,,s,,s,,s,,,
s,,,,s,s,,s,,,
s,,,,s,s,,s,,,
s,,,s,,s,,s,,,
s,,,s,s,s,,s,,,
s,,,s,7,0.8571428571428571,,9,,,
,,,,,,,,,,
,,,,,,,,,,
s,,,,,s,,s,,,
,s,s,,,,0.9565217391304348,,22,s,s
,,,,,,,,,,
s,,,,s,0.875,,s,,,
,,,,,,,,,,
s,,,,s,s,,s,,,
,,,,,,,,,,
s,,,s,s,1,,s,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.21052631578947367,s,s,10,13,s,1,s,62,s,s
,,,,,,,,,,
0.3114754098360656,,,33,28,0.16666666666666666,,s,,,
,,,,,,,,,,
s,,,,,s,,s,,,
s,,,,,s,,s,,,
s,,,12,14,0.7073170731707317,,19,,,
,,,,,,,,,,
,,,,,,,,,,
s,,,,s,s,,s,,,
,s,s,,,,1,,42,s,s
0.1951219512195122,,,13,16,s,,s,,,
,,,,,,,,,,
,,,,,,,,,,
s,,,s,,s,,s,,,
,,,,,,,,,,
s,,,s,6,s,,s,,,
,,,,,,,,,,
s,,,,,s,,s,,,
s,,,s,,s,,s,,,
s,,,,,s,,s,,,
s,,,s,7,s,,s,,,
s,,,8,s,0.9285714285714286,,s,,,
s,,,7,6,1,,6,,,
,,,,,,,,,,
,,,,,,,,,,
s,s,s,,s,s,1,s,17,s,s
,,,,,,,,,,
s,,,,,s,,s,,,
s,,,,s,s,,s,,,
,,,,,,,,,,
s,,,s,s,s,,s,,,
s,,,24,28,0.6842105263157895,,40,,,
0.6153846153846154,,,,13,s,,s,,,
,s,s,,,,1,,12,s,s
0.6470588235294118,s,s,7,10,0.35294117647058826,1,s,96,s,s
s,,,,s,s,,s,,,
s,,,s,s,s,,s,,,
0.2,s,s,,,s,1,s,36,s,s
s,,,,s,s,,s,,,
,,,,,,,,,,
s,s,s,,,s,s,s,s,s,s
s,s,s,,s,s,0.9411764705882353,s,16,s,s
s,s,s,s,s,s,0.88,s,22,s,s
,,,,,,,,,,
s,,,,s,s,,s,,,
s,,,,,s,,s,,,
s,,,14,25,0.926829268292683,,20,,,
s,s,s,,,s,s,s,s,s,s
,,,,,,,,,,
s,0.8333333333333334,s,s,,s,s,s,s,s,s
0.35294117647058826,,,11,s,s,,s,,,
,,,,,,,,,,
s,,,7,s,s,,s,,,
s,,,s,s,s,,s,,,
,,,s,8,,,,,,
,,,,,,,,,,
s,0.918918918918919,s,s,s,0.8571428571428571,s,s,s,s,s
s,,,s,s,s,,s,,,
0.7777777777777778,,,s,8,s,,s,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
s,,,,s,s,,s,,,
0.2608695652173913,,,13,7,s,,s,,,
0.4,,,10,s,s,,s,,,
s,,,,,s,,s,,,
,,,,,,,,,,
0.16666666666666666,,,14,17,s,,s,,,
,,,,,,,,,,
0.3114754098360656,,,33,29,0.16417910447761194,,s,,,
,,,,,,,,,,
s,,,s,s,s,,s,,,
,,,,,,,,,,
s,,,,,s,,s,,,
s,s,s,s,,s,s,s,s,s,s
s,,,,,s,,s,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.46153846153846156,,,,,0.4666666666666667,,s,,,
,,,,,,,,,,
,,,,,,,,,,
0.3181818181818182,s,s,9,13,s,1,s,22,s,s
s,s,s,,,s,s,s,s,s,s
s,,,,s,s,,s,,,
,,,,,,,,,,
s,s,s,7,8,s,0.967741935483871,s,60,s,s
s,,,60,62,0.9597701149425287,,46,,,
,,,,,,,,,,
0.34782608695652173,,,13,6,s,,s,,,
,,,,,,,,,,
s,,,11,6,0.7916666666666666,,14,,,
,,,,,,,,,,
s,,,,,s,,s,,,
s,,,s,s,s,,s,,,
,,,,,,,,,,
0.5625,,,8,s,0.41935483870967744,,s,,,
