segmentid,lionkey,oft,nextstep,projectcode,installationdate,projectstatus,cbletterrequestdate
98865,4688400110,425940407540407690,Pending installation queue,SR-20231018-30814,,Accept planning proposal of Feasible,
22588,3892800060,306530305580305680,,SR-20110809-5905,2013-08-12T00:00:00.000,"Study Completed, Closed",2012-01-24T00:00:00.000
23992,3464803010,353830327530329830,,SR-20150805-10832,2015-10-01T00:00:00.000,"Study Completed, Closed",2015-12-12T00:00:00.000
112742,4407400005,461145415290435780,,SR-20061113-2659,,"Installation Cancel, Closed",2007-02-07T00:00:00.000
73033,2460800010,249190274890249465,,SR-20171213-13433,,"Accept planning proposal of Not Feasible, Closed",
14705,5457200040,538600544600543178,,SR-20241125-35593,,"Planning denied Pre-inspection, Closed",
93598,2127200050,217420245420251020,,SR-20231018-30805,,"Accept planning proposal of Not Feasible, Closed",
23850,3212000010,328170357570332600,,SR-20150803-10802,,"Accept planning proposal of Not Feasible, Closed",
19487,3892400550,30648031083031093248.00%,,SR-20240530-31761,,"Accept planning proposal of Not Feasible, Closed",
5289,5307000050,529980543150548405,,SR-20060828-2539,,"Installation Cancel, Closed",2006-10-04T00:00:00.000
99146,4692601040,426390408190408290,,SR-20230821-30410,,"Accept planning proposal of Not Feasible, Closed",
56101,4596800010,417130428990421640,,SR-20240916-32313,,"Accept planning proposal of Not Feasible, Closed",
163054,3348400025,340060368530332600,,SR-20230426-29452,,"Accept planning proposal of Not Feasible, Closed",
82721,4060400110,428490448195437990,,SR-20240522-31733,,"Accept planning proposal of Not Feasible, Closed",
45938,3311201070,337466359353315540,,SR-20191122-17120,,"Accept planning proposal of Not Feasible, Closed",
169543,4469200182,465590451975448196,,SR-20231205-31103,,"Accept planning proposal of Not Feasible, Closed",
18540,3099201020,316280330630305025,,SR-20240523-31735,,"Accept planning proposal of Not Feasible, Closed",
59245,4672007020,424240421190421290,,SR-20240208-31322,,"Accept planning proposal of Not Feasible, Closed",
116167,4170501010,439685422670441700,,SR-20230517-29710,,"Accept planning proposal of Not Feasible, Closed",
313231,1497000010,134570110410110510,,SR-20240611-31809,,"Accept planning proposal of Not Feasible, Closed",
226151,4302000110,453090410640410740,,SR-20240307-31391,,Study created,
47792,3422001010,348730364530348330,,SR-20240918-32338,,"Accept planning proposal of Not Feasible, Closed",
15868,5282000200,52937753971051741184.00%,,SR-20240927-33380,,"Planning denied Pre-inspection, Closed",
68775,4527400100,407040406970407050,,SR-20240606-31789,,"Accept planning proposal of Not Feasible, Closed",
67914,4538201020,408390407540407590,,SR-20240207-31316,,"Accept planning proposal of Not Feasible, Closed",
67912,4534200160,407790408540408640,,SR-20240917-32328,,"Accept planning proposal of Not Feasible, Closed",
9314,5128600060,522047532450535480,,SR-20210406-25609,2022-07-28T00:00:00.000,"Study Completed, Closed",2021-08-16T00:00:00.000
210,5043004090,516860538943556500,,SR-20240916-32315,,"Planning denied Pre-inspection, Closed",
9426,5738400050,554530528610555440,,SR-20240227-31369,,"Accept planning proposal of Not Feasible, Closed",
52071,4051801100,427590460055450600,,SR-20240424-31602,,"Planning denied Pre-inspection, Closed",
45171,4187000010,441890331230461890,,SR-20201006-20003,,"Planning denied Pre-inspection, Closed",
11712,5512600210,541320524970543630,,SR-20211027-26653,,"Accept planning proposal of Not Feasible, Closed",
325241,4688400120,425940407690408190,Pending installation queue,SR-20231018-30814,,Accept planning proposal of Feasible,
100054,4593005040,416790426390426440,Pending installation queue,SR-20230831-30505,,Accept planning proposal of Feasible,
29711,3748001030,381530364830323330,,SR-20230612-29911,,Denied pre-inspection - Closed,
9432,5735000070,554260554530538320,,SR-20240102-31201,,"Accept planning proposal of Not Feasible, Closed",
73786,4939600440,450290413490450370,,SR-20241104-35527,,"Accept planning proposal of Not Feasible, Closed",
19043,3124402190,319030307730317140,,SR-20231115-30998,,"Accept planning proposal of Not Feasible, Closed",
281459,3650800075,372760386540334730,,SR-20201028-20054,,"Planning denied Pre-inspection, Closed",
82481,4254609590,447390412840412990,,SR-20240108-31229,,"Accept planning proposal of Not Feasible, Closed",
3621,5585003190,54475054747551744000.00%,,SR-20240926-33373,,"Accept planning proposal of Not Feasible, Closed",
105793,3708400070,377030370165316280,,SR-20240528-31744,,"Accept planning proposal of Not Feasible, Closed",
41998,3690401010,375430326630355330,,SR-20240603-31771,,"Accept planning proposal of Not Feasible, Closed",
56628,4639805040,421940419340419590,,SR-20240613-31819,,"Accept planning proposal of Not Feasible, Closed",
47817,3422000100,348730383730319830,,SR-20241112-35548,,"Accept planning proposal of Not Feasible, Closed",
19540,3935202040,310080306080306180,,SR-20000522-254,,"Reject planning proposal of Feasible, Closed",2000-06-20T00:00:00.000
67495,4275400040,450170454102408640,,SR-20211108-26694,,"Accept planning proposal of Not Feasible, Closed",
128191,3492400152,355330336780386030,,SR-20241119-35572,,"Accept planning proposal of Not Feasible, Closed",
28194,3284802030,335530329630333530,,SR-20241115-35559,,"Accept planning proposal of Not Feasible, Closed",
68886,4527400050,407040406840428020,,SR-20120820-6843,2015-09-14T00:00:00.000,"Study Completed, Closed",2014-03-12T00:00:00.000
63321,4642203030,422135426850426860,,SR-20250127-35723,,"Accept planning proposal of Not Feasible, Closed",
52223,4597600010,417290442240415790,,SR-20240502-31634,,"Accept planning proposal of Not Feasible, Closed",
45920,3311201090,337466343470315650,,SR-20191122-17120,,"Accept planning proposal of Not Feasible, Closed",
80328,2070800100,210020212220227660,,SR-20241104-35518,,"Accept planning proposal of Not Feasible, Closed",
101685,4574804020,413790427130427140,,SR-20240730-32098,,"Accept planning proposal of Not Feasible, Closed",
7607,5249400010,527675519820539005,,SR-20231206-31110,,"Accept planning proposal of Not Feasible, Closed",
86660,2448800040,247420262820258320,,SR-20040427-1213,,"Reject planning proposal of Feasible, Closed",
16300,5275800020,529305525550525908,,SR-20210827-26322,,"Accept planning proposal of Not Feasible, Closed",
