address_1,list_of_all_property_use,weather_normalized_source_1,data_quality_checker_date,parent_property_id,estimated_data_flag,net_emissions_metric_tons,estimated_data_flag_fuel_1,water_use_all_water_sources,ambulatory_surgical_center,race_track_gross_floor_area,medical_office_mri_machine,difference_from_national,library_gross_floor_area,hospital_general_medical_14,costar_property_id,district_chilled_water_use,restaurant_weekly_operating,fuel_oil_1_use_kbtu,propane_use_kbtu,fuel_oil_5_6_use_kbtu,performing_arts_gross_floor,laboratory_gross_floor_area,estimated_data_flag_district,census_tract,office_worker_density_number,data_center_pue,data_center_pdu_input_meter,fitness_center_health_club,courthouse_gross_floor_area,retail_store_percent_that,multifamily_housing_total_1,multifamily_housing_number_4,supermarket_grocery_gross,data_center_pdu_output_meter,natural_gas_use_kbtu,hospital_general_medical_15,food_service_gross_floor,weather_normalized_site,difference_from_national_2,property_gfa_epa_calculated_2,museum_gross_floor_area_ft,energy_star_certification_2,data_center_ups_output_meter,multifamily_housing_number_7,parking_gross_floor_area,multifamily_housing_total,financial_office_weekly,energy_star_certification,year_ending,default_values,office_percent_that_can_be,distribution_center_gross,retail_store_number_of_open,temporary_values,retail_store_walk_in,parent_property_name,transportation_terminal,municipally_supplied_potable_3,hospital_general_medical_13,medical_office_weekly,primary_property_type_epa,fast_food_restaurant_gross,data_center_national_median,hotel_percent_that_can_be,property_gfa_self_reported,municipally_supplied_potable_1,hospital_general_medical_3,alert_gross_floor_area_is
62-60 99th Street,Multifamily Housing,Not Available,Not Available,Not Applicable: Standalone Property,No,1877,Not Available,18525.5,Not Available,Not Available,Not Available,-40.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,71701.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.83101,418,Not Available,Not Available,25473300.2,Not Available,Not Available,0.7,Not Available,Not Available,Not Available,No,Not Available,0,Not Available,418,Not Available,Not Available,2015-12-31T00:00:00.000,Yes,Not Available,Not Available,Not Available,Yes,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,503000,Not Available,Not Available,Ok
4122 42nd st,Multifamily Housing,6823262.6,2016-03-30,Not Applicable: Standalone Property,No,383.2,No,Not Available,Not Available,Not Available,Not Available,-10.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,18102.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.93897,0,Not Available,Not Available,464500,Not Available,Not Available,3.7,Not Available,Not Available,Not Available,No,Not Available,0.93897,Not Available,58,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,61770,Not Available,Not Available,Ok
One Bryant Park,"Data Center, Financial Office, Office, Other, Retail Store",710879901.9,Not Available,Not Applicable: Standalone Property,No,28499.8,Not Available,Not Available,Not Available,Not Available,Not Available,118.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,119.0,2.21682,Not Available,0,Not Available,Not Available,97.01,Not Available,Not Available,Not Available,0,370287322.1,Not Available,Not Available,13.3,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,104,Not Available,2015-12-31T00:00:00.000,Yes,100,Not Available,0,No,0.06741,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Financial Office,Not Available,Not Available,Not Available,2212675,Not Available,Not Available,Ok
455 West 37th Street,"Multifamily Housing, Retail Store",64049303.1,2016-03-24,Not Applicable: Standalone Property,No,2296.9,Not Available,16049.5,Not Available,Not Available,Not Available,9.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,111.0,Not Available,Not Available,Not Available,Not Available,Not Available,100,1.07008,445,Not Available,Not Available,23389346.9,Not Available,Not Available,8.6,Not Available,Not Available,Not Available,No,Not Available,0,Not Available,445,Not Available,Not Available,2015-12-31T00:00:00.000,Yes,Not Available,Not Available,12,No,0.18756,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,426519,16049.5,Not Available,Ok
401 East 34th Street,"Medical Office, Multifamily Housing, Parking, Retail Store",88383966.8,Not Available,Not Applicable: Standalone Property,No,3154.9,Not Available,32177.5,Not Available,Not Available,Not Available,-18.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,8601.0,Not Available,Not Available,Not Available,Not Available,Not Available,100,0.88382,739,Not Available,Not Available,30808812.2,Not Available,Not Available,6.1,Not Available,10000,Not Available,No,Not Available,0,10000,739,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,0,No,0,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,65,Multifamily Housing,Not Available,Not Available,Not Available,859144,32177.5,Not Available,Ok
525 East 71st St,Other - Specialty Hospital,52934162.2,Not Available,Not Applicable: Standalone Property,No,1400.9,Not Available,68227.8,Not Available,Not Available,Not Available,-35.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,124.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,110400,Not Available,Not Available,23.3,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Other - Specialty Hospital,Not Available,Not Available,Not Available,211990,68227.8,Not Available,Ok
400 West 55th Street,"Medical Office, Multifamily Housing, Office, Other, Retail Store",36229296.1,2016-03-08,Not Applicable: Standalone Property,No,1218.1,Not Available,8012.1,Not Available,Not Available,Not Available,50.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,139.0,2.41546,Not Available,Not Available,Not Available,Not Available,60,0.96044,149,Not Available,Not Available,9919513.2,Not Available,Not Available,12.6,Not Available,Not Available,Not Available,No,Not Available,0,Not Available,149,Not Available,Not Available,2015-12-31T00:00:00.000,Yes,100,Not Available,1,No,0,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,168,Multifamily Housing,Not Available,Not Available,Not Available,189933,8012.1,Not Available,Ok
177 E. 75th Street,Multifamily Housing,19008506,Not Available,Not Applicable: Standalone Property,No,924.5,Not Available,7128.3,Not Available,Not Available,Not Available,-4.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,128.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.68276,99,Not Available,Not Available,164393.5,Not Available,Not Available,2.8,Not Available,Not Available,Not Available,No,Not Available,0,Not Available,99,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,145000,Not Available,Not Available,Ok
67-11 / 67-15 Parsons Blvd.,Multifamily Housing,Not Available,Not Available,4440047,Not Available,463.4,Not Available,4903.5,Not Available,Not Available,Not Available,-35.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.1,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Yes,Not Available,1.1,Not Available,77,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Third Housing Company Inc.,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,70000,Not Available,Not Available,Ok
209 Ave. P,Multifamily Housing,6695392.7,2016-03-27,Not Applicable: Standalone Property,No,278.2,Not Available,0,Not Available,Not Available,Not Available,-26.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,432.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.91061,0,Not Available,Not Available,4054585.2,Not Available,Not Available,2.7,Not Available,Not Available,Not Available,Yes,Not Available,0.38476,Not Available,71,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,77970,0,Not Available,Ok
70 East 8th.Street,Multifamily Housing,4473808.7,Not Available,Not Applicable: Standalone Property,No,210.2,Not Available,Not Available,Not Available,Not Available,Not Available,-41.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,504.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.0578,0,Not Available,Not Available,3687136,Not Available,Not Available,0.9,Not Available,Not Available,Not Available,No,Not Available,0,Not Available,62,Not Available,Not Available,2015-12-31T00:00:00.000,Yes,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,58612,Not Available,Not Available,Ok
39 Broadway,Office,89820601.3,Not Available,Not Applicable: Standalone Property,No,2925.6,Not Available,Not Available,Not Available,Not Available,Not Available,-22.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,13.0,2.30197,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,336593,Not Available,Not Available,14.7,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,"2013, 2012",2015-12-31T00:00:00.000,No,100,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Office,Not Available,Not Available,Not Available,447442,Not Available,Not Available,Ok
268 BAY RIDGE PARKWAY,Multifamily Housing,8966157.8,2016-03-27,Not Applicable: Standalone Property,No,375.2,Not Available,0,Not Available,Not Available,Not Available,-40.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,66.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.58557,0,Not Available,Not Available,5617855.7,Not Available,Not Available,1.9,Not Available,Not Available,Not Available,Yes,Not Available,0,Not Available,80,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,136620,0,Not Available,Ok
67-25 / 67-31 161st Street,Multifamily Housing,6238623.3,Not Available,4442823,Not Available,449.3,Not Available,Not Available,Not Available,Not Available,Not Available,-42,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.04286,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Yes,Not Available,1.04286,Not Available,73,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Second Housing Company Inc,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,70000,Not Available,Not Available,Ok
530 West 45th Street,Multifamily Housing,29202610.8,2016-03-08,Not Applicable: Standalone Property,No,1022.1,Not Available,1183642.5,Not Available,Not Available,Not Available,-17.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,129.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.24409,80,Not Available,Not Available,9183995.4,Not Available,Not Available,7.9,Not Available,Not Available,Not Available,No,Not Available,0.47334,Not Available,297,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,238729,1183642.5,Not Available,Ok
1330 Fulton Street,Multifamily Housing,6568451.2,Not Available,Not Applicable: Standalone Property,No,281.7,Not Available,7161,Not Available,Not Available,Not Available,-24.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,247.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.0957,0,Not Available,Not Available,4388094.1,Not Available,Not Available,2.9,Not Available,Not Available,Not Available,Yes,Not Available,1.0957,Not Available,65,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,59323,7161,Not Available,Ok
1265-1269 Olmstead Ave,Multifamily Housing,9638720.5,Not Available,Not Applicable: Standalone Property,No,406.8,Not Available,6446.7,Not Available,Not Available,Not Available,-22.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,92.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.95004,0,Not Available,Not Available,5965600.5,Not Available,Not Available,3.4,Not Available,Not Available,Not Available,Yes,Not Available,0.95004,Not Available,88,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,92628,6446.7,Not Available,Ok
176 WEST BROADWAY,"Multifamily Housing, Retail Store",12186182,2016-03-07,Not Applicable: Standalone Property,No,380,Not Available,2529.2,Not Available,Not Available,Not Available,141,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,33.0,Not Available,Not Available,Not Available,Not Available,Not Available,100,0.44444,0,Not Available,Not Available,2131913.4,Not Available,Not Available,23.1,Not Available,Not Available,Not Available,No,Not Available,0.44444,Not Available,16,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,2,No,0,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,53020,2529.8,Not Available,Ok
630 St Nicholas Ave,Multifamily Housing,6288949.8,2016-03-15,Not Applicable: Standalone Property,No,255.9,Not Available,3071.5,Not Available,Not Available,Not Available,160.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,227.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3.59677,0,Not Available,Not Available,3434433.4,Not Available,Not Available,24.5,Not Available,Not Available,Not Available,No,Not Available,1.65257,Not Available,37,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,61332,3071.5,Not Available,Ok
430 E 67 St,"Other, Parking",295348274.9,Not Available,3615313,No,10396.1,Not Available,Not Available,Not Available,Not Available,Not Available,643.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,116.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,59.8,Not Available,67864,Not Available,No,Not Available,Not Available,67864,Not Available,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Memorial Sloan Kettering Cancer Center 1,Not Available,Not Available,Not Available,Not Available,Other,Not Available,Not Available,Not Available,327993,Not Available,Not Available,Ok
2709 Ocean Ave.,Multifamily Housing,9478710.9,2016-03-27,Not Applicable: Standalone Property,No,401.2,Not Available,3486.1,Not Available,Not Available,Not Available,-8.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,59401.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.70667,0,Not Available,Not Available,6285129.3,Not Available,Not Available,2.8,Not Available,Not Available,Not Available,No,Not Available,0.70667,Not Available,59,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,83490,3486.1,Not Available,Ok
1260 60th Street,Multifamily Housing,43281541.7,Not Available,Not Applicable: Standalone Property,No,1273.6,Not Available,Not Available,Not Available,Not Available,Not Available,65.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,192.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,Not Available,Not Available,5279999.5,Not Available,Not Available,17.2,Not Available,Not Available,Not Available,No,Not Available,0,Not Available,0,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,204000,Not Available,Not Available,Ok
90-08 32nd Avenue,Multifamily Housing,55427786.2,Not Available,Not Applicable: Standalone Property,No,2335.9,Not Available,19200.8,Not Available,Not Available,Not Available,0.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,351.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.95382,0,Not Available,Not Available,24182449.4,Not Available,Not Available,5.5,Not Available,Not Available,Not Available,No,Not Available,0.95382,Not Available,396,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,415172,19200.8,Not Available,Ok
41 RIVER TERRACE,"Multifamily Housing, Supermarket/Grocery Store",41501893.3,2016-03-28,Not Applicable: Standalone Property,No,1742.2,Not Available,1369787.8,Not Available,Not Available,Not Available,-1.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,31703.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.95238,340,975,Not Available,11519813,Not Available,Not Available,6.9,Not Available,Not Available,Not Available,No,Not Available,0,Not Available,340,Not Available,Not Available,2015-12-31T00:00:00.000,Yes,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,357975,Not Available,Not Available,Ok
425 Lexington Ave,"Data Center, Financial Office, Office, Parking",153556983.6,Not Available,Not Applicable: Standalone Property,No,4579.8,Not Available,20872.8,Not Available,Not Available,Not Available,-26.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,92.0,1.90034,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,1049581.4,Not Available,Not Available,18.7,Not Available,10876,Not Available,No,803856,Not Available,10876,Not Available,55,2015,2015-12-31T00:00:00.000,No,100,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Office,Not Available,Not Available,Not Available,675086,Not Available,Not Available,Ok
65-69 / 65-73 162nd Street,Multifamily Housing,6169434.6,Not Available,4442823,Not Available,446.3,Not Available,4171.9,Not Available,Not Available,Not Available,-42.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.04286,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Yes,Not Available,1.04286,Not Available,73,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Second Housing Company Inc,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,70000,Not Available,Not Available,Ok
166-32 17th Road,"Multifamily Housing, Parking",16604406.2,2016-03-29,Not Applicable: Standalone Property,No,732.5,Not Available,0,Not Available,Not Available,Not Available,2.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1017.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.32108,0,Not Available,Not Available,602150,Not Available,Not Available,11.5,Not Available,33626,Not Available,No,Not Available,0,19244,192,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,82720,0,Not Available,Ok
930 Flushing Ave,Distribution Center,14890067,2016-03-28,Not Applicable: Standalone Property,No,492.6,Not Available,0,Not Available,Not Available,Not Available,-43.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,391.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3859700.2,Not Available,Not Available,3.2,Not Available,Not Available,Not Available,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,319284,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Distribution Center,Not Available,Not Available,Not Available,319284,0,Not Available,Ok
250 Fort Washington Ave,Multifamily Housing,6182804.2,Not Available,Not Applicable: Standalone Property,No,265.6,Not Available,2626,Not Available,Not Available,Not Available,-8.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,253.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.83333,0,Not Available,Not Available,3981500.3,Not Available,Not Available,3.7,Not Available,Not Available,Not Available,No,Not Available,0.83333,Not Available,43,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,51600,2626,Not Available,Ok
56 Fort Washington Ave,Multifamily Housing,6986238.4,Not Available,Not Applicable: Standalone Property,No,300.3,Not Available,7852.3,Not Available,Not Available,Not Available,14.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,245.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.75947,0,Not Available,Not Available,4415500.2,Not Available,Not Available,4,Not Available,Not Available,Not Available,No,Not Available,0.25316,Not Available,42,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,55302,7852.3,Not Available,Ok
435 East 70th Street,"Office, Parking, Residence Hall/Dormitory, Retail Store",41499954.2,Not Available,Not Applicable: Standalone Property,No,1138.3,Not Available,Not Available,Not Available,Not Available,Not Available,-42.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,124.0,2.3,Not Available,Not Available,Not Available,Not Available,80,Not Available,Not Available,Not Available,Not Available,1660600.1,Not Available,Not Available,9.5,Not Available,10000,Not Available,No,Not Available,Not Available,10000,Not Available,Not Available,Not Available,2015-12-31T00:00:00.000,No,100,Not Available,0,No,0,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Residence Hall/Dormitory,Not Available,Not Available,Not Available,390612,Not Available,Not Available,Ok
30 Montrose Avenue,"Multifamily Housing, Parking",63199800.3,2016-03-22,Not Applicable: Standalone Property,No,2632,Not Available,Not Available,Not Available,Not Available,Not Available,24,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,511.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.99587,386,Not Available,Not Available,36924697.2,Not Available,Not Available,5.9,Not Available,20000,Not Available,No,Not Available,0,0,386,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,387600,Not Available,Not Available,Ok
20-30 Lenox Avenue,Multifamily Housing,11362675.4,Not Available,Not Applicable: Standalone Property,No,516.7,Not Available,9165.1,Not Available,Not Available,Not Available,-31.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,186.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.98053,0,Not Available,Not Available,8617946.8,Not Available,Not Available,1.7,Not Available,Not Available,Not Available,Yes,Not Available,0.98053,Not Available,118,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,120343,9165.1,Not Available,Ok
1865 Ocean Ave.,Multifamily Housing,10936109.8,2016-03-27,Not Applicable: Standalone Property,No,464.9,Not Available,6938.2,Not Available,Not Available,Not Available,-3.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,758.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.06352,0,Not Available,Not Available,7089623,Not Available,Not Available,3.5,Not Available,Not Available,Not Available,No,Not Available,1.06352,Not Available,92,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,86505,6938.2,Not Available,Ok
141 West 28th Street,"Office, Retail Store",Not Available,2016-03-01,Not Applicable: Standalone Property,No,391.1,No,746.6,Not Available,Not Available,Not Available,10.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,95.0,1.82564,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,703.3,Not Available,Not Available,9.2,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2015-12-31T00:00:00.000,Yes,78.46,Not Available,0,No,0.23529,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Office,Not Available,Not Available,Not Available,53000,746.6,Not Available,Ok
65-94 162nd Street,"Multifamily Housing, Parking",27922868,Not Available,4442829,No,788.5,Not Available,Not Available,Not Available,Not Available,Not Available,-45.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,122701.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.04,0,Not Available,Not Available,840937.5,Not Available,Not Available,7.2,Not Available,90600,Not Available,Yes,Not Available,1.04,0,364,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Fourth Housing Company Inc.,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,350000,Not Available,Not Available,Ok
