address_1,list_of_all_property_use,weather_normalized_source_1,data_quality_checker_date,parent_property_id,estimated_data_flag,net_emissions_metric_tons,estimated_data_flag_fuel_1,water_use_all_water_sources,ambulatory_surgical_center,race_track_gross_floor_area,medical_office_mri_machine,difference_from_national,library_gross_floor_area,hospital_general_medical_14,costar_property_id,district_chilled_water_use,restaurant_weekly_operating,fuel_oil_1_use_kbtu,propane_use_kbtu,fuel_oil_5_6_use_kbtu,performing_arts_gross_floor,laboratory_gross_floor_area,estimated_data_flag_district,census_tract,office_worker_density_number,data_center_pue,data_center_pdu_input_meter,fitness_center_health_club,courthouse_gross_floor_area,retail_store_percent_that,multifamily_housing_total_1,multifamily_housing_number_4,supermarket_grocery_gross,data_center_pdu_output_meter,natural_gas_use_kbtu,hospital_general_medical_15,food_service_gross_floor,weather_normalized_site,difference_from_national_2,property_gfa_epa_calculated_2,museum_gross_floor_area_ft,energy_star_certification_2,data_center_ups_output_meter,multifamily_housing_number_7,parking_gross_floor_area,multifamily_housing_total,financial_office_weekly,energy_star_certification,year_ending,default_values,office_percent_that_can_be,distribution_center_gross,retail_store_number_of_open,temporary_values,retail_store_walk_in,parent_property_name,transportation_terminal,municipally_supplied_potable_3,hospital_general_medical_13,medical_office_weekly,primary_property_type_epa,fast_food_restaurant_gross,data_center_national_median,hotel_percent_that_can_be,property_gfa_self_reported,municipally_supplied_potable_1,hospital_general_medical_3,alert_gross_floor_area_is
220 West 26th Street,"Multifamily Housing, Parking",10685448.6,2016-03-24,Not Applicable: Standalone Property,No,357.7,Not Available,Not Available,Not Available,Not Available,Not Available,-37.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,91.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.91696,125,Not Available,Not Available,571766.7,Not Available,Not Available,6.1,Not Available,13576,Not Available,Yes,Not Available,0,13576,125,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,136320,Not Available,Not Available,Ok
161-08 / 161-06 HVA Jr. Ave.,Multifamily Housing,Not Available,Not Available,4442227,Not Available,156,Not Available,6680.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.04286,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,1.04286,Not Available,73,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,First Housing Company Inc.,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,70000,Not Available,Not Available,Ok
59 W 44th St.,Hotel,28372598.4,Not Available,Not Applicable: Standalone Property,No,1062.3,Not Available,11471,Not Available,Not Available,Not Available,19.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,96.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1522100,Not Available,Not Available,10.8,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2015-12-31T00:00:00.000,Yes,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Hotel,Not Available,Not Available,100,150000,11471,Not Available,Ok
121 East 31st Street,Multifamily Housing,7364637.4,2016-03-21,Not Applicable: Standalone Property,No,283.3,Not Available,3652,Not Available,Not Available,Not Available,-19.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,72.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.64606,96,Not Available,Not Available,3403523.2,Not Available,Not Available,6.1,Not Available,Not Available,Not Available,Yes,Not Available,0,Not Available,96,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,58321,3652,Not Available,Ok
120 East 19th Street,Multifamily Housing,6016749.4,Not Available,Not Applicable: Standalone Property,No,240.1,Not Available,Not Available,Not Available,Not Available,Not Available,-18.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,512.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.84511,0,Not Available,Not Available,3231399.9,Not Available,Not Available,3.9,Not Available,Not Available,Not Available,No,Not Available,0.16636,Not Available,52.82,Not Available,Not Available,2015-12-31T00:00:00.000,Yes,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,62500,Not Available,Not Available,Ok
93-10/24 Queens,Multifamily Housing,9050303.6,Not Available,Not Applicable: Standalone Property,No,385.5,Not Available,Not Available,Not Available,Not Available,Not Available,-37.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.09829,0,Not Available,Not Available,5788300.1,Not Available,Not Available,2.6,Not Available,Not Available,Not Available,Yes,Not Available,1.09829,Not Available,115,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,104708,Not Available,Not Available,Ok
2069 Nostrand Ave,Multifamily Housing,5257725.6,Not Available,Not Applicable: Standalone Property,No,242.4,Not Available,Not Available,Not Available,Not Available,Not Available,-14.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,786.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.2,0,Not Available,Not Available,4160032.1,Not Available,Not Available,1.5,Not Available,Not Available,Not Available,No,Not Available,0,Not Available,61.05,Not Available,Not Available,2015-12-31T00:00:00.000,Yes,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,50871,Not Available,Not Available,Ok
c/o Norwax Associates Inc.,Multifamily Housing,5103052,2016-03-23,Not Applicable: Standalone Property,No,197.6,Not Available,Not Available,Not Available,Not Available,Not Available,-13.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.72,0,Not Available,Not Available,2433060,Not Available,Not Available,4.7,Not Available,Not Available,Not Available,No,Not Available,0.72,Not Available,36,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,50000,Not Available,Not Available,Ok
629 Kappock St,Multifamily Housing,12049464,2016-03-22,Not Applicable: Standalone Property,No,583.4,Not Available,3626.6,Not Available,Not Available,Not Available,-27,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,29302.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.75821,99,Not Available,Not Available,3416039.9,Not Available,Not Available,3.4,Not Available,Not Available,Not Available,Yes,Not Available,0,Not Available,99,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Multifamily Housing,Not Available,Not Available,Not Available,130570,3626.6,Not Available,Ok
1133 York Ave,Ambulatory Surgical Center,Not Available,2016-02-17,Not Applicable: Standalone Property,No,1884.3,Not Available,Not Available,238000,Not Available,Not Available,53.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10602.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2015-12-31T00:00:00.000,No,Not Available,Not Available,Not Available,No,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Ambulatory Surgical Center,Not Available,Not Available,Not Available,238000,Not Available,Not Available,Ok
