permitnumber,createdon,permitseriesshortdesc,applicationtypeshortdesc,permitpurposecomments,specificstipulations
B012025190A64,2025-07-09T08:26:30.000,STREET OPENING PERMIT,Amend and Reissue,Milling 2&quot; of Roadway Surface for NYC-DOT Contract HW2CR23C,JN: MAY WORK 9:00AM - 2:00PM MONDAY - FRIDAY WHEN SCHOOL IS IN SESSION AND WORK 9:00AM - 4:00PM MONDAY - FRIDAY WHEN SCHOOL IS NOT IN SESSION. MUST COORDINATE WITH SCHOOL AND MTA BUSES PRIOR TO MOBILIZING. DO NOT BLOCK BUSES FROM LOADING OR UNLOADING. MUST MAINTAIN STIPULATION 023 ON BOTH ROADWAYS.
B162025195A17,2025-07-14T09:10:43.000,COMMERCIAL REFUSE CONTAINER PERMIT,Renew,,
B152025197A02,2025-07-16T08:00:56.000,DOT IN-HOUSE PAVING AND MILLING,New,PAVING,
B162025195A73,2025-07-14T14:24:47.000,COMMERCIAL REFUSE CONTAINER PERMIT,New,,
M032025197A01,2025-07-16T06:57:39.000,MANHOLE EMBARGO PERMIT,New,CODE 753,
B152025197A40,2025-07-16T14:59:56.000,DOT IN-HOUSE PAVING AND MILLING,New,MILLING,
B162025191A05,2025-07-10T07:50:22.000,COMMERCIAL REFUSE CONTAINER PERMIT,New,,
B012025190A79,2025-07-09T08:27:43.000,STREET OPENING PERMIT,Amend and Reissue,Milling 2&quot; of Roadway Surface for NYC-DOT Contract HW2CR23C,JN: MAY WORK 9:00AM - 4:00PM MONDAY - FRIDAY. MUST MAINTAIN STIPULATION 112 ON BOTH ROADWAYS. MUST COORDINATE WITH MTA BUSES PRIOR TO MOBILIZING. DO NOT BLOCK BUSES FROM LOADING OR UNLOADING.
B162025192A52,2025-07-11T10:46:15.000,COMMERCIAL REFUSE CONTAINER PERMIT,New,,
B152025196A13,2025-07-15T14:48:07.000,DOT IN-HOUSE PAVING AND MILLING,New,PAVING,
B152025192A56,2025-07-11T09:58:39.000,DOT IN-HOUSE PAVING AND MILLING,New,PAVING,
B162025191A80,2025-07-10T19:11:11.000,COMMERCIAL REFUSE CONTAINER PERMIT,Renew,,
B162025193A15,2025-07-12T10:21:12.000,COMMERCIAL REFUSE CONTAINER PERMIT,New,,
B012025190A75,2025-07-09T08:26:57.000,STREET OPENING PERMIT,Amend and Reissue,Milling 2&quot; of Roadway Surface for NYC-DOT Contract HW2CR23C,JN: MAY WORK 9:00AM - 4:00PM MONDAY - FRIDAY. MUST MAINTAIN STIPULATION 023 ON BOTH ROADWAYS.
B012021146A53,2021-05-26T10:09:11.000,STREET OPENING PERMIT,Renew,,JN
B162025196A93,2025-07-15T21:04:49.000,COMMERCIAL REFUSE CONTAINER PERMIT,New,,
B162025191A37,2025-07-10T10:33:05.000,COMMERCIAL REFUSE CONTAINER PERMIT,Renew,,
B012025190A49,2025-07-09T08:26:08.000,STREET OPENING PERMIT,Amend and Reissue,Milling 2&quot; of Roadway Surface for NYC-DOT Contract HW2CR23C,"JN: MAY WORK 9:00AM - 2:00PM MONDAY - FRIDAY WHEN SCHOOL IS IN SESSION AND WORK 9:00AM - 4:00PM MONDAY - FRIDAY WHEN SCHOOL IS NOT IN SESSION. MUST COORDINATE WITH SCHOOL, MTA BUSES AND ONGOING CONSTRUCTION PRIOR TO MOBILIZING. DO NOT BLOCK BUSES FROM LOADING OR UNLOADING. MUST MAINTAIN STIPULATION 023 ON BOTH ROADWAYS."
B162025195A89,2025-07-14T16:33:00.000,COMMERCIAL REFUSE CONTAINER PERMIT,New,,
B152025192A81,2025-07-11T10:06:29.000,DOT IN-HOUSE PAVING AND MILLING,New,PAVING,
B162025192B16,2025-07-11T15:13:40.000,COMMERCIAL REFUSE CONTAINER PERMIT,Renew,,
B152025197A30,2025-07-16T14:59:53.000,DOT IN-HOUSE PAVING AND MILLING,New,MILLING,
B162025191A11,2025-07-10T08:52:47.000,COMMERCIAL REFUSE CONTAINER PERMIT,New,,
B022025191B90,2025-07-10T18:12:12.000,BUILDING OPERATION PERMIT,Renew,,JN
B152025197A47,2025-07-16T14:59:58.000,DOT IN-HOUSE PAVING AND MILLING,New,MILLING,
M032025195A15,2025-07-14T07:19:26.000,MANHOLE EMBARGO PERMIT,New,759,
B152025195A01,2025-07-14T10:46:39.000,DOT IN-HOUSE PAVING AND MILLING,New,UTILITY INSTALLATION,
B162025192A07,2025-07-11T08:24:25.000,COMMERCIAL REFUSE CONTAINER PERMIT,New,,
B152025192A24,2025-07-11T09:27:57.000,DOT IN-HOUSE PAVING AND MILLING,New,PAVING,
B162025192B36,2025-07-11T17:12:37.000,COMMERCIAL REFUSE CONTAINER PERMIT,New,,
B162025193A23,2025-07-12T11:39:14.000,COMMERCIAL REFUSE CONTAINER PERMIT,Renew,,
B162025192A45,2025-07-11T10:16:13.000,COMMERCIAL REFUSE CONTAINER PERMIT,New,,
Q162025193A07,2025-07-12T08:16:12.000,COMMERCIAL REFUSE CONTAINER PERMIT,New,,
B162025195A02,2025-07-14T00:33:16.000,COMMERCIAL REFUSE CONTAINER PERMIT,New,,
B162025191A55,2025-07-10T13:03:20.000,COMMERCIAL REFUSE CONTAINER PERMIT,New,,
B162025191A15,2025-07-10T09:12:25.000,COMMERCIAL REFUSE CONTAINER PERMIT,New,,
