no_travel_telework,no_travel_no_work,cms_zone,num_deleted_trips
995,995,Inner Brooklyn,0
995,995,Inner Brooklyn,0
995,995,Southern Bronx,0
995,995,Inner Brooklyn,0
995,995,Outer Queens,0
995,995,Inner Brooklyn,0
0,0,Southern Bronx,0
995,995,Outer Brooklyn,0
995,995,Southern Bronx,0
995,995,Outer Queens,0
995,995,Inner Brooklyn,0
995,995,Outer Brooklyn,0
0,0,Outer Brooklyn,0
0,0,Outer Queens,0
995,995,Inner Brooklyn,0
995,995,Outer Brooklyn,0
995,995,Inner Brooklyn,2
995,995,Inner Brooklyn,1
995,995,Inner Brooklyn,0
995,995,Northern Manhattan,0
995,995,Outer Queens,0
995,995,Outer Brooklyn,1
995,995,Middle Queens,0
0,0,Outer Queens,0
0,1,Outer Brooklyn,0
995,995,Outer Queens,0
995,995,Northern Bronx,0
995,995,Inner Brooklyn,0
995,995,Outer Queens,0
0,0,Southern Bronx,0
995,995,Southern Bronx,0
995,995,Inner Queens,0
995,995,Northern Manhattan,0
995,995,Southern Bronx,0
995,995,Outer Brooklyn,0
995,995,Northern Bronx,0
995,995,Outer Brooklyn,0
995,995,Northern Bronx,0
0,0,Northern Bronx,0
995,995,Northern Bronx,0
995,995,Outer Queens,0
995,995,Outer Brooklyn,0
995,995,Outer Queens,0
995,995,Inner Brooklyn,0
995,995,Northern Bronx,0
995,995,Middle Queens,0
0,0,Outer Queens,0
995,995,Inner Brooklyn,0
995,995,Northern Bronx,0
995,995,Staten Island,0
995,995,Outer Brooklyn,1
995,995,Northern Bronx,0
995,995,Staten Island,0
995,995,Outer Queens,0
995,995,Inner Brooklyn,0
995,995,Outer Brooklyn,1
995,995,Inner Queens,0
995,995,Outer Brooklyn,0
995,995,Middle Queens,0
995,995,Inner Brooklyn,1
995,995,Northern Bronx,0
995,995,Northern Manhattan,0
995,995,Outer Brooklyn,0
0,1,Inner Brooklyn,0
0,0,Outer Queens,0
995,995,Inner Brooklyn,0
995,995,Staten Island,0
995,995,Northern Bronx,0
0,0,Outer Brooklyn,0
995,995,Northern Manhattan,0
995,995,Northern Bronx,0
995,995,Outer Queens,1
995,995,Northern Bronx,0
995,995,Outer Brooklyn,0
995,995,Outer Brooklyn,0
995,995,Inner Queens,0
995,995,Middle Queens,0
995,995,Inner Brooklyn,0
995,995,Staten Island,0
995,995,Southern Bronx,0
995,995,Middle Queens,0
995,995,Northern Bronx,0
995,995,Middle Queens,0
995,995,Outer Queens,0
995,995,Middle Queens,0
995,995,Outer Brooklyn,0
995,995,Staten Island,0
995,995,Northern Bronx,0
995,995,Northern Bronx,0
995,995,Staten Island,0
0,1,Inner Queens,0
995,995,Outer Queens,0
995,995,Northern Bronx,0
0,0,Northern Bronx,0
0,0,Inner Queens,0
995,995,Inner Brooklyn,0
995,995,Southern Bronx,1
995,995,Middle Queens,0
995,995,Middle Queens,0
995,995,Outer Brooklyn,0
995,995,Northern Bronx,0
995,995,Outer Queens,0
995,995,Northern Bronx,0
995,995,Northern Bronx,0
995,995,Outer Queens,0
995,995,Outer Brooklyn,0
995,995,Manhattan Core,0
995,995,Middle Queens,0
995,995,Northern Bronx,0
995,995,Outer Queens,0
995,995,Outer Queens,0
995,995,Northern Manhattan,0
995,995,Outer Queens,0
995,995,Outer Brooklyn,0
995,995,Inner Brooklyn,0
0,0,Northern Manhattan,0
995,995,Northern Bronx,0
995,995,Outer Brooklyn,3
995,995,Outer Brooklyn,0
995,995,Inner Queens,0
995,995,Northern Bronx,1
995,995,Staten Island,0
995,995,Outer Brooklyn,0
995,995,Northern Manhattan,1
995,995,Northern Bronx,0
995,995,Northern Bronx,0
995,995,Inner Brooklyn,0
0,0,Southern Bronx,0
0,0,Northern Bronx,0
995,995,Outer Brooklyn,0
0,0,Northern Bronx,0
995,995,Outer Brooklyn,0
995,995,Outer Queens,0
995,995,Inner Brooklyn,0
1,0,Outer Brooklyn,0
995,995,Manhattan Core,0
995,995,Middle Queens,0
995,995,Northern Bronx,0
995,995,Northern Manhattan,0
