rntp_adj,est_childcare,agep,serialno,np,boro,ssip_adj,esr,off_threshold,est_povgapindex,est_nutrition
0.0,0.0,36,2017,4,2,0.0,6.0,21736,0.0,0.0
1118.4657,0.0,21,7114,3,5,0.0,6.0,16218,0.64801943,1950.0
0.0,0.0,43,19627,2,4,0.0,1.0,13884,0.0,0.0
0.0,0.0,53,15985,3,2,0.0,1.0,16218,0.0,0.0
0.0,0.0,51,12401,4,2,0.0,6.0,21736,0.0,0.0
0.0,0.0,45,7399,5,2,0.0,1.0,26166,0.0,0.0
1728.5379,0.0,61,10460,5,2,0.0,1.0,25364,0.0,5539.0
0.0,7756.728,3,10808,3,2,0.0,,16689,0.0,0.0
0.0,0.0,50,15093,2,2,0.0,6.0,13884,0.0,78.48
0.0,0.0,71,19821,2,2,0.0,6.0,12533,0.0,0.0
0.0,0.0,32,9991,2,1,0.0,1.0,13884,0.0,0.0
793.09386,0.0,12,21208,4,3,0.0,,21736,0.0,1851.0
0.0,0.0,72,1549,2,3,0.0,1.0,13884,0.0,0.0
1016.787,0.0,16,22278,4,1,0.0,6.0,21736,0.0,0.0
1525.1805,0.0,76,6865,1,4,0.0,6.0,9944,0.12746775,0.0
610.0722,0.0,29,4060,5,1,0.0,1.0,24744,0.0,920.5
569.40072,0.0,47,20059,1,3,12913.1949,6.0,10787,0.0,303.0
0.0,0.0,51,17750,3,4,0.0,1.0,16218,0.0,0.0
0.0,0.0,64,5158,5,2,0.0,6.0,26166,0.0,0.0
0.0,0.0,7,5852,4,4,0.0,,21027,0.0,0.0
0.0,0.0,58,21252,3,4,0.0,6.0,16218,0.09056484,2215.15
0.0,0.0,23,9133,2,2,0.0,1.0,13884,0.0,0.0
0.0,0.0,52,12193,3,3,0.0,6.0,16689,0.0,4543.0
0.0,0.0,49,13273,1,3,0.0,6.0,10787,0.0,1848.0
864.26895,0.0,6,5884,4,1,0.0,,21027,0.0,4521.5
1728.5379,0.0,1,23022,3,2,0.0,,16689,0.0,0.0
0.0,0.0,67,3636,3,3,0.0,6.0,16218,0.0,0.0
813.4296,0.0,6,15843,3,2,0.0,,16689,0.0,0.0
0.0,0.0,48,21689,3,2,0.0,6.0,16218,0.0,0.0
1321.8231,0.0,42,13712,2,4,0.0,3.0,13884,0.0,0.0
630.40794,0.0,17,10530,2,2,0.0,6.0,14291,0.0,0.0
620.24007,0.0,27,9279,4,1,0.0,1.0,21386,0.0,0.0
0.0,0.0,17,8227,3,3,0.0,6.0,16689,0.0,0.0
1016.787,0.0,2,16596,5,1,0.0,,21736,0.0,0.0
3457.0758,0.0,33,18348,1,3,0.0,6.0,10787,0.0,0.0
915.1083,0.0,25,4004,2,4,0.0,1.0,13884,0.0,0.0
0.0,0.0,41,3313,4,4,0.0,1.0,21736,0.0,0.0
1220.1444,0.0,37,3881,2,2,0.0,1.0,13884,0.0,0.0
0.0,0.0,30,11464,2,3,0.0,1.0,13884,0.0,0.0
559.23285,0.0,72,2538,1,3,0.0,6.0,9944,0.0,0.0
0.0,0.0,58,10000,2,1,0.0,1.0,13884,0.0,0.0
0.0,0.0,56,8227,3,3,0.0,1.0,16689,0.0,0.0
264.36462,0.0,21,8806,3,2,2948.6823,6.0,16218,0.0,3468.0
0.0,0.0,82,2561,2,4,0.0,6.0,12533,0.0,0.0
1626.8592,0.0,29,5718,2,3,0.0,1.0,13884,0.0,0.0
0.0,0.0,42,21241,4,4,0.0,6.0,21386,0.0088651972,5573.0
0.0,10167.87,4,19541,4,5,0.0,,21027,0.0,0.0
1016.787,0.0,37,8811,4,2,0.0,1.0,21386,0.0,0.0
0.0,0.0,44,9712,4,5,0.0,1.0,21736,0.0,0.0
0.0,0.0,16,76,4,4,0.0,6.0,21027,0.0,0.0
223.69314,0.0,1,1740,4,3,0.0,,21100,0.0,3698.0
0.0,0.0,53,7188,2,4,7625.9025,6.0,10787,0.36531919,310.0
1830.2166,0.0,50,16465,6,4,0.0,1.0,29782,0.0,0.0
2033.574,0.0,33,14243,1,3,0.0,6.0,10787,0.0,0.0
0.0,0.0,10,8829,4,3,0.0,,21027,0.0,0.0
1118.4657,0.0,34,12246,2,4,0.0,1.0,13884,0.0,0.0
559.23285,0.0,1,141014,3,4,0.0,,16689,0.0,0.0
0.0,0.0,53,9489,4,4,0.0,1.0,21386,0.0,0.0
0.0,0.0,63,16500,2,3,0.0,6.0,13884,0.0,0.0
0.0,0.0,81,3690,1,1,0.0,1.0,9944,0.0,0.0
752.42238,0.0,67,2779,3,2,0.0,6.0,16689,0.0,0.0
0.0,0.0,39,21636,4,1,0.0,1.0,21027,0.0,0.0
2541.9675,0.0,50,4385,3,3,0.0,1.0,16689,0.0,0.0
0.0,11517.5627,69,7053,7,4,0.0,6.0,33098,0.0,0.0
0.0,0.0,94,3808,1,4,0.0,6.0,9944,0.0,0.0
0.0,0.0,57,17376,2,2,0.0,1.0,13884,0.0,0.0
640.57581,0.0,84,14457,1,2,0.0,6.0,9944,0.0,0.0
0.0,0.0,18,14300,3,4,0.0,6.0,16218,0.0,0.0
0.0,0.0,45,2017,4,2,0.0,2.0,21736,0.0,0.0
0.0,0.0,71,1905,2,4,0.0,6.0,12533,0.0,0.0
915.1083,0.0,35,1125,1,2,0.0,1.0,10787,0.0,0.0
0.0,0.0,22,9991,2,1,0.0,6.0,13884,0.0,0.0
1016.787,0.0,15,14106,6,5,0.0,,27705,0.0,0.0
813.4296,0.0,4,1446,4,4,0.0,,21100,0.95527482,1149.75
752.42238,0.0,8,2779,3,2,0.0,,16689,0.0,0.0
0.0,0.0,56,2352,2,4,0.0,1.0,13884,0.0,0.0
0.0,0.0,61,17817,1,3,0.0,6.0,10787,0.0,0.0
0.0,0.0,30,10824,3,5,0.0,1.0,16218,0.0,0.0
864.26895,0.0,74,16047,2,2,0.0,6.0,12533,0.0,0.0
203.3574,0.0,72,643,1,3,0.0,6.0,9944,0.061569657,0.0
3762.1119,0.0,45,4527,3,3,0.0,1.0,16689,0.0,0.0
1118.4657,0.0,39,14538,4,1,0.0,6.0,21736,0.084805585,4598.0
305.0361,0.0,12,5500,5,1,0.0,,24366,0.0,9690.5
0.0,0.0,16,6270,4,4,0.0,6.0,21736,0.0,0.0
793.09386,0.0,44,21208,4,3,0.0,6.0,21736,0.0,1851.0
813.4296,0.0,12,15288,4,4,0.0,,21027,0.0,0.0
843.93321,0.0,28,15813,1,2,0.0,1.0,10787,0.0,0.0
610.0722,0.0,1,4060,5,1,0.0,,24744,0.0,920.5
0.0,0.0,16,18990,4,2,0.0,6.0,21736,0.21828243,0.0
3558.7545,0.0,36,20172,2,3,0.0,1.0,13884,0.0,0.0
0.0,0.0,38,9542,2,3,0.0,1.0,13884,0.0,0.0
183.02166,0.0,3,14770,4,4,0.0,,21100,0.079987966,5767.5
2033.574,0.0,8,22456,6,4,0.0,,27187,0.18876947,12539.0
0.0,0.0,16,16693,6,4,0.0,6.0,29782,0.0,0.0
0.0,0.0,62,9414,3,2,0.0,6.0,16218,0.0,0.0
752.42238,0.0,33,2779,3,2,0.0,1.0,16689,0.0,0.0
0.0,0.0,52,17184,2,5,0.0,1.0,13884,0.0,0.0
0.0,0.0,66,22151,2,1,0.0,6.0,12533,0.0,0.0
0.0,0.0,6,523,5,4,0.0,,25364,0.082005978,390.25
0.0,0.0,17,13057,6,4,0.0,6.0,29168,0.0,0.0
0.0,0.0,74,9332,2,3,0.0,6.0,12533,0.0,0.0
0.0,0.0,20,18990,4,2,0.0,6.0,21736,0.21828243,0.0
457.55415,0.0,33,21920,5,2,0.0,6.0,26166,0.21488996,2339.0
0.0,0.0,82,3085,1,5,0.0,6.0,9944,0.0,0.0
813.4296,0.0,51,15288,4,4,0.0,1.0,21027,0.0,0.0
813.4296,0.0,35,15843,3,2,0.0,1.0,16689,0.0,0.0
0.0,0.0,63,6667,4,4,0.0,1.0,21386,0.0,0.0
0.0,0.0,14,8314,3,2,0.0,,16689,0.0,0.0
0.0,0.0,57,15157,5,2,0.0,1.0,25364,0.0,0.0
610.0722,0.0,62,11292,1,2,0.0,1.0,10787,0.0,0.0
