msp,eng,mrgp_adj,pwgtp,sch,povunit_rel,ssp_adj,nycgov_income
1,3.0,1626.8592,136,1,2,0.0,34482.92433456
6,1.0,0.0,181,2,4,0.0,9496.083
1,,2643.6462,88,1,1,0.0,87239.6774593
4,,2440.2888,68,1,1,0.0,60706.10459434
1,,0.0,70,1,1,23284.4223,154390.185448053
1,1.0,1626.8592,212,1,4,0.0,42275.25307386
6,,0.0,103,1,1,0.0,57599.90247924
0,,1830.2166,68,3,3,0.0,73570.34637168
6,1.0,1016.787,100,1,4,0.0,59512.0333756827
3,,0.0,221,1,1,11693.0505,48635.4190224271
1,1.0,620.24007,113,1,1,0.0,39334.5994441
0,1.0,0.0,84,2,3,0.0,57357.4473490201
1,,915.1083,106,1,2,30503.61,210598.17953448
6,,0.0,89,2,3,0.0,38152.1163506678
3,,0.0,80,1,1,8846.0469,10909.9422
6,1.0,0.0,192,1,4,0.0,38789.126196412
6,,0.0,93,1,1,0.0,13816.9321784143
2,3.0,366.04332,143,1,1,0.0,33544.4386514
1,3.0,3863.7906,89,1,4,172.85379,390580.93299378
0,,2338.6101,60,1,3,0.0,46096.1356118667
1,1.0,203.3574,76,1,1,0.0,24535.651
1,,1525.1805,52,1,2,0.0,31775.0000449032
1,2.0,0.0,111,1,1,0.0,26657.9099944249
5,,0.0,252,1,1,0.0,14643.7867784143
0,,0.0,214,2,3,0.0,36061.5688522231
0,,0.0,175,0,3,0.0,127326.073714667
1,,0.0,105,1,2,15251.805,146452.77058107
0,,0.0,76,2,3,0.0,68838.8282447
1,,1626.8592,78,1,2,0.0,48840.796266965
1,3.0,0.0,84,1,1,0.0,38592.6137330064
6,,0.0,74,2,3,0.0,22969.10075266
6,1.0,0.0,123,1,4,0.0,94619.2324778795
6,,4372.1841,127,3,3,0.0,247876.749643913
0,,0.0,170,0,3,0.0,46895.5860002527
6,1.0,0.0,96,1,1,0.0,74838.598747108
1,3.0,0.0,239,1,2,0.0,33814.196946
1,1.0,1728.5379,83,2,1,0.0,80177.8652478667
1,2.0,0.0,82,3,2,0.0,69389.1360042421
1,,2338.6101,133,1,2,0.0,227854.485358768
6,,0.0,261,1,1,18302.166,13351.166
1,,0.0,72,1,1,0.0,49653.0603923641
1,,4372.1841,114,1,1,0.0,247876.749643913
6,,0.0,95,1,4,0.0,27459.8703783623
1,,0.0,66,1,2,6304.0794,33408.9582898091
6,,0.0,34,1,2,0.0,124638.98650704
4,,1830.2166,92,1,4,0.0,32705.1154
0,,508.3935,94,1,3,0.0,42972.1111064
2,,0.0,330,1,4,0.0,55654.5643153989
1,,2338.6101,233,1,1,0.0,66115.93487236
6,,2541.9675,196,3,3,0.0,230574.676758524
1,3.0,0.0,81,1,1,10167.87,74570.6815198659
0,,0.0,146,2,3,0.0,24570.67104325
4,1.0,0.0,175,1,1,7117.509,18101.4066753343
6,1.0,0.0,76,2,3,0.0,56392.9936619278
1,,1321.8231,179,1,2,0.0,87383.07811692
6,,2541.9675,84,1,4,0.0,53511.6077668121
0,,0.0,198,2,3,0.0,27562.7305980332
6,1.0,0.0,308,2,3,0.0,72382.216383
1,,843.93321,97,1,1,0.0,134328.771823366
3,,1220.1444,102,1,1,12201.444,79407.04684519
2,1.0,0.0,69,1,1,0.0,28228.5985285948
0,1.0,0.0,66,2,3,0.0,25279.87129768
1,2.0,0.0,144,1,1,0.0,37951.9716226501
1,3.0,0.0,217,1,1,0.0,25037.39180512
1,2.0,0.0,86,1,2,12201.444,83381.1324895526
0,,0.0,76,0,3,0.0,8418.1552
6,,1626.8592,97,1,4,0.0,48840.796266965
0,,1525.1805,112,3,3,0.0,43948.3306175
3,4.0,0.0,226,1,4,0.0,46427.9291476989
3,,0.0,69,1,1,0.0,19510.9404853993
2,,0.0,244,1,1,10167.87,25233.196366968
4,1.0,2541.9675,72,1,1,0.0,53511.6077668121
