white,english_language_learners_1,asian,poverty_1,grade_1,white_1,grade_3k_pk_half_day_full,grade_3
300,0.0,146,8.2%,58,0.544,0,57
55,0.007,151,75.3%,0,0.123,0,0
701,0.012,615,23.4%,115,0.388,0,122
10,0.04,19,84.0%,0,0.031,0,0
180,0.017,31,29.8%,0,0.447,0,0
553,0.043,56,16.7%,108,0.701,53,118
11,0.133,12,83.7%,32,0.029,25,37
208,0.045,49,31.1%,55,0.553,54,47
13,0.099,31,82.0%,0,0.033,0,0
467,0.032,62,18.8%,117,0.654,67,120
13,0.044,36,84.8%,0,0.026,0,0
34,0.016,31,76.2%,0,0.079,0,0
183,0.013,32,27.0%,50,0.575,36,48
2,0.021,5,86.6%,0,0.011,0,0
141,0.042,395,74.8%,0,0.077,0,0
460,0.009,49,15.8%,103,0.62,0,95
120,0.022,22,57.6%,0,0.261,0,0
238,0.002,26,34.4%,0,0.436,0,0
10,0.083,17,84.3%,0,0.049,0,0
15,0.074,6,Above 95%,37,0.037,16,49
47,0.044,42,73.1%,0,0.103,0,0
10,0.044,11,88.2%,0,0.02,0,0
15,0.019,16,87.1%,0,0.057,0,0
5,0.104,18,86.5%,0,0.014,0,0
5,0.032,3,66.0%,0,0.016,0,0
11,0.233,216,57.3%,48,0.031,34,53
8,0.032,2,82.4%,0,0.029,0,0
218,0.011,40,39.8%,0,0.469,0,0
733,0.03,251,31.0%,0,0.532,0,0
283,0.01,119,33.7%,0,0.371,0,0
9,0.134,366,89.1%,0,0.022,0,0
31,0.014,45,56.0%,0,0.22,0,0
454,0.027,68,11.7%,96,0.719,40,94
131,0.01,41,57.6%,0,0.25,0,0
5,0.074,13,Above 95%,55,0.014,51,51
8,0.044,1,77.9%,0,0.027,0,0
404,0.027,143,28.1%,160,0.449,18,162
50,0.122,71,50.1%,51,0.127,37,48
252,0.002,39,36.9%,0,0.452,0,0
72,0.037,99,67.1%,0,0.193,0,0
8,0.116,17,81.5%,0,0.026,0,0
12,0.294,767,45.4%,118,0.015,71,131
237,0.164,185,34.3%,80,0.385,36,89
65,0.043,54,67.2%,39,0.123,89,52
6,0.042,20,84.7%,32,0.032,17,23
31,0.131,120,75.9%,61,0.067,41,76
8,0.684,4,Above 95%,0,0.03,0,0
13,0.107,9,83.5%,0,0.031,0,0
48,0.041,35,69.8%,0,0.104,0,0
11,0.088,33,91.9%,27,0.037,20,52
139,0.175,110,30.2%,77,0.411,36,40
259,0.002,128,32.3%,0,0.491,0,0
9,0.071,10,86.1%,0,0.023,0,0
40,0.047,40,75.4%,0,0.104,0,0
16,0.031,23,77.0%,38,0.062,13,46
18,0.087,3,91.7%,0,0.037,0,0
29,0.081,7,92.5%,0,0.087,0,0
84,0.071,133,79.1%,0,0.074,0,0
6,0.041,2,81.1%,0,0.081,0,0
63,0.01,18,56.9%,0,0.122,0,0
1,0.363,1,85.2%,0,0.002,0,0
16,0.092,31,82.8%,0,0.032,0,0
13,0.06,2,76.2%,0,0.049,0,0
462,0.003,92,17.2%,0,0.636,0,0
7,0.043,2,87.7%,28,0.037,18,26
638,0.038,316,33.6%,0,0.47,0,0
17,0.119,16,91.3%,51,0.027,26,66
95,0.018,31,65.5%,0,0.195,0,0
307,0.027,91,18.0%,60,0.547,18,57
101,0.025,64,60.6%,63,0.255,35,52
179,0.004,180,42.6%,0,0.389,0,0
18,0.154,10,82.8%,0,0.041,0,0
3,0.063,9,89.0%,0,0.024,0,0
8,0.032,1,87.3%,0,0.127,0,0
92,0.041,20,57.3%,0,0.222,0,0
1242,0.002,543,29.2%,0,0.45,0,0
132,0.0,19,13.0%,0,0.534,0,0
258,0.003,36,30.2%,0,0.447,0,0
255,0.046,75,20.1%,64,0.589,36,62
7,0.061,24,70.5%,0,0.017,0,0
3,0.035,1,89.4%,35,0.018,18,26
14,0.074,18,Above 95%,41,0.036,18,27
23,0.043,18,73.0%,0,0.065,0,0
1196,0.0,518,30.4%,0,0.441,0,0
13,0.024,43,74.6%,0,0.026,0,0
248,0.002,178,42.0%,0,0.403,0,0
106,0.027,30,8.6%,27,0.57,18,30
23,0.086,8,75.4%,0,0.094,0,0
15,0.067,18,65.7%,0,0.048,0,0
123,0.01,22,52.1%,0,0.299,0,0
57,0.045,167,76.4%,0,0.077,0,0
488,0.033,115,12.4%,109,0.727,83,90
8,0.057,0,84.0%,0,0.041,0,0
302,0.0,95,13.3%,0,0.543,556,0
182,0.0,118,11.7%,60,0.506,0,64
96,0.004,123,61.1%,0,0.211,0,0
1,0.485,1,83.2%,0,0.002,0,0
126,0.002,103,51.3%,0,0.278,0,0
237,0.005,64,10.6%,0,0.614,0,0
387,0.003,76,14.2%,0,0.641,0,0
11,0.076,16,88.0%,0,0.037,0,0
2,0.026,2,82.5%,0,0.018,0,0
9,0.053,2,73.7%,0,0.059,0,0
251,0.0,33,11.2%,68,0.627,72,59
30,0.021,22,74.2%,0,0.057,0,0
100,0.009,81,65.4%,0,0.146,0,0
61,0.86,45,41.4%,0,0.142,0,0
4,0.067,14,85.4%,33,0.022,17,31
391,0.03,48,17.6%,106,0.627,18,91
372,0.063,139,8.3%,95,0.583,19,91
100,0.166,27,73.4%,91,0.129,28,104
80,0.026,22,48.8%,0,0.234,0,0
444,0.023,45,18.5%,101,0.59,0,99
19,0.059,31,92.1%,0,0.031,0,0
16,0.016,45,86.7%,0,0.037,0,0
51,0.0,3,67.9%,0,0.215,0,0
16,0.09,27,81.9%,0,0.035,0,0
105,0.052,70,57.7%,54,0.274,32,59
127,0.056,25,46.2%,53,0.374,36,49
19,0.034,11,74.6%,27,0.081,16,45
27,0.018,25,82.6%,0,0.06,0,0
16,0.057,24,83.6%,0,0.05,0,0
299,0.004,100,24.9%,0,0.582,0,0
17,0.105,4,77.3%,59,0.046,51,47
584,0.03,70,10.1%,136,0.65,18,164
14,0.107,25,86.1%,0,0.028,0,0
17,0.04,46,88.8%,0,0.04,0,0
4,0.116,10,83.1%,0,0.011,0,0
210,0.008,163,37.6%,0,0.431,0,0
118,0.03,12,40.0%,35,0.352,54,37
10,0.144,7,93.1%,0,0.03,0,0
31,0.526,154,90.4%,0,0.044,0,0
80,0.154,12,73.6%,91,0.143,0,107
10,0.087,12,72.2%,0,0.025,0,0
218,0.007,320,50.7%,0,0.32,0,0
15,0.085,0,93.9%,53,0.03,38,56
10,0.053,17,88.6%,0,0.026,0,0
12,0.027,7,86.5%,32,0.054,19,29
40,0.02,40,77.2%,0,0.088,0,0
38,0.882,38,79.4%,0,0.09,0,0
10,0.073,7,79.1%,0,0.043,0,0
96,0.069,42,68.8%,48,0.17,90,46
23,0.065,9,83.1%,0,0.068,0,0
16,0.076,22,91.0%,0,0.038,0,0
15,0.109,32,85.9%,50,0.048,25,52
196,0.017,21,23.7%,0,0.489,0,0
110,0.01,111,41.9%,0,0.381,0,0
6,0.141,22,88.1%,0,0.032,0,0
102,0.067,27,47.9%,46,0.382,33,33
7,0.23,223,88.5%,0,0.023,0,0
234,0.0,70,11.2%,0,0.626,0,0
5,0.049,2,82.0%,0,0.082,0,0
5,0.134,3,94.6%,15,0.045,0,13
127,0.015,19,29.6%,41,0.392,38,38
3,0.094,2,80.7%,0,0.012,0,0
8,0.085,23,Above 95%,56,0.023,22,42
156,0.026,38,54.3%,0,0.292,0,0
421,0.022,65,13.6%,102,0.708,37,98
8,0.628,333,35.1%,0,0.014,0,0
109,0.027,39,12.8%,30,0.583,18,30
544,0.051,83,11.7%,139,0.713,72,120
118,0.06,25,56.6%,54,0.337,36,48
444,0.017,90,21.8%,0,0.538,0,0
159,0.032,142,46.0%,93,0.256,34,102
152,0.054,37,49.9%,86,0.276,31,84
12,0.159,8,92.1%,40,0.028,19,43
1,0.079,8,Above 95%,56,0.003,32,44
47,0.155,8,64.1%,12,0.26,59,10
106,0.011,118,43.8%,0,0.377,0,0
109,0.074,71,55.7%,71,0.223,72,80
11,0.086,6,82.9%,0,0.045,0,0
9,0.234,2,86.1%,0,0.039,0,0
47,0.147,458,77.0%,66,0.066,21,55
160,0.073,37,51.1%,91,0.273,29,91
15,0.09,28,78.1%,0,0.034,0,0
8,0.057,7,Above 95%,26,0.027,17,18
365,0.024,79,15.7%,120,0.572,0,115
12,0.124,23,87.2%,47,0.043,14,54
22,0.03,26,79.4%,0,0.038,0,0
39,0.02,41,77.6%,0,0.086,0,0
480,0.016,51,7.2%,112,0.692,53,118
15,0.093,4,92.0%,48,0.03,49,51
15,0.14,9,86.7%,0,0.053,0,0
104,0.013,80,67.1%,0,0.153,0,0
2,0.345,324,Above 95%,0,0.005,0,0
6,0.093,27,83.2%,0,0.027,0,0
73,0.095,87,47.6%,48,0.197,48,47
275,0.005,31,19.0%,0,0.637,0,0
80,0.082,168,76.3%,0,0.064,0,0
19,0.058,19,93.0%,39,0.074,20,35
8,0.055,11,87.0%,0,0.026,0,0
420,0.026,98,9.3%,121,0.6,18,125
42,0.0,7,59.4%,0,0.262,0,0
8,0.054,2,77.5%,0,0.029,0,0
2,0.033,0,77.0%,0,0.033,0,0
