property_name,data_center_it_site_energy,district_steam_use_kbtu,alert_energy_meter_has,estimated_data_flag_1,wastewater_treatment_plant,estimated_data_flag_fuel_2,direct_ghg_emissions_metric,address_1,data_center_pdu_output_meter,food_sales_gross_floor_area,primary_property_type,number_of_active_energy_meters_2,hospital_general_medical_9,longitude,percent_of_total_electricity,green_power_onsite_and_offsite,egrid_output_emissions_rate,electricity_use_grid_purchase_1,distribution_center_gross,generation_date,college_university_gross,community_board,reason_s_for_no_score,energy_star_certification_2,latitude,wholesale_club_supercenter,alert_energy_meter_has_gaps,office_percent_that_can_be_1,council_district,default_values,nta,data_center_ups_system,weather_normalized_site,natural_gas_use_therms,supermarket_grocery_number_1,indirect_ghg_emissions,medical_office_weekly,third_party_certification_1,multifamily_housing_number_3,electricity_use_grid_purchase_2,national_median_source_eui,weather_normalized_site_3,multifamily_housing_number_5,construction_status,largest_property_use_type_1,last_modified_date_electric,target_energy_star_score,automobile_dealership_gross,property_notes,ambulatory_surgical_center,manufacturing_industrial,data_center_pue,estimated_data_flag_natural,weather_normalized_site_1,office_number_of_computers,avoided_emissions_offsite,data_center_national_median,postal_code,parking_completely_enclosed,annual_maximum_demand_kw,estimated_data_flag,census_tract,movie_theater_gross_floor,hotel_gym_fitness_center,supermarket_grocery_number,diesel_2_use_kbtu,social_meeting_hall_gross,electricity_use_generated_1,restaurant_gross_floor_area,financial_office_gross_floor,multifamily_housing_number_1,financial_office_number_of_1,office_weekly_operating_hours,_2nd_largest_property_use,outpatient_rehabilitation,municipally_supplied_potable_3
DEPM 1860-2 - Cosmopolitan Assoc #2,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,790.4,37-06 66th Street,Not Available,Not Available,Multifamily Housing,0,Not Available,,Not Available,0,84.5,661714.4,Not Available,2022-09-22T00:00:00.000,Not Available,,Not Available,Not Available,,Not Available,Ok,Not Available,,No,,Not Available,3.8,148812.3212,Not Available,1.2,Not Available,Not Available,0,661714.5,152.2,624784.3,0,Existing,164640.0,03/03/2022 05:02 PM EST,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,1,Not Available,0,Not Available,11377,Not Available,Not Available,No,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.73324,Not Available,Not Available,Not Available,Not Available,Not Available
Stellar - 510 West 144th Street,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,225.7,510 West 144th Street,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.948714,Not Available,0,84.5,188146.4,Not Available,2022-09-26T00:00:00.000,Not Available,109.0,Not Available,Not Available,40.824811,Not Available,Ok,Not Available,7.0,No,Hamilton Heights,Not Available,4.4,42495.76102,Not Available,1.3,Not Available,Not Available,Not Available,188146.4,126,180186.5,0,Existing,41420.0,03/08/2022 12:03 AM EST,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,0,Not Available,10031,Not Available,Not Available,No,229.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.59343,Not Available,Not Available,Not Available,Not Available,Not Available
Stellar - 884-90 2nd Avenue,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,1352.4,884-90 2nd Avenue,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.969812,Not Available,0,84.5,2157396.6,Not Available,2022-09-26T00:00:00.000,Not Available,106.0,Not Available,Not Available,40.75309,Not Available,Ok,Not Available,4.0,Yes,Turtle Bay-East Midtown,Not Available,6.7,254616.7878,Not Available,2.0,Not Available,Not Available,1,2157397,110.6,2100590.4,0.8333,Existing,304813.0,05/20/2022 07:11 PM EDT,Not Available,Not Available,1-01340-0001,Not Available,Not Available,Not Available,No,0.8,Not Available,0,Not Available,10022,Not Available,Not Available,No,90.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.0367,Not Available,Not Available,Retail Store,Not Available,Not Available
DEPM 2612 - 21 East 26th Street,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,41.4,21 East 26th Street,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.987149,Not Available,0,84.5,318005.7,Not Available,2022-09-22T00:00:00.000,Not Available,105.0,Total Number of Residential Living Units is too small,Not Available,40.743017,Not Available,Ok,Not Available,2.0,No,Hudson Yards-Chelsea-Flatiron-Union Square,Not Available,8.6,7794.248359,Not Available,2.5,Not Available,Not Available,Not Available,318005.7,118.1,318005.7,0,Existing,37080.0,05/20/2022 09:10 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,0.2,Not Available,0,Not Available,10010,Not Available,Not Available,No,56.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.53937,Not Available,Not Available,Not Available,Not Available,Not Available
DEPM 7568 - 233 East 70th St,Not Available,4653849.8,Ok,Not Available,Not Available,Not Available,63.5,233 East 70th Street,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.960379,Not Available,0,84.5,635289.6,Not Available,2022-09-22T00:00:00.000,Not Available,108.0,Not Available,Not Available,40.767947,Not Available,Ok,Not Available,4.0,No,Lenox Hill-Roosevelt Island,Not Available,7.1,11953.41952,Not Available,5.7,Not Available,Not Available,4,635289.7,146.3,611616.3,1.02178,Existing,86124.0,03/07/2022 03:19 PM EST,Not Available,Not Available,1-01425-7501,Not Available,Not Available,Not Available,No,0.1,Not Available,0,Not Available,10021,Not Available,Not Available,No,126.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.55446,Not Available,Not Available,Not Available,Not Available,Not Available
SW - 83-09 35th Avenue,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,399.6,83-09 35th Avenue,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.883562,Not Available,0,84.5,203689.9,Not Available,2022-09-26T00:00:00.000,Not Available,403.0,Not Available,Not Available,40.751913,Not Available,Ok,Not Available,25.0,No,Jackson Heights,Not Available,3.5,66562.99767,Not Available,1.0,Not Available,Not Available,5,203689.9,110.2,197893.8,0,Existing,56442.0,03/07/2022 07:06 PM EST,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,1.3,Not Available,0,Not Available,11372,Not Available,Not Available,No,281.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.68314,Not Available,Not Available,Not Available,Not Available,Not Available
ZARA - 88-05 Merrick Blvd,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,273.7,88-05 Merrick Boulevard,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.79579,Not Available,0,84.5,242228.6,Not Available,2022-09-23T00:00:00.000,Not Available,412.0,Not Available,Not Available,40.708632,Not Available,Ok,Not Available,27.0,No,Jamaica,Not Available,3.3,51520.99877,Not Available,1.0,Not Available,Not Available,8,242228.7,126.1,237511.1,0,Existing,71826.0,05/20/2022 09:40 PM EDT,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,0.8,Not Available,0,Not Available,11432,Not Available,Not Available,No,460.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.47579,Not Available,Not Available,Not Available,Not Available,Not Available
DEPM 1786 - 20 East 74th St,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,543.1,20 East 74th Street,Not Available,Not Available,Multifamily Housing,0,Not Available,-73.964925,Not Available,0,84.5,823735.1,Not Available,2022-09-22T00:00:00.000,Not Available,108.0,Not Available,Not Available,40.773279,Not Available,Ok,Not Available,4.0,No,Upper East Side-Carnegie Hill,Not Available,5.4,2175.498905,Not Available,1.6,Not Available,Not Available,0,823735.2,118.5,800056.1,0.68377,Existing,149174.0,05/22/2022 10:37 PM EDT,Not Available,Not Available,1-01388-0056,Not Available,Not Available,Not Available,No,0,Not Available,0,Not Available,10021,Not Available,Not Available,No,130.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.34072,Not Available,Not Available,Not Available,Not Available,Not Available
AKAM - 1485 Pacific Street,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,90.6,1485 Pacific Street,Not Available,Not Available,K-12 School,0,Not Available,-73.942389,Not Available,0,84.5,3137240.2,Not Available,2022-09-22T00:00:00.000,Not Available,308.0,Not Available,Not Available,40.677258,Not Available,Ok,Not Available,36.0,No,Crown Heights North,Not Available,16.3,17049.99974,Not Available,4.7,Not Available,Not Available,Not Available,3137241,127.4,3137240.2,Not Available,Existing,193000.0,03/03/2022 01:25 PM EST,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,0.1,Not Available,0,Not Available,11216,Not Available,Not Available,No,313.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
URA Group - 108 West 39th Street,Not Available,2711030.5,Ok,Not Available,Not Available,Not Available,0,108 West 39th Street,Not Available,Not Available,Office,0,Not Available,-73.986075,Not Available,0,84.5,717269.8,Not Available,2022-09-21T00:00:00.000,Not Available,105.0,Not Available,Not Available,40.753173,Not Available,Ok,100,4.0,No,Midtown-Midtown South,Not Available,5.9,0,Not Available,3.3,Not Available,Not Available,Not Available,717269.8,182.9,702141.6,Not Available,Existing,111449.0,03/28/2022 05:16 PM EDT,Not Available,Not Available,"1-00814-0046

All not used in metrics meters are solely for historical purpose.",Not Available,Not Available,Not Available,No,0,179,0,Not Available,10018,Not Available,Not Available,No,113.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,65,Other,Not Available,Not Available
