fy_1990,fy_2016,fy_2001,fy_1981,fy_1993,fy_2007,fy_2005,fy_1999,fy_2018,fy_1983,fy_1989
14.0,10.0,12.0,13.0,13.0,11.0,11.0,14.0,10,13.0,14.0
65.0,51.0,33.0,38.0,44.0,41.0,34.0,33.0,50,36.0,62.0
1099.0,1428.0,1151.0,903.0,1140.0,1249.0,1229.0,1199.0,1581,900.0,1072.0
672.0,0.0,800.0,577.0,684.0,745.0,783.0,687.0,0,622.0,615.0
1142.0,1396.0,1260.0,710.0,1242.0,1185.0,1183.0,1289.0,1465,836.0,1123.0
2952.0,0.0,0.0,1359.0,3293.0,0.0,0.0,0.0,0,1699.0,2863.0
8.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8,7.0,8.0
3964.0,2104.0,2222.0,3287.0,3197.0,2029.0,1910.0,2215.0,2120,3427.0,3862.0
7821.0,4633.0,3941.0,5613.0,7811.0,4296.0,4081.0,4032.0,4842,5315.0,7443.0
4519.0,2218.0,2379.0,3649.0,3606.0,2599.0,2582.0,2548.0,2273,3555.0,4751.0
967.0,728.0,769.0,1011.0,868.0,710.0,708.0,801.0,760,1004.0,979.0
8762.0,7465.0,7944.0,8397.0,7663.0,7758.0,7619.0,7185.0,7558,8171.0,8500.0
185.0,0.0,0.0,199.0,0.0,0.0,0.0,0.0,0,233.0,198.0
161.0,150.0,168.0,93.0,168.0,163.0,164.0,161.0,155,112.0,163.0
796.0,0.0,118.0,1732.0,607.0,0.0,0.0,210.0,0,1088.0,796.0
41.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0,18.0,42.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
90.0,50.0,45.0,92.0,76.0,46.0,44.0,51.0,60,71.0,100.0
4507.0,4043.0,1965.0,4580.0,3246.0,3550.0,1838.0,2101.0,4097,3880.0,4627.0
235.0,317.0,352.0,117.0,318.0,315.0,319.0,313.0,345,122.0,203.0
29.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0,24.0,29.0
222.0,1374.0,286.0,0.0,285.0,1053.0,800.0,258.0,1493,0.0,195.0
2197.0,0.0,0.0,1555.0,2596.0,0.0,0.0,0.0,0,1791.0,2224.0
135.0,55.0,95.0,81.0,120.0,78.0,70.0,100.0,51,79.0,127.0
