fy_2019,fy_1987,fy_1989,fy_1988,fy_2016,fy_2006
24270396.0,637491.0,1715647.0,571945.0,"20,740,621",11262155.0
298179285.0,158834473.0,223569052.0,308117595.0,"327,079,378",212111080.0
28411074.0,0.0,0.0,0.0,"14,679,787",17669225.0
122752151.0,62239487.0,96180608.0,27260856.0,"104,202,095",119540327.0
69416982.0,21868696.0,22936117.0,19391069.0,"77,894,394",106514446.0
,,,,,
144378843.0,25569588.0,24046985.0,21623325.0,"116,183,764",136494086.0
0.0,452041.0,0.0,0.0,- 0,0.0
,,,,,
65833459.0,4840017.0,8092073.0,5235500.0,"55,848,289",100991242.0
2117248089.0,166746974.0,439189712.0,250949946.0,"926,172,090",606918969.0
41167181.0,26757741.0,38352555.0,51099169.0,"35,616,488",61739584.0
230394047.0,43056189.0,88326857.0,39349836.0,"140,381,295",240095489.0
