address_1,senior_care_community_gross,performing_arts_gross_floor,estimated_data_flag,annual_maximum_demand_kw,estimated_data_flag_fuel_1,nyc_borough_block_and_lot,multifamily_housing_number_5,difference_from_national_1,supermarket_grocery_gross,estimated_values_energy,convenience_store_with_gas,medical_office_gross_floor,fuel_oil_2_use_kbtu,site_eui_kbtu_ft,electricity_use_generated,office_weekly_operating_hours,last_modified_date_gas_meters,default_values,office_gross_floor_area_ft,annual_maximum_demand_mm,weather_normalized_site_3,financial_office_number_of,indoor_water_use_all_water,postcode,weather_normalized_site_2,district_chilled_water_use,last_modified_date_property,address_2,source_energy_use_adjusted,retail_store_number_of_walk,property_gfa_calculated,other_weekly_operating_hours,source_energy_use_kbtu,multifamily_housing_gross,multifamily_housing_number_1,_2nd_largest_property_use,retail_store_gross_floor,outdoor_water_use_all_water,other_number_of_computers,_2nd_largest_property_use_1,multifamily_housing_percent,ambulatory_surgical_center,other_gross_floor_area_ft,automobile_dealership_gross,electricity_use_generated_2,fuel_oil_5_6_use_kbtu,pre_school_daycare_gross,multifamily_housing_number_6,alert_gross_floor_area_is,college_university_number,food_service_gross_floor,hotel_percent_that_can_be,third_party_certification_2,k_12_school_gross_floor_area,outpatient_rehabilitation
98-01 159th Avenue,Not Available,Not Available,No,334.4,Not Available,4141680016,Not Available,-2.8,Not Available,No,Not Available,Not Available,731400.1,68.9,Not Available,Not Available,04/11/2019 11:57 AM EDT,No,Not Available,07/2018,556359.9,Not Available,Not Available,11414,41033.7,Not Available,04/11/2019 11:58 AM EDT,Not Available,10417229.9,Not Available,98460.0,Not Available,10417229.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,98460,Not Available
51 Christopher Avenue,Not Available,Not Available,No,312,No,3036930001,Not Available,-24,Not Available,No,Not Available,Not Available,Not Available,68.9,Not Available,Not Available,04/09/2019 04:46 PM EDT,No,Not Available,09/2018,476799.9,Not Available,Not Available,11212,881,Not Available,04/09/2019 04:47 PM EDT,Not Available,10848884.8,Not Available,114000.0,Not Available,10848884.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,114000,Not Available
28-01 41st Avenue,Not Available,Not Available,No,520,No,4004040001,Not Available,-31.5,Not Available,No,Not Available,Not Available,Not Available,64.2,Not Available,Not Available,04/09/2019 02:09 PM EDT,No,Not Available,09/2018,755599.9,Not Available,Not Available,11101,3827,Not Available,04/09/2019 02:10 PM EDT,Not Available,14143236.4,Not Available,146778.0,Not Available,14143236.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,146778,Not Available
225 West 24th Street,Not Available,Not Available,No,660.1,Not Available,1007740019,Not Available,-0.3,Not Available,No,Not Available,Not Available,Not Available,68.4,Not Available,Not Available,04/09/2019 04:46 PM EDT,No,Not Available,09/2018,1569292.9,Not Available,Not Available,10003,1,Not Available,04/09/2019 04:46 PM EDT,Not Available,38450858.7,Not Available,363130.0,Not Available,38450858.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,363130,Not Available
1RA,Not Available,Not Available,No,777.6,Not Available,4065070150,Not Available,11.9,Not Available,No,Not Available,Not Available,897000,71.5,Not Available,Not Available,04/09/2019 02:09 PM EDT,No,Not Available,09/2018,1429949.7,Not Available,Not Available,11367,38737.3,Not Available,04/09/2019 02:10 PM EDT,Not Available,19026803.4,Not Available,136900.0,Not Available,19026803.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,136900,Not Available
314 Pacific Street,Not Available,Not Available,No,252,No,3001880014,Not Available,-34.5,Not Available,No,Not Available,Not Available,Not Available,58.5,Not Available,Not Available,04/09/2019 04:46 PM EDT,No,Not Available,09/2018,500561.1,Not Available,Not Available,11201,727,Not Available,04/09/2019 04:47 PM EDT,Not Available,9528891.4,Not Available,109200.0,Not Available,9528891.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,109200,Not Available
100 West 84th Street,Not Available,Not Available,No,219.2,No,1012140029,Not Available,-28.2,Not Available,No,Not Available,Not Available,Not Available,69.5,Not Available,Not Available,04/09/2019 04:46 PM EDT,No,Not Available,09/2018,359359.9,Not Available,Not Available,10024,3133,Not Available,04/09/2019 04:47 PM EDT,Not Available,9632898,Not Available,105725.0,Not Available,9632898,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,105725,Not Available
3010 Briggs Avenue,Not Available,Not Available,No,222.4,Not Available,2032990060,Not Available,-32.3,Not Available,No,Not Available,Not Available,3381551.8,63.2,Not Available,Not Available,04/09/2019 02:09 PM EDT,No,Not Available,06/2018,480208.9,Not Available,Not Available,10458,8305.7,Not Available,04/09/2019 02:10 PM EDT,Not Available,8889878.4,Not Available,92480.0,Not Available,8889878.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,92480,Not Available
2707 Albermarle Road,Not Available,Not Available,No,248,Not Available,3051110001,Not Available,37.1,Not Available,No,Not Available,Not Available,1780641.5,102.1,Not Available,Not Available,04/11/2019 11:56 AM EDT,No,Not Available,07/2018,591019.7,Not Available,Not Available,11226,66.8,Not Available,04/11/2019 11:58 AM EDT,Not Available,7782004.9,Not Available,38400.0,Not Available,7782004.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,38400,Not Available
71 Sand Lane,Not Available,Not Available,No,176,Not Available,5030970014,Not Available,-13.3,Not Available,No,Not Available,Not Available,787013.7,81.3,Not Available,Not Available,04/11/2019 11:56 AM EDT,No,Not Available,09/2018,336030.4,Not Available,Not Available,10305,23662.2,Not Available,04/11/2019 11:58 AM EDT,Not Available,6370043.6,Not Available,51680.0,Not Available,6370043.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,51680,Not Available
2351 1st Avenue,Not Available,Not Available,No,700,Not Available,1017970100,Not Available,-42.3,Not Available,No,Not Available,Not Available,Not Available,61.1,Not Available,Not Available,04/09/2019 04:46 PM EDT,No,Not Available,08/2018,946811.4,Not Available,Not Available,10035,96225,Not Available,04/09/2019 04:46 PM EDT,Not Available,19150167,Not Available,210000.0,Not Available,19150167,Not Available,Not Available,Swimming Pool,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,210000,Not Available
80 Underhill Avenue,Not Available,Not Available,No,246,No,3011450026,Not Available,-33.4,Not Available,No,Not Available,Not Available,Not Available,55.8,Not Available,Not Available,04/09/2019 04:46 PM EDT,No,Not Available,09/2018,523399.9,Not Available,Not Available,11238,683,Not Available,04/09/2019 04:47 PM EDT,Not Available,11043804.3,Not Available,139200.0,Not Available,11043804.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,139200,Not Available
33 Ferndale Avenue,Not Available,Not Available,No,460.8,No,5023640001,Not Available,-41.9,Not Available,No,Not Available,Not Available,Not Available,39.5,Not Available,Not Available,04/11/2019 11:56 AM EDT,No,Not Available,09/2018,1026293.8,Not Available,Not Available,10314,1,Not Available,04/11/2019 11:58 AM EDT,Not Available,14709298.5,Not Available,209050.0,Not Available,14709298.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,209050,Not Available
400 Empire Boulevard,Not Available,Not Available,No,187.2,Not Available,3013160015,Not Available,-10.6,Not Available,No,Not Available,Not Available,Not Available,62.4,Not Available,Not Available,04/11/2019 11:57 AM EDT,No,Not Available,06/2018,801919.9,Not Available,Not Available,11225,80190,Not Available,04/11/2019 11:57 AM EDT,Not Available,15803867.9,Not Available,168000.0,Not Available,15803867.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,168000,Not Available
64-20 175th Street,Not Available,Not Available,No,282,No,4069030001,Not Available,-37.3,Not Available,No,Not Available,Not Available,6412445.9,56.3,Not Available,Not Available,04/09/2019 02:09 PM EDT,No,Not Available,09/2018,591119.9,Not Available,Not Available,11365,906.9,Not Available,04/09/2019 02:10 PM EDT,Not Available,12217869.3,Not Available,151325.0,Not Available,12217869.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,151325,Not Available
345 Brook Avenue,Not Available,Not Available,No,331.2,Not Available,2022860036,Not Available,-36.1,Not Available,No,Not Available,Not Available,6141275.8,54.8,Not Available,Not Available,04/09/2019 02:09 PM EDT,No,Not Available,09/2018,754154.7,Not Available,Not Available,10454,2949,Not Available,04/09/2019 02:10 PM EDT,Not Available,13737912.3,Not Available,164525.0,Not Available,13737912.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,164525,Not Available
2151 Washington Avenue,Not Available,Not Available,No,328,Not Available,2030370079,Not Available,6.5,Not Available,No,Not Available,Not Available,3726414.1,97.9,Not Available,Not Available,04/09/2019 02:09 PM EDT,No,Not Available,10/2018,650618.3,Not Available,Not Available,10457,28049,Not Available,04/09/2019 02:10 PM EDT,Not Available,13098270.8,Not Available,90031.0,Not Available,13098270.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,90031,Not Available
