bronx_cooperatives_comparable_properties_address,nta,comparable_rental_3_gross_sqft,comparable_rental_1_address,comparable_rental_3_net_operating_income,comparable_rental_1_year_built,comparable_rental_3_total_units,comparable_rental_1_market_value_per_sqft,comparable_rental_1_neighborhood,comparable_rental_3_expense_per_sqft,comparable_rental_1_estimated_expense,comparable_rental_2_gross_sqft,comparable_rental_3_gross_income_per_sqft,comparable_rental_3_year_built,comparable_rental_1_boro_block_lot,bronx_cooperatives_comparable_properties_estimated_expense,comparable_rental_1_full_market_value,bbl,comparable_rental_2_expense_per_sqft,community_board,comparable_rental_2_year_built,comparable_rental_2_neighborhood,comparable_rental_1_estimated_gross_income,comparable_rental_3_market_value_per_sqft,postcode
"{'latitude': '40.832177322949', 'longitude': '-73.927261057486', 'human_address': '{""address"": ""1001 ANDERSON AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",Highbridge                                                                 ,"32,250","{'latitude': '40.830950759941', 'longitude': '-73.928089795181', 'human_address': '{""address"": ""946 ANDERSON AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}","108,996",1916,36,25.81,HIGHBRIDGE/MORRIS HEIGHTS,6.28,80629,12920,9.65,1927,2-02504-0053,119339,350000,2025080043.0,6.37,4.0,1907,HIGHBRIDGE/MORRIS HEIGHTS,136664,19.5,10452.0
"{'latitude': '40.844529441489', 'longitude': '-73.887046999591', 'human_address': '{""address"": ""810 178 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",,"9,815","{'latitude': '40.846247830163', 'longitude': '-73.883732726692', 'human_address': '{""address"": ""2116 CROTONA PARKWAY"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}","44,202",1931,11,22.12,EAST TREMONT,6.69,118759,31190,11.19,1914,2-03119-0007,117342,435000,,6.36,,1931,EAST TREMONT,192252,29.04,
"{'latitude': '40.903854199732', 'longitude': '-73.898308862437', 'human_address': '{""address"": ""5620 SYLVAN AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",North Riverdale-Fieldston-Riverdale                                        , ,"{'latitude': '40.88038240123', 'longitude': '-73.904333150882', 'human_address': '{""address"": ""225 232 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}", ,1929, ,24.64,KINGSBRIDGE/JEROME PARK, ,466325,60792, , ,2-05754-0090,421431,2156000,2058522124.0,4.92,8.0,1939,RIVERDALE,1031120, ,10471.0
"{'latitude': '40.833442676336', 'longitude': '-73.899993294453', 'human_address': '{""address"": ""625 JEFFERSON PLACE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",Morrisania-Melrose                                                         , ,"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""1227 GRAND"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}", ,1937, ,23.75,MELROSE/CONCOURSE, ,165393,21931, , ,2-02464-0007,113904,481000,2029350001.0,7.62,3.0,1927,MELROSE/CONCOURSE,255716, ,10456.0
"{'latitude': '40.825576999979', 'longitude': '-73.918448999722', 'human_address': '{""address"": ""661 181 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",,"375,225","{'latitude': '40.843235160415', 'longitude': '-73.879194673825', 'human_address': '{""address"": ""999 180 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}","1,468,331",1974,354,33.42,EAST TREMONT,7.52,2141678,145330,11.44,1973,2-03138-0001,2110720,9228000,,8.45,,1975,EAST TREMONT,3521878,25.13,
"{'latitude': '40.832546713584', 'longitude': '-73.926988212131', 'human_address': '{""address"": ""1015 ANDERSON AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",Highbridge                                                                 ,"12,920","{'latitude': '40.830950759941', 'longitude': '-73.928089795181', 'human_address': '{""address"": ""946 ANDERSON AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}","62,068",1916,15,25.81,HIGHBRIDGE/MORRIS HEIGHTS,6.37,80629,29500,11.17,1907,2-02504-0053,151619,350000,2025080041.0,8.23,4.0,1929,HIGHBRIDGE/MORRIS HEIGHTS,136664,30.96,10452.0
"{'latitude': '40.853344856539', 'longitude': '-73.864888411996', 'human_address': '{""address"": ""2105 WALLACE AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",Pelham Parkway                                                             ,"168,990","{'latitude': '40.854141610891', 'longitude': '-73.864860937708', 'human_address': '{""address"": ""2131 WALLACE AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}","892,267",1929,157,29.09,PELHAM PARKWAY SOUTH,6.45,1156038,175806,11.73,1929,2-04291-0024,1148400,5181000,2042910014.0,4.77,11.0,1929,PELHAM PARKWAY SOUTH,2141075,31.18,10462.0
"{'latitude': '40.843948036386', 'longitude': '-73.905879321109', 'human_address': '{""address"": ""1695 TOPPING AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",Mount Hope                                                                 ,"12,863","{'latitude': '40.844230629079', 'longitude': '-73.905852752565', 'human_address': '{""address"": ""1707 TOPPING AVENUE"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}","74,960",1924,11,31.55,MOUNT HOPE/MOUNT EDEN,7.33,194058,15536,13.15,1931,2-02791-0044,134162,967000,2027910052.0,8.9,4.0,1931,BATHGATE,344162,38.56,10457.0
"{'latitude': '40.843972015318', 'longitude': '-73.885788968341', 'human_address': '{""address"": ""855 178 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",,"15,590","{'latitude': '40.846768928149', 'longitude': '-73.88384038006', 'human_address': '{""address"": ""2125 SOUTHERN BOULEVARD"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}","53,324",1931,21,22.25,EAST TREMONT,6.32,198350,19668,9.74,1912,2-03111-0010,547224,694000,,6.04,,1931,EAST TREMONT,312306,20.27,
"{'latitude': '40.884529944742', 'longitude': '-73.8987407006', 'human_address': '{""address"": ""201 238 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}",, ,"{'latitude': '40.893860149018', 'longitude': '-73.858562798261', 'human_address': '{""address"": ""667 233 STREET"", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": """"}'}", ,1963, ,31.74,WAKEFIELD, ,338496,47412, , ,2-04994-0017,298947,1525000,,6.99,,1939,WILLIAMSBRIDGE,578084, ,
