unnamed_column,teacher_horizon_engagement,student_communication_score,student_safety_and_respect,horizon_academic_expectations,student_horizon_communication,parent_horizon_academic,horizon_communication_score,student_horizon_engagement
X305,0.41,5.7,6.1,0.39,0.32,0.57,0.46,0.54
M457,0.81,6.1,8.2,1.0,0.51,1.0,0.91,0.67
X379,0.36,6.9,7.1,0.3,0.47,0.31,0.39,0.49
K539,1.0,5.9,6.0,0.89,0.38,0.72,0.96,0.68
M425,0.79,5.7,6.4,0.62,0.32,0.53,0.69,0.61
Q687,0.81,6.2,7.0,0.85,0.47,0.64,0.77,0.79
M210,0.83,6.7,7.9,0.88,0.55,0.89,0.91,1.0
K098,0.76,6.0,6.8,0.74,0.38,0.63,0.69,0.69
X366,0.76,7.0,6.2,0.82,0.7,0.9,0.92,0.73
M448,0.44,5.3,5.9,0.42,0.21,0.46,0.31,0.51
R445,0.71,5.0,5.9,0.58,0.12,0.53,0.54,0.54
M224,0.62,6.4,7.0,0.82,0.51,0.84,0.77,1.0
X263,0.79,5.9,6.9,0.81,0.38,0.86,0.81,0.75
M825,0.86,6.7,7.2,0.96,0.6,0.87,1.0,0.97
M243,1.0,7.6,8.3,1.0,0.9,1.0,1.0,1.0
M044,0.45,6.0,6.7,0.48,0.38,0.45,0.46,0.69
M037,0.67,,,0.73,,0.99,0.69,
X267,0.73,6.1,5.9,0.66,0.42,0.55,0.65,0.56
K643,0.76,6.6,7.4,0.74,0.39,0.94,0.73,0.65
X329,0.41,5.8,6.4,0.5,0.35,0.79,0.54,0.68
K583,0.42,5.5,6.4,0.54,0.26,0.64,0.58,0.58
X223,0.73,6.7,7.5,0.93,0.6,1.0,0.89,1.0
K207,0.95,6.6,6.9,0.96,0.52,0.85,1.0,0.86
M051,0.96,,,0.89,,0.79,0.92,
Q600,0.63,5.4,6.4,0.54,0.24,0.5,0.5,0.51
M416,0.69,6.5,7.8,0.92,0.56,0.82,0.89,0.86
R072,0.8,5.6,6.1,0.7,0.25,0.52,0.65,0.66
X544,0.9,5.3,6.6,0.81,0.21,0.79,0.81,0.75
Q492,0.39,5.5,5.9,0.35,0.26,0.5,0.31,0.58
X660,0.73,5.0,5.7,0.54,0.12,0.53,0.58,0.36
R003,0.79,,,0.81,,0.74,0.89,
M161,0.69,7.0,7.4,0.81,0.42,0.84,0.69,0.95
X682,0.86,6.2,7.0,0.89,0.47,0.86,1.0,0.72
M046,0.79,7.0,7.2,0.81,0.42,0.84,0.73,1.0
M133,0.58,5.9,6.3,0.58,0.0,0.53,0.5,0.73
K505,0.69,5.2,6.7,0.54,0.18,0.46,0.54,0.68
M299,0.41,5.5,6.0,0.39,0.26,0.5,0.27,0.51
X696,0.9,6.6,7.8,1.0,0.59,1.0,0.92,1.0
M137,0.64,,,0.58,,0.64,0.69,
K384,0.64,7.0,7.8,0.79,0.65,0.69,0.73,1.0
M580,0.54,5.6,7.1,0.62,0.29,0.57,0.54,0.72
K534,0.41,5.7,6.3,0.44,0.28,0.52,0.42,0.69
K632,0.5,5.6,6.1,0.42,0.29,0.5,0.69,0.54
K411,1.0,6.5,7.5,0.5,0.73,0.27,0.59,0.47
M101,0.64,6.4,6.0,0.59,0.51,0.52,0.69,0.62
Q690,0.71,5.0,5.4,0.54,0.12,0.53,0.58,0.29
K014,0.86,5.6,6.2,0.74,0.25,0.7,0.73,0.69
M707,0.76,6.7,8.1,0.74,0.42,0.6,0.77,0.74
K455,0.88,5.5,5.6,0.65,0.26,0.61,0.69,0.61
X390,0.64,,,0.7,,0.8,0.85,
K620,0.37,4.8,5.2,0.27,0.06,0.43,0.31,0.36
M499,0.49,5.2,5.8,0.59,0.15,0.58,0.39,0.67
K259,0.88,6.2,7.0,0.82,0.44,0.63,0.77,0.83
M375,0.75,6.9,8.1,0.79,0.62,0.77,0.77,1.0
Q580,0.6,6.5,7.5,0.81,0.55,0.69,0.62,0.91
