latitude,longitude,ct2010,sanitsub,retailarea,plutomapid,policeprct,bldgclass,garagearea,bldgarea,strgearea,ycoord,numfloors,officearea,borocode,appbbl,firecomp,areasource,zmcode,overlay1,tract2010,residfar,block
40.5871572,-73.9230171,628,4D,0.0,1,61,B9,0.0,2525,0.0,153203,2.0,0.0,3,,E321,2,,,628,1.0,8856
40.6092532,-74.1157827,177,3E,0.0,1,122,A2,0.0,1188,0.0,161265,1.0,0.0,5,,L083,2,,,177,0.75,690
40.6257024,-74.029241,62,2E,0.0,1,68,B1,0.0,2133,0.0,167238,2.0,0.0,3,,E241,2,,,62,1.0,6007
40.6697511,-73.9880933,139,5C,0.0,1,78,C3,0.0,2874,0.0,183285,3.0,0.0,3,,E239,2,,,139,3.0,1010
40.5931756,-73.9258511,628,4D,940.0,1,61,K1,0.0,940,0.0,155395,1.0,0.0,3,,E321,2,,C2-3,628,1.0,8932
40.6289996,-74.0264612,64,2D,0.0,1,68,B2,0.0,2430,0.0,168439,2.75,0.0,3,,E241,2,,,64,1.0,5960
40.6253236,-74.0295686,62,2E,0.0,1,68,A5,0.0,1456,0.0,167100,2.0,0.0,3,,E241,2,,,62,1.0,6017
40.5920794,-73.9284736,628,4D,0.0,1,61,A1,0.0,1059,0.0,154995,1.75,0.0,3,,E321,2,,,628,1.0,8932
40.5859807,-73.9246314,628,4D,,1,61,V0,,0,,152774,,,3,,E321,7,,,628,1.0,8856
40.6298249,-74.0299057,64,2D,0.0,1,68,D4,0.0,61800,0.0,168740,6.0,0.0,3,,E241,2,,,64,1.0,5959
40.8452584,-73.786234,516,1C,0.0,1,45,A1,0.0,2500,0.0,247300,2.0,0.0,2,,E070,2,,,516,0.75,5628
40.6738441,-74.001579,53,1D,0.0,1,76,E1,0.0,2000,0.0,184776,1.0,0.0,3,3005620014.0,L131,2,,,53,0.0,562
40.6256832,-74.0291617,62,2E,0.0,1,68,B1,0.0,2133,0.0,167231,2.0,0.0,3,,E241,2,,,62,1.0,6007
40.6294872,-74.0305072,64,2D,0.0,1,68,B1,0.0,2810,0.0,168617,2.5,0.0,3,3059680019.0,E241,2,,,64,1.0,5968
40.6247283,-74.0282679,62,2E,0.0,1,68,B1,0.0,2272,0.0,166883,2.0,0.0,3,,E241,2,,,62,1.0,6017
40.6299492,-74.0270524,64,2C,0.0,1,68,B3,0.0,2646,0.0,168785,2.5,0.0,3,,E241,2,,,64,1.0,5950
40.5937401,-73.9286483,628,4D,0.0,1,61,A1,0.0,924,0.0,155600,1.75,0.0,3,,E321,2,,,628,1.0,8939
40.6098963,-73.9249502,662,7C,0.0,1,63,A9,0.0,1506,0.0,161487,2.0,0.0,3,,E309,2,,,662,1.0,8541
40.6249358,-74.0323027,62,2E,0.0,1,68,A1,0.0,4876,0.0,166959,2.5,0.0,3,,E241,2,,,62,0.75,6024
40.6301845,-74.030068,64,2C,0.0,1,68,A1,0.0,2586,0.0,168871,2.75,0.0,3,,E241,2,,,64,1.0,5959
40.5934283,-73.9261317,628,4D,940.0,1,61,K1,0.0,940,0.0,155487,1.0,0.0,3,,E321,2,,C2-3,628,1.0,8932
40.5928833,-73.9280911,628,4D,0.0,1,61,A1,0.0,1059,0.0,155288,1.75,0.0,3,,E321,2,,,628,1.0,8932
40.6100363,-74.1149016,177,3E,0.0,1,122,A2,0.0,1154,0.0,161550,1.5,0.0,5,,L083,2,,,177,0.75,694
40.6243878,-74.0287793,62,2E,0.0,1,68,B1,0.0,2480,0.0,166759,2.0,0.0,3,,E241,2,,,62,1.0,6025
40.6070995,-73.9250362,662,7C,0.0,1,63,B3,0.0,2160,0.0,160468,1.5,0.0,3,,E309,2,,,662,1.0,8555
40.6290298,-74.0265873,64,2D,0.0,1,68,B2,200.0,2216,0.0,168450,3.0,0.0,3,,E241,2,,,64,1.0,5960
40.5898967,-73.927655,628,4D,0.0,1,61,A1,0.0,1248,0.0,154200,2.0,0.0,3,,E321,2,,,628,1.0,8883
40.8505429,-73.7867665,516,1C,0.0,1,45,A2,0.0,1181,0.0,249225,1.75,0.0,2,,L053,2,,,516,0.75,5645
40.5875538,-73.9250617,628,4D,0.0,1,61,A2,0.0,1200,0.0,153347,1.0,0.0,3,,E321,2,,,628,1.0,8866
40.667747,-73.9845502,139,5D,0.0,1,78,C0,0.0,3300,0.0,182555,3.0,0.0,3,,E220,2,,,139,2.0,1011
40.8187744,-73.9546077,219,2B,0.0,1,30,C1,0.0,15150,0.0,237582,5.0,0.0,1,,E080,2,,,219,4.0,1987
40.6290573,-74.0261694,64,2C,0.0,1,68,A1,0.0,2241,0.0,168460,2.75,0.0,3,,E241,2,,,64,3.0,5960
40.6293865,-74.0267244,64,2C,0.0,1,68,C0,0.0,2716,0.0,168580,2.5,0.0,3,,E241,2,,,64,1.0,5960
40.8497461,-73.786281,516,1C,0.0,1,45,A2,0.0,1040,0.0,248935,1.75,0.0,2,,E070,2,,,516,0.75,5644
40.6240859,-74.0287143,62,2E,0.0,1,68,B1,0.0,2640,0.0,166649,2.0,0.0,3,,E241,2,,,62,1.0,6025
40.5885446,-73.9208985,628,4D,0.0,1,61,A2,0.0,700,0.0,153709,1.0,0.0,3,,E321,2,,,628,1.0,8900
40.6096645,-74.1161903,177,3E,0.0,1,122,A2,0.0,1758,0.0,161415,1.0,0.0,5,,L083,2,,,177,0.75,694
40.6272481,-74.0278151,64,2D,0.0,1,68,B1,0.0,3678,0.0,167801,2.0,0.0,3,,E241,2,,,64,1.0,5988
40.6286939,-74.0304888,64,2D,0.0,1,68,A9,0.0,1820,0.0,168328,2.0,0.0,3,,E241,2,,,64,1.0,5978
40.8469507,-73.7856286,516,1C,0.0,1,45,A2,0.0,970,0.0,247917,1.75,0.0,2,,E070,2,,,516,0.75,5643
40.5883117,-73.9214748,628,4D,0.0,1,61,B2,0.0,1040,0.0,153624,2.0,0.0,3,,E321,2,,,628,1.0,8900
40.8427497,-73.7877275,516,1C,0.0,1,45,A1,0.0,1292,0.0,246385,2.5,0.0,2,,E070,2,,,516,0.75,5626
40.8393107,-73.9377307,251,1A,0.0,1,33,N9,0.0,8809,5853.0,245067,4.0,0.0,1,,E067,2,,C2-4,251,3.44,2123
40.5886538,-73.9241423,628,4D,0.0,1,61,A1,0.0,1200,0.0,153748,2.0,0.0,3,,E321,2,,,628,1.0,8907
40.8460398,-73.7872688,516,1C,0.0,1,45,A1,0.0,1571,0.0,247584,2.0,0.0,2,2056290213.0,E070,2,,,516,0.75,5629
40.6281509,-74.0288097,64,2D,1320.0,1,68,S2,0.0,2640,0.0,168130,2.0,0.0,3,,E241,2,,C1-3,64,2.0,5979
40.6063825,-73.9242447,662,7C,0.0,1,63,B9,0.0,2192,0.0,160207,2.0,0.0,3,,E309,2,,,662,1.0,8555
40.8517478,-73.789723,516,1C,,1,45,G7,,0,,249662,,,2,,L053,7,,,516,0.0,5634
40.6283593,-74.0293971,64,2D,1089.0,1,68,S9,0.0,3300,0.0,168206,3.0,0.0,3,,E241,2,,C1-3,64,2.0,5978
40.6285733,-74.0300348,64,2D,0.0,1,68,A1,0.0,2547,0.0,168284,2.5,0.0,3,,E241,2,,,64,1.0,5978
40.5864834,-73.9252393,628,4D,0.0,1,61,S1,0.0,1125,0.0,152957,2.0,0.0,3,,E321,2,,,628,1.0,8866
40.6292949,-74.0310475,64,2D,0.0,1,68,A1,0.0,1560,0.0,168547,2.5,0.0,3,,E241,2,,,64,1.0,5968
40.8400132,-73.7862147,516,1C,0.0,1,45,A2,0.0,2746,0.0,245389,1.0,0.0,2,,E070,2,,,516,0.75,5625
40.5858442,-73.9216829,628,4D,0.0,1,61,Q9,0.0,150,0.0,152725,1.0,0.0,3,,E321,2,,,628,1.0,8845
40.6069472,-73.9230195,662,7C,,1,63,G7,,0,,160413,,,3,,E309,7,,,662,1.0,8557
40.6253592,-74.0297164,62,2E,0.0,1,68,A5,0.0,1456,0.0,167113,2.0,0.0,3,,E241,2,,,62,1.0,6017
40.6743849,-74.0006417,53,1D,0.0,1,76,GW,1500.0,1500,0.0,184973,1.0,0.0,3,,L131,2,,,53,0.0,552
40.6085975,-73.9240621,662,7C,1102.0,1,63,K4,0.0,1862,0.0,161014,2.0,760.0,3,,E309,2,,C2-2,662,1.0,8557
40.8417336,-73.7874199,516,1C,0.0,1,45,B3,0.0,1648,0.0,246015,2.5,0.0,2,,E070,2,,,516,0.75,5626
40.6284992,-74.0297214,64,2D,0.0,1,68,B1,0.0,2820,0.0,168257,2.0,0.0,3,,E241,2,,,64,1.0,5978
40.8455663,-73.7910076,516,1C,0.0,1,45,A5,0.0,1188,0.0,247409,2.0,0.0,2,2056290170.0,E070,2,,,516,0.75,5629
40.5950599,-73.9279411,628,4D,0.0,1,61,A5,0.0,1360,0.0,156081,2.0,0.0,3,,E321,2,,,628,1.0,8946
40.6674616,-73.9849432,139,5D,0.0,1,78,E9,0.0,3625,0.0,182451,2.0,0.0,3,,E220,2,,,139,2.0,1017
40.8519978,-73.7883306,516,1C,0.0,1,45,A1,0.0,1304,0.0,249754,2.0,0.0,2,2056460021.0,L053,2,,,516,0.75,5646
40.6115771,-73.9263421,662,7C,0.0,1,63,B3,0.0,1074,0.0,162099,2.0,0.0,3,,E309,2,,,662,1.0,8527
